,n,use_location,use_scale,MSE_wellspec,MSE_misspec,MSE_surels,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,MSE_EBCF,SURE_wellspec,SURE_misspec,SURE_surels,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG
0,100,False,True,0.05045778750895847,0.052030935806650476,0.005091452139289695,0.05202862854610902,0.10415560206501481,0.0601560303915441,0.02040512914936381,-0.09647393806012793,0.021270209816554343,-0.046073544529645634,0.021266181136807633,0.8443740148690705,0.035527437443218735
1,100,False,True,0.2580515747032554,0.15171967533384526,0.12329073867420405,0.15177031016949571,0.10266058499970931,0.0793536413519288,0.0898156909812923,-0.0943252068049002,0.11545342066661839,-0.013699915786509016,0.11543873929993019,0.38571590709453113,0.14721592629325286
2,100,False,True,0.1360980046033782,0.06607306961014438,0.005082035324720152,0.06606122138267558,0.10248181568123307,0.0711304972584283,0.018764448733707147,-0.1893019221729871,-0.020160130437897765,-0.07943821468521914,-0.02016458556883052,0.2619911764481104,-0.00849965840820388
3,100,False,True,0.058700824792579424,0.055510368987299746,0.020212236412655953,0.055510613587731905,0.06860046525302259,0.05635650857406342,0.02453843472086959,-0.07518400141597349,-0.0004288720247116373,-0.04527963368360478,-0.0004306667920147334,0.294463983199022,0.012120592118029572
4,100,False,True,0.2250663765650958,0.19199030887818935,0.015218934779877447,0.19081376842423686,0.1675514204645011,0.06779868565013887,0.1045295763254922,-0.13435982898147827,0.034417115660904614,0.05612863885234432,0.0348079986740715,0.17423984339231965,0.1290260752400883
5,100,False,True,0.2547081333568509,0.11890096398026138,0.006331253511368028,0.11884115262566114,0.10279018948987513,0.055167748188762286,0.05358130205134389,-0.13752048718397666,0.02848161298257146,0.03190082513706317,0.028412438052002997,0.2115665217686991,0.0718292953637295
6,100,False,True,0.34032802839216975,0.08621675493328665,0.09598154408568271,0.08613042281162936,0.07948990688715767,0.07087836459848547,0.0866555830794846,-0.12107541893079432,0.14539207253456168,0.049471518179119926,0.14537153964730706,0.6164722162789246,0.17368591872329703
7,100,False,True,0.1277680806939344,0.07366806653762988,0.011570233988196335,0.07362976525055508,0.06631708694079332,0.06166961589562108,0.0675575785583439,-0.0812129151705312,0.04084261432173158,0.00020577222008429707,0.04082131048295594,0.6094544487305807,0.06071426009025205
8,100,False,True,0.06699001224691378,0.06278606140619339,0.012339769380323511,0.06693383468392496,0.09725942369726026,0.06422759834797981,0.02719629626232381,-0.07145776681939958,-0.06927861270474296,-0.09937007922884389,-0.07149271008250636,0.3410896582930198,-0.05660677091114941
9,100,False,True,0.06439263407528226,0.06586315516556217,0.008200906869580834,0.06586229503190266,0.10451117298786153,0.07067977868310416,0.03346716670473466,-0.11782364802381189,-0.016888277918444956,-0.0651412537815362,-0.01688916216201733,0.3732299339080399,-0.005318571210676526
10,100,False,True,0.03440540629063004,0.07419674040195161,0.014037994969828412,0.07414963350919405,0.12299472195630157,0.07479330182683494,0.025917819034800338,-0.14943371217954837,-0.02408707317564364,-0.1257386870309721,-0.024091102902402496,0.27200431161085686,-0.012983633743615552
11,100,False,True,0.1531403297711215,0.13528379549992875,0.012095085229262616,0.13522322537671638,0.1142995212939967,0.05575002022116144,0.026898471131834235,-0.09610909842898199,0.05683189382242446,-0.00375946498250352,0.056830420774397226,0.9069729662455616,0.11048115130604014
12,100,False,True,0.14364533428651866,0.12334602847754621,0.05399707176736326,0.1434207070582621,0.07637923749753854,0.06685145737243825,0.09097754537059088,-0.13384556255370178,0.029045355096122306,-0.04929847635838476,0.026179961249788945,0.9528530122866702,0.0731309244265802
