,n,m,use_location,use_scale,MSE_wellspec,MSE_misspec,MSE_surels,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,MSE_EBCF,SURE_wellspec,SURE_misspec,SURE_surels,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG
0,100,300,False,True,0.19677168059205472,0.2108500805202197,0.16585888073828245,0.2118617733647015,0.25412541043764486,0.1821461373243038,0.196252237216839,0.13019012147703005,0.14824315834537458,0.1612401378872703,0.1483325490417874,0.25873630671765474,0.24457551623664542
1,100,301,False,True,0.12999056393468947,0.1490527495491299,0.11986970518807928,0.14905647308488829,0.24693083633502222,0.1885396704858835,0.14046784511730337,0.10764970340702817,0.15978941432750213,0.13277305765875846,0.15978030150877787,0.2822941594696309,0.23051063493844598
2,100,302,False,True,0.22991388156959608,0.2334329502635608,0.13871625007315896,0.2334431852560503,0.2567682216786651,0.26501382307131227,0.1776447723301303,0.07084108221475574,0.08268949470854803,0.12568136914290975,0.08269142590714036,0.4169429790346117,0.22207929544356056
3,100,303,False,True,0.20337602877820835,0.2376188567590994,0.18000948685560084,0.23761054472753834,0.2615885639026605,0.21339787631642756,0.2022386052139688,0.1106946986604427,0.13153935800979105,0.1453236741931251,0.13153006597008512,0.3637545198179874,0.23893928064810976
4,100,304,False,True,0.18750222256653426,0.1846011473353471,0.16475421592371256,0.1846063586123213,0.27461317602793867,0.21817706216267024,0.16644583183022804,0.11553744439008591,0.15043864697069317,0.15445711740498858,0.15043893310374265,0.30239803592073644,0.2440136777217532
5,100,305,False,True,0.23244877554777255,0.22340136187627857,0.19311677203960617,0.22341558563818797,0.3536840264825334,0.2869444979937128,0.18574094006408226,0.1271976846507599,0.14692765759327397,0.15533710728098946,0.14693356715809788,0.31063963778033726,0.24549286011314847
6,100,306,False,True,0.17342018137899207,0.1879676813611036,0.1306633354147695,0.18803263103235593,0.2646728392161895,0.21471494306044017,0.1448306996890652,0.12673230215820153,0.14819846171764936,0.16422968548694591,0.1481906049080566,0.2899526027474145,0.22720281678903567
7,100,307,False,True,0.18255545082504146,0.19700815430465554,0.13856461340240794,0.1970770913952148,0.36808061279278015,0.28087395590901776,0.1677991275131719,0.06535026501468867,0.12198814615045159,0.1334432436806647,0.1219846529938738,0.3875109833351187,0.21814313744719466
8,100,308,False,True,0.24387175033968359,0.2342738229175272,0.1686685825932711,0.22236696907044348,0.3531594442615901,0.24183436804905614,0.17901536497027865,0.0865822192508329,0.16112437661882928,0.1883639275797124,0.17535012500566474,0.2315997144819655,0.25087137136560345
9,100,309,False,True,0.18976242619236242,0.19887561763459186,0.21337899627020573,0.19409854992830222,0.27030304317662923,0.28060576575863416,0.21877751504319787,0.10965589860676492,0.12758622940606187,0.1277554786056686,0.12938740092273562,0.32157288956334845,0.23088941964604554
10,100,310,False,True,0.2046569412265826,0.19400373343988211,0.13333602979729284,0.1942976948822557,0.2334077821234287,0.22905536988969794,0.18326145750982564,0.09688092646934465,0.10104794465990409,0.14404878971275545,0.10104304053237335,0.5890834681091746,0.21941174763493848
11,100,311,False,True,0.18843564825047657,0.19514456472002994,0.15463517239784483,0.20571761401612465,0.29115196593440607,0.22869866601428968,0.18247448409933487,0.06731725510005622,0.09738559902750879,0.12336966804898421,0.0986470934282189,0.31863503913682767,0.23414315292659288
12,100,312,False,True,0.18786984526035153,0.19056586089445265,0.14201628751486917,0.19055995357036382,0.18066255833776995,0.18406408899941212,0.1720520761095932,0.06462430561115708,0.08614161739970307,0.13088056755997,0.08613177029925169,0.31317192367411484,0.2356042095393214
13,100,313,False,True,0.16124767854183936,0.18633362234435388,0.16337892186792108,0.18634955063184855,0.19464120716354694,0.16448901391154616,0.18424619184930124,0.0905852279534556,0.12589518715203732,0.11695741531028507,0.1258913070011731,0.32751146839661593,0.2286118858828362
14,100,314,False,True,0.30598588946429106,0.3283495254773069,0.1495762976372495,0.3283649736863204,0.23187274402868763,0.18892579815539412,0.19668093819275118,0.05403675901196314,0.06758183064823733,0.15252513184553151,0.06757756253250399,0.2262838544049739,0.23569530260651533
15,100,315,False,True,0.1722462276908309,0.2216689741882675,0.14922196675743282,0.22165638459958129,0.3183707615441853,0.2332569707977405,0.18004655754510188,0.12422559197751536,0.15065523676311604,0.17302682445024445,0.1506505634349882,0.2528284340325561,0.23898571286918752
16,100,316,False,True,0.14786412175831604,0.16239968951096015,0.14646219111226733,0.16248397475309376,0.23754776757764734,0.18381716372075707,0.15221864456658796,0.09776762634946158,0.13095132574467172,0.12380754810061376,0.13094857018091013,0.302606301059098,0.22877704408842686
17,100,317,False,True,0.26059948326936366,0.23238041922951758,0.14390320158819686,0.2323951897534416,0.25526970406357924,0.2170146264789126,0.1787212544914005,0.08067125359159359,0.11429679600624795,0.16413916810308748,0.11428725157606018,0.33324032477117627,0.2502147862920412
18,100,318,False,True,0.13307047755776416,0.1402231462573699,0.12950310701044582,0.14022642378230388,0.19035658171856962,0.17064463629654864,0.19659294165327895,0.11335913120318437,0.13404594543340012,0.1347326315144303,0.13403655639062165,0.31238120342928893,0.2297948720578426
19,100,319,False,True,0.1558037763337556,0.15246984471682,0.13622428735801834,0.1524647210661544,0.2686137791411116,0.18735212258979964,0.17572990240673103,0.13237729403572715,0.1713243394041212,0.1540255823474881,0.17131804353529367,0.29227004091814385,0.23921211884330684
20,100,320,False,True,0.2866583258617891,0.28008805520354074,0.21157208226523688,0.28013057161394217,0.4070430806663166,0.2901305498426443,0.21266632222621587,0.12669591086695958,0.1537856046667575,0.18826771082562693,0.15378419529555706,0.24609918271271775,0.2442242502092809
21,100,321,False,True,0.212310011144226,0.18743852241859546,0.1643742525722233,0.18745228987927987,0.2775548904910807,0.24811315860504252,0.1773195341370441,0.042780601289838724,0.11717253249405694,0.14785928510567486,0.11717139728843556,0.7642910383915398,0.23562962670969279
22,100,322,False,True,0.26459703665547457,0.2982001002450367,0.21764113346328715,0.2982122084035469,0.37525432067333,0.27952848395985486,0.2629648381038722,0.11480242123130331,0.14073923355535675,0.16847142060855014,0.14072965619237393,0.3089194066408023,0.24937923286572544
23,100,323,False,True,0.1573083791413736,0.19671942097051415,0.1411124473118076,0.19676444187340994,0.2645293860228237,0.22849025976886644,0.16481017969587203,0.12039949923029414,0.15628247205876794,0.15423934348507407,0.1562710426639205,0.31649077139178167,0.2322196022011993
24,100,324,False,True,0.23265957109609264,0.2623930006886033,0.21397847328564015,0.2623829552756587,0.36864420853472635,0.3228770903212003,0.23436740471555026,0.10806049426633496,0.13438713214508127,0.13351682988835614,0.134393421783626,0.3402151423075497,0.22682429424088352
25,100,325,False,True,0.17328993975331525,0.21210719192699518,0.15460263185443718,0.2125068598827926,0.20380601505977933,0.192249966123778,0.1791453586808652,0.10117302937857364,0.12354985030397884,0.11304618088654554,0.12353769320538958,0.2577499397352041,0.23339104551233697
26,100,326,False,True,0.14703742540032505,0.16501396027751622,0.13237801817008155,0.16713088030872797,0.20976574703388887,0.2149643035075758,0.15021966315784407,0.11402957807275144,0.13320174439247787,0.14086565208530077,0.14631294016485022,0.27813463737839145,0.2244345514996767
27,100,327,False,True,0.16172497820807577,0.1822061525361087,0.13606926179025491,0.18211384779591044,0.26402811760352507,0.21765258967161563,0.1501102685274464,0.16920155600786704,0.18486446799609682,0.2011641810430931,0.18485176581214022,0.29677979842627183,0.25994473200532475
28,100,328,False,True,0.21804699818816148,0.2471048545725484,0.150957852752369,0.22250696250981508,0.2510095684506126,0.21796225327515803,0.17046950903804178,0.07098170325138536,0.1049951411608959,0.13983760389446745,0.13377605571312376,0.29125140576124675,0.22753817315537345
29,100,329,False,True,0.22071502459950096,0.25122669809017784,0.2125876742329485,0.2547748420971842,0.3100826697044832,0.31295897292732877,0.21533750890461376,0.09451667711927263,0.11704644779964334,0.11036590258483059,0.1242087017313537,0.33145662823947236,0.22970589863061047
30,100,330,False,True,0.19803716545508496,0.20550835738733828,0.1870785179096465,0.21250041498682573,0.21646841371033454,0.1895188243758265,0.17541215619054182,0.029792728246109026,0.047580031099243636,0.04839521057233096,0.06475678971063761,0.32716350939877614,0.21912853353233508
31,100,331,False,True,0.19674638504207373,0.2153552661719197,0.19691906126642367,0.21539751171507868,0.2667375910489367,0.25410071337942436,0.23872819011876606,0.07833989720171569,0.08952119288943379,0.11385854972334994,0.08950857598172178,0.309039282373923,0.2341191933860886
32,100,332,False,True,0.23502875993978622,0.22269763436700749,0.15906963465283053,0.22266704165054885,0.23399635319720868,0.2566389615685514,0.2439286420073615,0.07688630179974361,0.10149846104065596,0.12640137732199228,0.1014923818849708,0.3188146713136921,0.22577945674859723
33,100,333,False,True,0.1171545173631433,0.15231508740557165,0.11631431779837581,0.15227482146385796,0.2906063855647585,0.22864482302512845,0.12737839073471785,0.08090543220284196,0.11879714111754368,0.09983469573273908,0.11879305326962303,0.3174197813639126,0.21367796659899604
34,100,334,False,True,0.21571124340275452,0.24215033193718333,0.16295943923881318,0.24187952055891948,0.2663234828650182,0.22297574043394366,0.22048980355284703,0.1002738851625048,0.11734225504873265,0.15352733595649926,0.117313879708555,0.26827022910692444,0.2408790444024086
35,100,335,False,True,0.20700514910522333,0.1989477570722307,0.1722464106033822,0.2026312694725802,0.26820804011822846,0.22934223567458123,0.1960045969368342,0.09141409023568695,0.13225944803807757,0.14018555262937832,0.12780234208514352,0.30940089409850335,0.23542779236059586
36,100,336,False,True,0.25821208003465157,0.2520529933247895,0.19375119962605136,0.25206280422764865,0.25167510067024507,0.2749817630703253,0.24613747532417554,0.08294851150158618,0.08918795405430234,0.1648786922838334,0.08917492467729193,0.29256923592387035,0.24416798973740572
37,100,337,False,True,0.1934232681858635,0.19535396736842395,0.16714132792391098,0.19534031935041699,0.26749363939912074,0.26788815552153156,0.20471750252569856,0.12220736940435696,0.13234571170782794,0.14022601403425733,0.13233610460045447,0.3213725973544853,0.24237338324729776
38,100,338,False,True,0.1680639754613823,0.18006947602413384,0.14099271368900698,0.1801110090201438,0.2484578616188016,0.17382703566449778,0.14938856169410686,0.09311055964933454,0.11353090907682585,0.10832401918693695,0.11352465387385956,0.3775218135959275,0.2325343476411548
39,100,339,False,True,0.15134016425293711,0.18918322165027418,0.14731796566571856,0.18572577964445627,0.266425015325143,0.22464838869188525,0.1667338179541087,0.05912321168679981,0.060954010672796426,0.09288206783870352,0.06903594354924451,0.3034966055698273,0.2045219162294085
40,100,340,False,True,0.16544471399985505,0.2012211914095972,0.14492888043418584,0.20119287685955103,0.24711754574623657,0.21560882316047128,0.1897717699256038,0.05695159506619702,0.08564967853077256,0.12967349521748744,0.08564117404008094,0.4741256800436336,0.2070924647422921
41,100,341,False,True,0.3357229707358686,0.32198886126993753,0.19966310916246927,0.32210966510480965,0.34993372849004095,0.3101257570340803,0.22680286211463496,0.04341923828432883,0.061248326296073116,0.14262918579452966,0.06126642629964451,0.3316252392793956,0.23159900287598678
42,100,342,False,True,0.23157506521073543,0.24204653975190674,0.21251325866652923,0.24202875609024332,0.3192796142245798,0.2709773898906399,0.209157613978512,0.13119867401625881,0.15736903124061546,0.1527326282713083,0.157363181356684,0.35752700418776795,0.25314972933899943
43,100,343,False,True,0.28706429647691756,0.3495438927535088,0.2159118293895936,0.3495462781820164,0.38741362383371736,0.30613712240328284,0.2578872763768233,0.05225366589026242,0.0696680222324661,0.10601593032423327,0.06966599735131439,0.4486947368236106,0.22242677505912695
44,100,344,False,True,0.17772317528440015,0.19492687268570105,0.16704667960352168,0.19502016901372518,0.3086589094953773,0.24373765652873516,0.18445835696688778,0.07204350524712343,0.10680716550368584,0.12033108079111227,0.1068163343397124,0.29904273032213097,0.24374255988430357
45,100,345,False,True,0.19007836350637217,0.2574988729273878,0.1408140356969418,0.25747288743004765,0.4361770755246197,0.2623473247573621,0.16657260674570212,0.10172705286107739,0.14669166322839167,0.1410096463738401,0.14668680912431362,0.30422140467337355,0.21871205002651278
46,100,346,False,True,0.23693391147789206,0.24104481666464117,0.1498201659643202,0.24104034776328886,0.30695295775468423,0.25229320609376515,0.16679318434688004,0.08329667938535959,0.09782861984774659,0.16661076063812325,0.09781762109933201,0.4287879684454159,0.23806721110993473
47,100,347,False,True,0.15843332862589798,0.19175450258857846,0.15605750504871171,0.19035125913315645,0.2248201888124871,0.22934613371084434,0.14705407761326397,0.0718013418211641,0.09017502385381676,0.09520895142132776,0.09803493704339751,0.32399866419449097,0.2208387418157608
48,100,348,False,True,0.2338161633889138,0.27651591994999086,0.23776032603038247,0.2765067216614149,0.2765536248577237,0.26038907586962,0.24274314425933968,0.10538249800676891,0.13475153733210807,0.20327774957950734,0.13474191775604982,0.2270828207849062,0.2458448122186785
49,100,349,False,True,0.2068669954303528,0.20660816470503662,0.23340366797915896,0.20658884703531072,0.30334597057388596,0.2724448622192084,0.17746794420354134,0.13437848419431872,0.1341564971899971,0.18580412352172157,0.1341470644286059,0.3280848475006152,0.23148654542820157
50,200,300,False,True,0.13208689240523908,0.1319840233054304,0.11121437045897858,0.13202014740649778,0.20913600092337628,0.18501385531157136,0.13811548810829694,0.08740547852777857,0.09569153970249762,0.12731542439508448,0.09568043491704646,0.34719300899547506,0.22890689922428364
51,200,301,False,True,0.13296290529208302,0.1526920469161759,0.11284611954210351,0.15269541384546534,0.22653371876549602,0.1793558366108007,0.14452869704950602,0.11560193767194331,0.13681249752149643,0.13534512053700934,0.13680324611451655,0.3396544136519918,0.22326690479959255
52,200,302,False,True,0.16161947293412285,0.17703693792812236,0.149405871275112,0.1769483148152787,0.24034377255754394,0.23679805287941152,0.16115895518772375,0.11862648275783905,0.14696282469860156,0.14166052504919274,0.14695680851537982,0.3140759306489922,0.2411872731717244
53,200,303,False,True,0.22293918777447583,0.21456141820442337,0.17627733652550157,0.2145685572354215,0.3147398688351781,0.25604282188306365,0.190828263349171,0.10421461587636469,0.15542561434006577,0.15537164609970958,0.15541824700561802,0.45411184542709293,0.2361624795629399
54,200,304,False,True,0.19943844971682942,0.20080777532492708,0.1624735408578218,0.19655740042488168,0.24855506205967295,0.2547450660060004,0.17205063853014924,0.09715930185947194,0.12663017010055463,0.13872003081361958,0.13187433170925403,0.32333571649390364,0.22872896228661183
55,200,305,False,True,0.19437140520809806,0.24395354041920786,0.16197571498229074,0.24390475533395947,0.3170074390466155,0.2151314849791696,0.18550330228656392,0.07763857150973101,0.12716985838499523,0.14403690840627756,0.12716407644254493,0.3504155965138021,0.22999629249173503
56,200,306,False,True,0.15588313361087758,0.1929118023251614,0.14625898812403035,0.19291834656785348,0.2571964124532476,0.21856572691049853,0.17217546018929294,0.14929204827239223,0.1802542559136375,0.16698904074458784,0.18024703697742261,0.28638793956128483,0.24013922708850682
57,200,307,False,True,0.13093986192010054,0.1381078464719102,0.12624826739173486,0.13804837468119677,0.2822459381642941,0.21667892342423825,0.14807305061382747,0.14421656287773485,0.16941180120669053,0.1532357776014251,0.16940002965490122,0.28162109066247504,0.23150790446971983
58,200,308,False,True,0.16238961354733952,0.1904221538589401,0.1435768583772528,0.19048475860364067,0.25978672549988335,0.21401184624398176,0.18269959551159118,0.15083003094329406,0.18324686064861645,0.17562612305993244,0.1832467894753148,0.2930394880759179,0.24086906144620712
59,200,309,False,True,0.15714272934694237,0.1796788598199032,0.14061235592445548,0.17978979231559167,0.24310466106673004,0.20637760154073384,0.15770366437814903,0.07522081012905577,0.08731089823305282,0.09644517140567979,0.08730298860629482,0.33258250993089383,0.22153971180521526
60,200,310,False,True,0.19122213107471148,0.2236364978942784,0.19061273275915333,0.22456282298062458,0.3212165276638755,0.2759912138501057,0.20586041795846294,0.15000533967237925,0.17729674529148107,0.15748055091815732,0.1783971994770507,0.31702770816416326,0.240333519771569
61,200,311,False,True,0.1579633001949543,0.15983352988011845,0.14041853896619,0.159839265209237,0.16224293899296527,0.17785430146391168,0.1612381808144606,0.08883630714718255,0.1182927028959449,0.09639988081957825,0.11828442036655418,0.4067028539931256,0.22302499253571356
62,200,312,False,True,0.19248443436803725,0.19656785251396372,0.1616703900301291,0.19656190413843977,0.23910443926694433,0.21508494054734162,0.1799385513889055,0.1187563265074758,0.12797198845882307,0.1584328009970103,0.12796274388512635,0.32393398945256935,0.24407754400983073
63,200,313,False,True,0.11099111692975941,0.11814969453521205,0.10970269221775325,0.11815078945232434,0.22857855180593667,0.20423728779864803,0.12299845742992432,0.09155975400706169,0.10350724618398154,0.10471768024986026,0.10350137463502143,0.38895093769562267,0.22275354292993219
64,200,314,False,True,0.1815829389731353,0.19797067913468147,0.1507176974870973,0.2049562564189851,0.23485738171547776,0.21881852844811156,0.16453856465299838,0.11026833341280443,0.1280352157622602,0.14559329593749654,0.12976189575388308,0.34686936302307264,0.23124597248370873
65,200,315,False,True,0.14658658960422433,0.15865294054047108,0.14385891553928937,0.15862690465802168,0.21398423369202782,0.1936341163916713,0.16213425985114527,0.11112722114395901,0.12650106977272596,0.13800382198684336,0.12650403087018913,0.2872302006393502,0.23334006115151995
66,200,316,False,True,0.17012019207069667,0.1549429815981128,0.13027656485696862,0.15494359849638967,0.2758640275442358,0.18973948810391195,0.16641105438712217,0.13221756780335386,0.16443826556962485,0.1500873739750792,0.1644339055311964,0.3182645516006971,0.23279958461940067
67,200,317,False,True,0.18724454162519563,0.20467962564570122,0.18921915388408067,0.20463902708442697,0.27024949969307044,0.24043495963847059,0.20599579818135405,0.14552573101073152,0.1723458194297131,0.1721843858503306,0.17234480310369457,0.4541767794589094,0.24096861516790885
68,200,318,False,True,0.14267209957803023,0.15339482838577262,0.13465814515521013,0.15334220212275923,0.27268928090864686,0.23449153994972907,0.1550989273460288,0.12933488022200526,0.1523989253359241,0.13534409113030113,0.15239819749441616,0.3281616257882357,0.22705415003420226
69,200,319,False,True,0.16343146707994138,0.16292473438669053,0.15689207448182696,0.16292441237010982,0.24479126973448215,0.21959008046211545,0.18390996301058346,0.11703377428105745,0.13745485724225234,0.13599421606671677,0.13745065165854384,0.2918129119159469,0.2398901218229501
70,200,320,False,True,0.2356373503924543,0.24553366541392024,0.17006110648794334,0.2455164949059158,0.2815598101193737,0.2871550654124368,0.19519183776506124,0.1086889688930389,0.12695001493538208,0.14247486142037716,0.12694195012088635,0.36033699544283715,0.2349270923038504
71,200,321,False,True,0.20454165039406721,0.2331843222747221,0.18538052596272991,0.2338476713355633,0.3154777843699042,0.31444128760589496,0.2133151200267193,0.1405292006059324,0.158994795901146,0.16840811400408354,0.15921098902132172,0.29430700171829854,0.23615076856678785
