,n,hidden_sizes,experiment,MSE_wellspec,SURE_wellspec,data
0,100,None,c,0.0899229827704584,-0.1261440675163685,train
1,100,"(2,)",c,0.10141318410351793,-0.1405067601014572,train
2,100,"(2, 2)",c,0.025146780680704042,-0.08991740298371456,train
3,100,"(4,)",c,0.055392332777750755,-0.10004528422430056,train
4,100,"(4, 4)",c,0.09482171485737215,-0.14315809393555237,train
5,100,"(6,)",c,0.095773082810256,-0.13183625264120313,train
6,100,"(6, 6)",c,0.09550200044800947,-0.13588394747321847,train
7,100,"(8,)",c,0.060214781229171545,-0.11703128027170116,train
8,100,"(8, 8)",c,0.1364711476068151,-0.18271291141480084,train
9,100,"(10,)",c,0.0808710562450023,-0.13097018154798598,train
10,100,None,i,2.188711971156699,-1.3964636630512248,train
11,100,"(2,)",i,2.256052347139991,-1.5943056766494081,train
12,100,"(2, 2)",i,2.2885255654065246,-1.6794508403976678,train
13,100,"(4,)",i,2.4420032087473875,-1.349889434165662,train
14,100,"(4, 4)",i,2.601936022625552,-1.3143954718675692,train
15,100,"(6,)",i,2.2470154204897703,-1.5490329710877928,train
16,100,"(6, 6)",i,2.062539803401635,-1.4833532966302945,train
17,100,"(8,)",i,2.106660174485971,-1.8626275491806552,train
18,100,"(8, 8)",i,2.168917674480887,-1.8164597410045236,train
19,100,"(10,)",i,2.2905797906149874,-1.6259372349844026,train
20,200,None,c,0.017580673619824825,-0.053068860840379185,train
21,200,"(2,)",c,0.019104066731847634,-0.05219093376269008,train
22,200,"(2, 2)",c,0.018833266498286805,-0.05273009541440529,train
23,200,"(4,)",c,0.04253316384531617,-0.06105482155694031,train
24,200,"(4, 4)",c,0.04719999061357598,-0.07106605711689908,train
25,200,"(6,)",c,0.03551236229095769,-0.06290511290437557,train
26,200,"(6, 6)",c,0.018587244687026022,-0.05265702110465309,train
27,200,"(8,)",c,0.04648473166088662,-0.07247674996268359,train
28,200,"(8, 8)",c,0.018637356556669246,-0.052570421601623785,train
29,200,"(10,)",c,0.0546727675455521,-0.07659952679890777,train
30,200,None,i,1.8294620277804525,-1.2927363598386972,train
31,200,"(2,)",i,2.0271569977606974,-1.4229375973956166,train
32,200,"(2, 2)",i,1.9028011865767156,-1.4234042193973389,train
33,200,"(4,)",i,2.1309242315948542,-0.9654754489642653,train
34,200,"(4, 4)",i,2.213973879455922,-1.1441071490074972,train
35,200,"(6,)",i,2.15004715717326,-1.4076952346306582,train
36,200,"(6, 6)",i,2.3019892812659664,-0.9509825888732997,train
37,200,"(8,)",i,1.9863352896380684,-1.5563081312966973,train
38,200,"(8, 8)",i,1.9996865424082242,-1.08063792093705,train
39,200,"(10,)",i,2.0327000027422333,-1.2377723359489894,train
40,400,None,c,0.06352600732088182,0.05840372054044567,train
41,400,"(2,)",c,0.07252084617489028,0.04904613746683406,train
42,400,"(2, 2)",c,0.07001239471119762,0.04309339816695102,train
43,400,"(4,)",c,0.056168895783167035,0.06141210024750366,train
44,400,"(4, 4)",c,0.06569970568432827,0.05539887563960386,train
45,400,"(6,)",c,0.06180996333444548,0.05479983019799908,train
46,400,"(6, 6)",c,0.08311865456003342,0.039564487013968176,train
47,400,"(8,)",c,0.06336255217874229,0.05759896259056923,train
48,400,"(8, 8)",c,0.07888425770579825,0.04261502174101128,train
49,400,"(10,)",c,0.0698982983040387,0.04990924434258834,train
50,400,None,i,2.1977680751389546,-0.34324766627917863,train
51,400,"(2,)",i,2.0802081775898777,-0.24454544165326966,train
52,400,"(2, 2)",i,2.1331265600478537,-0.3494484046573762,train
53,400,"(4,)",i,2.214067605798079,-0.6042781814025181,train
54,400,"(4, 4)",i,2.151295443138993,-0.4718711461682311,train
55,400,"(6,)",i,2.164278792650337,-0.0899997009842581,train
56,400,"(6, 6)",i,2.073118059716165,-0.35057148848505537,train
57,400,"(8,)",i,2.0961073861932578,-0.6705647371695562,train
58,400,"(8, 8)",i,2.1895324275393557,-0.8678081382205451,train
59,400,"(10,)",i,2.1819725896177236,-0.6703311870558077,train
60,800,None,c,0.003976140745960395,0.013278351476059625,train
61,800,"(2,)",c,0.002887719613072086,0.014187696241976395,train
62,800,"(2, 2)",c,0.00216163492807501,0.01506087619490077,train
63,800,"(4,)",c,0.005669149151349176,0.011753017562392234,train
64,800,"(4, 4)",c,0.005908835708354697,0.011796888435034554,train
65,800,"(6,)",c,0.0034817184982397584,0.013604051482357899,train
66,800,"(6, 6)",c,0.01411337921056673,0.0011866903232698566,train
67,800,"(8,)",c,0.007519878018392332,0.010212748165408306,train
68,800,"(8, 8)",c,0.025511794588097568,-0.006346879585745709,train
69,800,"(10,)",c,0.004784465393361935,0.01222430292826363,train
70,800,None,i,2.1858567246041307,0.2054250003404392,train
71,800,"(2,)",i,2.1839665809584234,0.29705460639455966,train
72,800,"(2, 2)",i,2.1873581015369385,0.37110903112668875,train
73,800,"(4,)",i,2.0555247099179006,0.2057233420704573,train
74,800,"(4, 4)",i,2.270318555584383,0.6080052243653431,train
75,800,"(6,)",i,2.277881335138438,0.24398982332426303,train
76,800,"(6, 6)",i,2.1597782683964395,0.6725442266600559,train
77,800,"(8,)",i,2.2021253442976394,0.045547180060994334,train
78,800,"(8, 8)",i,2.1547215846741996,0.12097038985237808,train
79,800,"(10,)",i,2.1423916931280567,0.6305019676504345,train
80,100,None,c,0.10084737486602274,0.2357487377863437,test
81,100,"(2,)",c,0.09464041070344127,0.21973865775148102,test
82,100,"(2, 2)",c,0.020008389584217575,0.2460804818792547,test
83,100,"(4,)",c,0.04593238581095492,0.26637487682187766,test
84,100,"(4, 4)",c,0.0995521653886201,0.21708066181353633,test
85,100,"(6,)",c,0.07335884907002964,0.21995964717078287,test
86,100,"(6, 6)",c,0.11646061801520136,0.2933030386628132,test
87,100,"(8,)",c,0.04169047806863552,0.23651758386941205,test
88,100,"(8, 8)",c,0.13295387963873356,0.27806757323900033,test
89,100,"(10,)",c,0.05828720904708355,0.22314872634840657,test
90,100,None,i,6.477353871492041,8.667643077709368,test
91,100,"(2,)",i,7.389770585866134,5.845152261939273,test
92,100,"(2, 2)",i,6.2768331974335725,6.023113913987499,test
93,100,"(4,)",i,6.75720074119766,7.003486294769443,test
94,100,"(4, 4)",i,5.9908207208183,5.0971217787851515,test
95,100,"(6,)",i,7.219105067359991,7.015542808559708,test
96,100,"(6, 6)",i,7.373664343325596,6.761638988024252,test
97,100,"(8,)",i,11.253916061663086,10.262241615974311,test
98,100,"(8, 8)",i,6.338173987557707,4.2698240166384664,test
99,100,"(10,)",i,9.061362521434974,8.52325235771452,test
100,200,None,c,0.011037863285221137,-0.017625118446796605,test
101,200,"(2,)",c,0.012001295384596442,-0.014602566749313008,test
102,200,"(2, 2)",c,0.011559793740535357,-0.014434413180414846,test
103,200,"(4,)",c,0.02098380857998499,0.009900630220944463,test
104,200,"(4, 4)",c,0.019119885271331166,-0.013577928593232725,test
105,200,"(6,)",c,0.012875017904259696,-0.010492166011287274,test
106,200,"(6, 6)",c,0.011297645412995343,-0.014637034265557892,test
107,200,"(8,)",c,0.018103486304982465,-0.003999678391481816,test
108,200,"(8, 8)",c,0.011384982447911076,-0.014520270901219844,test
109,200,"(10,)",c,0.022614660203404285,-0.0077914702552964775,test
110,200,None,i,4.108043854018491,5.185841209724423,test
111,200,"(2,)",i,4.729770898702826,5.075075482771019,test
112,200,"(2, 2)",i,5.062045825661257,4.458527333269725,test
113,200,"(4,)",i,3.2191238881138657,4.2030915214801485,test
114,200,"(4, 4)",i,4.276397806998171,3.999734981810852,test
115,200,"(6,)",i,7.012754676759727,7.137399842415435,test
116,200,"(6, 6)",i,4.069575374408029,4.5920840564824985,test
117,200,"(8,)",i,6.024027347723814,5.7392524434574925,test
118,200,"(8, 8)",i,3.180823747050282,3.4086774864026563,test
119,200,"(10,)",i,4.519315556398457,4.7282638118384375,test
120,400,None,c,0.03921216838647066,-0.0034011180548468812,test
121,400,"(2,)",c,0.04935759039297198,0.006982218307626096,test
122,400,"(2, 2)",c,0.061218395327820134,0.012500189984802623,test
123,400,"(4,)",c,0.04160204436658264,0.0008700566961584056,test
124,400,"(4, 4)",c,0.04203477511250301,-0.0038625528246903243,test
125,400,"(6,)",c,0.04486528594104894,0.006483287258535993,test
126,400,"(6, 6)",c,0.06325705521062577,0.012603702250263565,test
