,n,use_location,use_scale,experiment,MSE_wellspec,MSE_misspec,MSE_surels,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,MSE_EBCF,SURE_wellspec,SURE_misspec,SURE_surels,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG,data,hidden_sizes
0,100,False,True,c,0.149934662096945,0.07002488862210704,0.052451780912590555,0.0699167156524232,0.06792294330063726,0.050274955689575976,0.04466588100233401,-0.06487224216614519,0.08622168603711089,0.10195073182402428,0.08621643894612141,0.6012330386506343,0.11456546269287365,train,"(2,)"
1,100,False,True,i,2.722148040762526,1.7028751290302844,1.4400510498364754,1.702865755073721,1.6027408702737458,1.4862914086025634,1.6347788106519023,-0.7376905056634229,1.4515432144417764,1.5104198132514375,1.4514734368583533,5.353158377350566,1.6735358192042156,train,"(2,)"
2,200,False,True,c,0.08013801949977317,0.08001929620526495,0.06586554396536676,0.0800176581992391,0.0728186058584338,0.06772479055667996,0.04947649102425164,0.13773217455894224,0.1377311872180485,0.15458200437080866,0.13771397580418154,0.4404790930820735,0.16179225767164873,train,"(2,)"
3,200,False,True,i,2.1126767722910853,1.6791614275760844,1.5657691064929689,1.678852592523281,1.6426760873885098,1.536197676264024,1.4914985605723476,0.7544288322318107,1.3964732185605602,1.4744857033936674,1.3965512170337353,7.931249379052783,1.6087883226319895,train,"(2,)"
4,400,False,True,c,0.007737628883815906,0.05710519225950743,0.004877602361282724,0.05718968736293557,0.09825841245191252,0.06159548546438197,0.006492004580462343,-0.02688127419141484,0.02783247697323908,-0.01888434393203566,0.02783279454177624,0.6058662735221162,0.031881197804697836,train,"(2,)"
5,400,False,True,i,1.6921371318630494,1.596023200556648,1.5082528424840802,1.5963971714746423,1.58113328984009,1.5152077726655986,1.2595669117364696,1.1880649705343187,1.5059916372617232,1.5264780408769787,1.505971243282823,8.526101892739826,1.614917529986265,train,"(2,)"
6,800,False,True,c,0.02623988089950694,0.05719619393213739,0.0056106212142133195,0.057227755220229104,0.07007375902465228,0.05258943900587819,0.008124939116003416,0.0007037285304530105,0.075565693400048,0.017593907133847723,0.07551217005402598,0.8885619680908539,0.0825029211799202,train,"(2,)"
7,800,False,True,i,1.7195735323181938,1.6402661175677808,1.4768291164604421,1.6402937509329911,1.6057406705934492,1.5577400488711377,1.380800496842919,1.4213143262042,1.5600343466775792,1.4892275881242578,1.5600201614363578,6.78378649108877,1.6151366251330779,train,"(2,)"
8,100,False,True,c,0.09117988677869442,0.10871508647728163,0.052451780912590555,0.10856222399066498,0.5052140174214869,0.08258175963423713,0.08194281904317022,0.1702913317669752,0.1191743549463255,0.13759065792495434,0.11925553262167704,0.641635152028232,0.14706476586494432,test,"(2,)"
9,100,False,True,i,4.334583922449266,1.850758235824174,1.4400510498364754,1.8508849924507078,5.9358325028312535,1.6582963246538593,1.6673742993109317,3.838477531003355,1.8571815069400321,1.4879153771395601,1.8572053031857922,5.017291219318563,1.5849498861293325,test,"(2,)"
10,200,False,True,c,0.0808188834656748,0.08070676225411018,0.06586554396536676,0.08071222885872086,0.35277066897543946,0.053456460613956376,0.05647515303636674,0.04607247792768285,0.045928342665655604,0.03654798848711704,0.04591968808131476,0.3559768292365551,0.030826280600371014,test,"(2,)"
11,200,False,True,i,2.5333296923073005,1.6909978586234982,1.5657691064929689,1.6905306980310986,7.624718652227732,1.536864451099548,1.6439254250108524,2.5258950533673987,1.9033525732240697,1.5815948484536886,1.9028585208245443,7.0879556547455715,1.6286325788030012,test,"(2,)"
12,400,False,True,c,0.007542454812885147,0.05878791878003346,0.004877602361282724,0.05886203073377287,0.730637306012818,0.055065434090183676,0.010773204875049283,0.03995569176358573,0.08738333215527583,0.023826633922830194,0.0878632029724124,0.7923154307020916,0.0690481239208795,test,"(2,)"
13,400,False,True,i,1.7078296569891425,1.7844031238323328,1.5082528424840802,1.7504899684186421,8.338277332854794,1.6146477534470034,1.3098988262461444,2.002448361439642,1.9381224121837974,1.6419101533988225,1.8466006699867372,8.056880296228634,1.6570134952167512,test,"(2,)"
14,800,False,True,c,0.018535033126885557,0.06290018772251246,0.0056106212142133195,0.06277772769550495,0.7651068759434336,0.05867460940494503,0.009995386249987838,0.004315926512786033,0.02301850662444899,-0.028624884210291072,0.02307757423059563,0.7285876399048311,0.012907674189331975,test,"(2,)"
15,800,False,True,i,1.8129649124407197,1.6754680023299116,1.4768291164604421,1.6754783620439533,6.614399334990074,1.6505743174375456,1.4027632452777887,1.7642784174053288,1.6393845734817354,1.5830028588745488,1.6393830493200585,6.529157735704079,1.6421301415710359,test,"(2,)"
0,100,False,True,c,0.03760454753186458,0.06356895829327756,0.008644163068692584,0.06357157855955867,0.06683463274741772,0.06060585802837149,0.021232922763181106,-0.06502583011688184,-0.0045627151051973415,-0.040346462472667315,-0.004579128535676489,0.43821433790300124,0.009608656314007313,train,"(4,)"
1,100,False,True,i,3.114128854550923,1.86827185833125,2.0555430044555574,1.8680079636888722,1.8490854240490626,1.8415917954806473,1.824422706166224,-0.4629189606211841,1.5237864959492686,1.2396310779866822,1.5237478995979001,5.653062301545938,1.681093973000305,train,"(4,)"
2,200,False,True,c,0.014982332917815025,0.04472027976349018,0.014348175489780752,0.04469326130008324,0.08222000297524622,0.050301498803424625,0.0340189798569746,-0.052718547515852525,0.05642810047818138,-0.05038150970364028,0.05643171183217589,0.7160309318434617,0.07074972293609838,train,"(4,)"
3,200,False,True,i,2.1982594839286875,2.2075343618732646,1.6949990142900384,2.2080619304021294,2.123328312301546,1.9222130923995735,1.6594354270821572,1.3049537134040154,1.2768541947451817,1.4225756175429496,1.2767364507807586,6.03081921851264,1.662771248024032,train,"(4,)"
4,400,False,True,c,0.006093482164335862,0.05327281242563857,0.0037998073467478883,0.053335321443944934,0.08253371840724988,0.05185753346511945,0.007411415418498683,-0.04739405698567163,0.0391801545682597,-0.03880688690798281,0.03914663883332913,0.5555361192894632,0.04722448087786324,train,"(4,)"
5,400,False,True,i,1.7743028415762654,1.6214406968051278,1.5240845936252203,1.621501137478984,1.6081352868621273,1.5585716836444539,1.4059837695680155,1.1376301129095305,1.4518350562415794,1.454966294239541,1.4517829858285956,6.087150904271182,1.6009394612361558,train,"(4,)"
6,800,False,True,c,0.006113351748251772,0.05488086221703775,0.0031158167021419357,0.05488093152125783,0.06599979614669305,0.05318118168901422,0.00752273256354846,-0.011601446665659557,0.059009090905213814,-0.002482169419521908,0.05900885426115103,0.839531137724035,0.06649241310443493,train,"(4,)"
7,800,False,True,i,2.1259648449333937,1.7377206276842718,1.6046115173245665,1.7377000377047798,1.721997264003491,1.6761595886337395,1.4875743738309513,0.6122521324864417,1.515273464832463,1.4908940018980896,1.5152333675685064,7.043573652984755,1.6013252793936519,train,"(4,)"
8,100,False,True,c,0.0372566369857594,0.06109200471220509,0.008644163068692584,0.061101159658487204,0.3538462879166323,0.05581095481696819,0.013313835293430862,0.02918934123852476,0.10554509574363109,0.0036395443391463366,0.10555081639967369,0.5770687847784587,0.1086665680413425,test,"(4,)"
9,100,False,True,i,4.2592642723804035,1.538319991803072,2.0555430044555574,1.5383593410679675,4.323700129555022,1.4993710010377321,1.5423940605107804,4.048432930295863,1.6370953742100796,1.7910720348368947,1.6372122059337124,4.356038034366499,1.6474013486229517,test,"(4,)"
10,200,False,True,c,0.012346185279541016,0.0472379474697179,0.014348175489780752,0.047194425868766966,0.716479351573969,0.04494756527455708,0.012506644110715379,-0.021286980904462082,0.07473085377862844,-0.023475231105556143,0.07474342871248184,0.8075521088013096,0.08050827738035626,test,"(4,)"
11,200,False,True,i,1.9605222507623008,1.9195542449217395,1.6949990142900384,1.9215004573669727,4.632976648772881,1.6999345030218997,1.4268902280068068,1.680002188525347,1.644132727808634,1.5718697290202153,1.6434911990529468,4.37589137771608,1.613707513609063,test,"(4,)"
12,400,False,True,c,0.005825068122806706,0.05132455657414889,0.0037998073467478883,0.05137719743068393,0.5468312860206375,0.05896324417938263,0.0033974406372722144,-0.031919343567494235,0.029067890191145977,-0.03168483360211226,0.029112472582738035,0.43362448317531066,0.02411403624105829,test,"(4,)"
13,400,False,True,i,1.5915666339509047,1.4328328533025607,1.5240845936252203,1.4330355751081632,6.700428284352538,1.354718440144768,1.2075933884390053,1.8266700133170304,1.681011084321835,1.5195466547398448,1.681063595760406,7.370172785994526,1.640008199725816,test,"(4,)"
14,800,False,True,c,0.005721755389613996,0.060294260970067265,0.0031158167021419357,0.06029596056652102,0.7455256977449639,0.05678740361396557,0.006113266467924491,0.010356402709940829,0.041779460040139965,0.005117117719456172,0.0417793511911583,0.7361184492975258,0.03964441941517244,test,"(4,)"
15,800,False,True,i,2.4912729807949914,1.7218305873796749,1.6046115173245665,1.7218448518955551,7.800140459133376,1.6259402277414474,1.5312083675447212,2.430872890554915,1.7314596038454841,1.5940840046916074,1.7310300393795115,7.86213243125033,1.6368540004531238,test,"(4,)"
0,100,False,True,c,0.06806234710969103,0.08953105959992541,0.0461807700268619,0.08954531705326157,0.07060523771410768,0.054181509362150215,0.10431831508083327,-0.022743789644747894,0.10731193924664055,0.009444279482919083,0.1072925730742675,1.0160017416943716,0.1443758528681932,train,"(6,)"
1,100,False,True,i,2.8818858495024573,2.4095916370658257,2.139005089345497,2.4095173769050824,2.333853536435617,2.122304477611904,1.9808522026443771,-1.516550819942912,1.4260004002148423,1.4625274233837064,1.4259666671130709,7.947267803145154,1.6613039733732802,train,"(6,)"
2,200,False,True,c,0.022249733304111573,0.06164680587631142,0.006490702646629909,0.061645482307967736,0.08597809893394581,0.06472209574501772,0.02115469000141291,-0.028497095757383302,0.01685826736256054,-0.016768618677982898,0.016854325261527806,0.7177496066124434,0.024579335509646083,train,"(6,)"
3,200,False,True,i,2.9073535660830947,1.9736540157303732,1.8093192246390621,1.9736309951887592,1.9126146024710167,1.810221881254594,1.873085715268807,-0.20537484403791312,1.486436363925366,1.3090681891582745,1.4864222002976082,6.389474229450102,1.6424378547160285,train,"(6,)"
4,400,False,True,c,0.020833943763439645,0.061403909583180656,0.0032025780192605287,0.06139098426044485,0.07955300942744939,0.05947796806640326,0.008003783202586249,-0.03410303129246706,0.015961945110345183,-0.019169070140845013,0.015953585590531106,0.4601484995694872,0.024704116790177755,train,"(6,)"
5,400,False,True,i,1.9955532243008778,1.7389826153096757,1.515790156941714,1.7424215358679243,1.6950938592293445,1.569488020756587,1.4292845216543077,0.7622040600443404,1.4338856900494634,1.464299536288479,1.4340084316087538,7.391514217258987,1.5839666049751813,train,"(6,)"
6,800,False,True,c,0.007034106006071183,0.054527793147735475,0.0012073477473450555,0.05452718739145518,0.08731877531335465,0.05885243622045813,0.012856241620244352,-0.059567322928318824,0.012974737909350083,-0.05270164690643133,0.012973496086027013,0.6286256097976467,0.016057119300791012,train,"(6,)"
7,800,False,True,i,2.016880533915469,1.5910413184313683,1.5559455894891085,1.5910303217780137,1.586482955920967,1.6008529853406654,1.4199876658959556,0.572389980719147,1.531321439759384,1.488618631395812,1.531296460813407,7.289922078590758,1.6065217639515883,train,"(6,)"
8,100,False,True,c,0.05343199300911777,0.10886940117517387,0.0461807700268619,0.10888980405830553,0.7089505342714619,0.06149107171619245,0.0777533770496218,0.0695585519369952,0.09315958093780466,0.05411535543993667,0.09316274762627615,0.673194513300222,0.03834524681304624,test,"(6,)"
9,100,False,True,i,7.980392919677423,1.7533892480091524,2.139005089345497,1.753399775905031,9.048529674000294,1.502600707795255,1.3463668609389385,6.855318652617768,1.8405430924133572,1.6997899543860187,1.840533987989963,9.13084355444211,1.651451062827539,test,"(6,)"
10,200,False,True,c,0.015160655314849381,0.05743060768954234,0.006490702646629909,0.05743017684187194,0.7187430927044715,0.062164992690449006,0.017117850177947154,0.03564936199414863,0.05375986918011527,0.005682705338866716,0.05375933693095483,0.8937108458725302,0.05411964243311451,test,"(6,)"
11,200,False,True,i,3.5266015716276486,1.647872000692243,1.8093192246390621,1.647919312944171,7.95284110943081,1.617363553774035,1.498177586982979,3.5579946202775456,1.97021828095665,1.812887307149911,1.9703181528631086,8.915375765397993,1.6272503140596433,test,"(6,)"
12,400,False,True,c,0.011359958362349242,0.05797815906368729,0.0032025780192605287,0.05796258672256891,0.5055520661950555,0.05700868984905374,0.0037250352874829418,0.058623973288537565,0.11628415711932348,0.040906458075910486,0.11625638287639319,0.5538088387052639,0.10543951149913694,test,"(6,)"
13,400,False,True,i,1.890683247600007,1.6833580513311543,1.515790156941714,1.6885707316877336,7.288815434648241,1.5339740111392393,1.4866803860330264,1.942244525661801,1.704299306509386,1.4579877444137395,1.7108764286666218,7.2765752239186865,1.5566475652522782,test,"(6,)"
14,800,False,True,c,0.007152027241238288,0.05417661818860295,0.0012073477473450555,0.0541757462376837,0.7128062056639078,0.06150171925928902,0.057864210213722796,-0.044208233294539594,-0.0026722269974634115,-0.05169167207351493,-0.002674150983099395,0.5854890644592158,-0.0035048324556986588,test,"(6,)"
15,800,False,True,i,2.332384667005911,1.8856312343595019,1.5559455894891085,1.885709245404893,7.195722641255774,1.856489491347687,1.6534318732380167,2.3403470298276496,1.728023851479902,1.6013557562255318,1.7280464033532092,7.385517089405353,1.6581543214196883,test,"(6,)"
0,100,False,True,c,0.22722045143531389,0.05668952670647986,0.001359926013318199,0.056689118364674086,0.07383856019858213,0.0528032150716882,0.01836870340683977,-0.11965152393276306,0.05300779765583449,0.012150884600804254,0.053004000689161335,0.4194760776048703,0.07733926806822844,train,"(8,)"
1,100,False,True,i,2.013673835668769,1.7074095649683496,1.5076190163100387,1.707837537227576,1.4820392510303124,1.3952142208662455,1.3868336226777562,-1.4634293900953839,1.126628306069678,1.2099189491915199,1.126442204496632,5.071032562723995,1.6875994638332386,train,"(8,)"
2,200,False,True,c,0.020747563285873953,0.06781602985782609,0.018028706511809007,0.0678146116791122,0.09122843094670806,0.06781656041747958,0.036429953000360345,-0.08046094708016398,-0.05986923381650641,-0.07900061026771417,-0.05986940006543755,0.4296565916232129,-0.05443182742615699,train,"(8,)"
3,200,False,True,i,2.088183143012287,1.7259624702647347,1.5688328864771193,1.7263560348657219,1.748835309427941,1.614935588099736,1.6092222797585674,0.18506621017031868,1.4339615604545386,1.5007102707525095,1.4339294771632567,7.370221544285633,1.6300392644523616,train,"(8,)"
4,400,False,True,c,0.06265653499684012,0.08412028123517508,0.0070624293644863,0.08445758896572136,0.08501992690200882,0.058662504234646515,0.022354069720352428,0.003072712791263159,0.06094366340982973,0.0416939547741754,0.0609062714698694,0.7654117113047717,0.07928403015582042,train,"(8,)"
5,400,False,True,i,2.137384355416827,1.8571670133205205,1.4599187138386727,1.8357163515598816,1.8314007725790977,1.7731933944381426,1.568091149829293,0.6364304380486296,1.4032998658570892,1.3190957545865625,1.4021872997043778,6.602701273191854,1.6137401755111094,train,"(8,)"
6,800,False,True,c,0.012247398038314436,0.05601528863302784,0.001847659660041473,0.055666680373151325,0.08278785193080657,0.05859168135649998,0.0036738258525219674,-0.012809811850105508,0.044864028341294715,-0.00239015565346286,0.04480907930223836,0.48674560211929796,0.04818921813614596,train,"(8,)"
7,800,False,True,i,1.8060639745089497,1.5108989704893725,1.4233151377275195,1.5106682983803426,1.5083589805858122,1.4900171568071214,1.2823353195735392,0.9079082789795168,1.5466824945383826,1.4828404635395496,1.5466434446363633,7.699417111121852,1.6258906397583155,train,"(8,)"
8,100,False,True,c,0.14957200160388295,0.06401811175569101,0.001359926013318199,0.06401983186596344,0.39068722154676405,0.06567054271281542,0.011137126353812463,0.002101223715808178,-0.04201804235679745,-0.12123521554214911,-0.042019218383438785,0.2984020171289955,-0.06875895255655623,test,"(8,)"
9,100,False,True,i,6.173688063555584,1.8712136450804644,1.5076190163100387,1.872054245942619,4.669967959874489,1.684822058104018,1.5570467190107837,4.399518296424255,2.3772744783890745,1.9545987380402599,2.3792217680443337,4.519631696169585,1.6762353867262971,test,"(8,)"
10,200,False,True,c,0.0238015971218816,0.07431058904561211,0.018028706511809007,0.07430884539938266,0.7080084781898927,0.07737192127934862,0.035791885107838796,-0.02900298767062401,-0.007854102528113457,-0.031451370160606215,-0.007854491962661001,0.46221264075675295,-0.002262383432767523,test,"(8,)"
11,200,False,True,i,2.185183797071441,1.9861059951041122,1.5688328864771193,1.9862370775067415,7.585437722150028,1.7905487609625756,1.6131674063801271,1.9965741996992503,1.565067222223143,1.4591645950774321,1.5657765317799703,7.034159925291335,1.5266452022166481,test,"(8,)"
12,400,False,True,c,0.04722648427773659,0.07154820992311825,0.0070624293644863,0.07173313347321343,0.7303712835394777,0.052739173438926715,0.0023392567210667996,0.0294540075159585,0.07085914004694345,-0.005136456670592458,0.07126332270152347,0.8437570557570482,0.06157608728625846,test,"(8,)"
13,400,False,True,i,2.173966115202456,1.733324320649331,1.4599187138386727,1.6874501766955867,7.617208330244384,1.621245547526029,1.3533545735421872,2.3009807188093756,1.6667584486167324,1.4401955997917957,1.643013808334066,7.623813498583286,1.6297053953895893,test,"(8,)"
14,800,False,True,c,0.006434383829685221,0.053562920868699064,0.001847659660041473,0.05320880368520467,0.53938234448264,0.055403852146828726,0.0009497513660467646,-0.035513621217273875,0.01653502841387379,-0.037339899601540265,0.017528850159662924,0.5069061485475576,0.018132085472395754,test,"(8,)"
15,800,False,True,i,1.9486484649483224,1.7101612870206606,1.4233151377275195,1.7100741953888154,7.234860218608588,1.6732377710425377,1.5797629227692116,2.0236488729389595,1.6714440389688066,1.5795430267204125,1.6716184609073907,6.847246148332326,1.626298148931243,test,"(8,)"
0,100,False,True,c,0.11071351807430382,0.07011051707120404,0.0704133326734861,0.07012944238504815,0.08243956509323444,0.06769033565458174,0.06967575712804062,-0.11599818690448403,-0.00982890265807015,-0.04551719624681285,-0.009833604978558341,0.4656666422987171,0.0054913764160028355,train,"(10,)"
1,100,False,True,i,2.0370373318075177,1.5348470066789992,1.4847115781105162,1.5348907398038947,1.592908501611825,1.418987009603332,1.5175666035314883,-1.012807573713126,1.330872002929758,1.020170199103757,1.3308180525112112,4.911714309043125,1.6577718161795318,train,"(10,)"
2,200,False,True,c,0.04324071482011361,0.06138447962181034,0.02506291055502311,0.06139773433327318,0.07053793662426246,0.04783631694000896,0.05170422620381474,-0.0009339326142313853,0.1123443548021524,0.023557699984835093,0.11232123713537959,0.8744507156186506,0.13155828398885333,train,"(10,)"
3,200,False,True,i,2.465045848729079,2.0066234646898256,1.770560404604341,2.006700673179863,1.9847830747471213,1.8500840076934169,1.6502944088514535,-1.3119757742653186,1.411286546925121,1.255129028116464,1.4112283432677355,5.353185477933814,1.658036891130058,train,"(10,)"
4,400,False,True,c,0.01956973684200131,0.05888989943526702,0.005918709223565317,0.06751453532355237,0.07128311679035919,0.056766104962798145,0.009986392102094233,0.015996701958500118,0.08204869772516375,0.027189831127706073,0.07676131953731315,0.9490058838794286,0.08717270984803055,train,"(10,)"
5,400,False,True,i,2.3182765421659393,1.8277161507807498,1.6653499592464323,1.82774517479311,1.811703826474008,1.7977039347708754,1.6081314226519403,0.09640911154405236,1.4998404895344442,1.4984691770478606,1.499791891438448,6.375376276098211,1.6124421073327713,train,"(10,)"
6,800,False,True,c,0.005606064107587258,0.05668178049918727,0.0026281047653554015,0.05669297538424923,0.08570270504059856,0.05952309205506086,0.0038735781134509547,-0.05218226041458528,0.004267083266261054,-0.04792306263531721,0.004271309120600009,0.616583723693693,0.00628058396931952,train,"(10,)"
7,800,False,True,i,1.7776575026368806,1.6382879204226821,1.3594483065003917,1.6382544082920232,1.6345945844337197,1.6316834067005672,1.3670096540866958,0.888614136245417,1.5678092527874288,1.3307593241573128,1.5677816515960223,6.5418302603410465,1.6465060083283372,train,"(10,)"
8,100,False,True,c,0.12280865308919475,0.07006070293262046,0.0704133326734861,0.07006370795803356,0.6701634320799315,0.058423440779106287,0.013898526947129867,0.08847131734199498,0.08135196386656532,0.02507031157155226,0.08140359694715357,0.5784978244015125,0.04204649498995722,test,"(10,)"
9,100,False,True,i,5.090902007316535,2.0747532978271312,1.4847115781105162,2.0748419709787878,6.072613086660115,1.720690160350626,1.7326650716495633,5.753995303619352,2.1389782774601893,2.7165238726085987,2.139172076355923,7.187706085106542,1.6285363141698173,test,"(10,)"
10,200,False,True,c,0.027266550252764376,0.06545187485043857,0.02506291055502311,0.06546247919492694,0.6617887709843246,0.05388692940888084,0.030279994350747585,0.05978043531367746,0.15072037968758964,0.0739187118794876,0.15072462710175002,0.8938916797789875,0.16301752475861975,test,"(10,)"
11,200,False,True,i,6.507269709495888,1.4561397046935827,1.770560404604341,1.4561427348770146,5.067337641465324,1.4314937911125736,1.4316379049691739,5.705496071474739,1.7287274245495727,1.3626301363308324,1.7287501217812602,5.001371012074454,1.6338471287057086,test,"(10,)"
12,400,False,True,c,0.01528559196087353,0.057747086038199266,0.005918709223565317,0.06501514332985285,0.8377365833659787,0.05295363850606802,0.0069731854706736,0.026382268523768012,0.05825068237707327,0.017077566843627594,0.06440399151086694,0.8941679239069181,0.05938603496378175,test,"(10,)"
13,400,False,True,i,2.901183219380121,1.728435933610142,1.6653499592464323,1.7285817835369872,6.266513314372905,1.6414332627713746,1.440845267533631,2.760026137492367,1.8713580000633954,1.6030054804166722,1.8714166571138424,6.073024480324336,1.6462286176708667,test,"(10,)"
14,800,False,True,c,0.006259430721343721,0.06055135453433018,0.0026281047653554015,0.06055127059802132,0.7484843914640729,0.05955071298929245,0.005970261704068716,0.05390571968841157,0.0918785798687368,0.04711633350437471,0.0918822910165595,0.7767124741905026,0.08635295998073828,test,"(10,)"
15,800,False,True,i,1.7372911091899592,1.6305338623137005,1.3594483065003917,1.6305750690295804,6.609555846613577,1.6193232775285495,1.3185547809397096,1.7733703104135756,1.7227284255410518,1.3362745504582274,1.7225959204709518,6.5071762777902675,1.6199454312079336,test,"(10,)"
0,100,False,True,c,0.20053389043459957,0.10114884846770372,0.08068627856510974,0.10118137822809933,0.07747297056672248,0.08450463085168161,0.09898737370920711,-0.04084587507669737,0.1447824862040156,0.15339122235467537,0.14476732074401455,0.47149352100651937,0.16296348118023152,train,"(2, 2)"
1,100,False,True,i,2.3214986499606427,2.3202915976522047,1.9906988698549453,2.321050215162825,2.2608336478952284,1.9381385337504455,1.9631880299911206,0.8911984062522497,0.8910596189076955,1.3907759340912733,0.8909122807673492,5.977405756664418,1.5654046264634354,train,"(2, 2)"
2,200,False,True,c,0.1614367002888094,0.1614027134688527,0.03993762514214241,0.16127634360228413,0.10920689382528392,0.08589322951294809,0.049484170450775175,0.11655954846769798,0.11657946827627058,0.12708738611108877,0.11656826122458483,0.7939596411706821,0.1679543529216859,train,"(2, 2)"
3,200,False,True,i,2.7584779473050425,1.9088906461400696,1.6429534799127579,1.9088086526351609,1.913458180478343,1.7460044480538386,1.4438674512436558,0.32685673792441206,1.3587117250143963,1.504185647923134,1.3586983081957305,10.657732840054626,1.5863244604688422,train,"(2, 2)"
4,400,False,True,c,0.08658699268359671,0.08656834179995421,0.01372872377738566,0.0865842227432668,0.08916668751111106,0.06123882993793245,0.03682079645420855,0.04314503021858493,0.04315103181192306,0.022263802798004804,0.04314854954886755,0.6416479511316072,0.07107148756089837,train,"(2, 2)"
5,400,False,True,i,1.584004488578389,1.6144949966653608,1.582777415575729,1.6143226488669051,1.5914027911341513,1.5325194800766786,1.2656819254923852,1.5120793792249498,1.50232894059849,1.6626248075887886,1.502266563310841,5.949776296037325,1.6402783842893338,train,"(2, 2)"
6,800,False,True,c,0.055732782452157154,0.05574660097043467,0.054953064962412076,0.055836376926831625,0.07722965674961707,0.0562222593026269,0.0026921245476675443,0.023733605338971835,0.02375997046820217,0.02474649540933699,0.02375391774903072,0.2013093993805849,0.026626941377667634,train,"(2, 2)"
7,800,False,True,i,1.5379352237860022,1.546378196696543,1.4386239238005125,1.5464965315382084,1.540272333843129,1.4958477963603705,1.2655440862444571,1.6084060206532667,1.590228930472205,1.5981220376303014,1.5902153140965565,6.6462758989819,1.6407950756936127,train,"(2, 2)"
8,100,False,True,c,0.16172594553041184,0.08279979772872728,0.08068627856510974,0.08281629234131872,0.49379494561312165,0.09053894282239532,0.04607129804368142,0.24441404874227232,0.04219786528248769,0.014959132068313745,0.042234804513034664,0.2306626413621072,-0.03116677002134982,test,"(2, 2)"
9,100,False,True,i,1.7533817223970374,1.7541542647451651,1.9906988698549453,1.7549124168210926,7.889230705509164,1.632601285571815,1.8133409179914033,2.3756178285654848,2.373361158959401,1.509828706515484,2.3762799996225743,7.191769373291134,1.6125388480199494,test,"(2, 2)"
10,200,False,True,c,0.07105742695696189,0.07100038392829058,0.03993762514214241,0.07088767143896005,0.7099576369672899,0.06017156797640439,0.003257782684635438,0.03486951232680964,0.03490257095431723,0.0014844158926300155,0.03512968350476292,0.6854554862929022,-0.005373218682503067,test,"(2, 2)"
11,200,False,True,i,2.9499122067722476,1.939808487407857,1.6429534799127579,1.9432808731908124,8.365043310838729,1.6762719511375834,1.60936994113257,2.5345702215554575,2.0890084855996425,1.617132617150708,2.07535522169836,7.86084475360789,1.6246765921254867,test,"(2, 2)"
12,400,False,True,c,0.06311571734173087,0.06309406542444043,0.01372872377738566,0.0631135777095613,0.6431748897633721,0.051324506651269974,0.04399105076287216,0.06778370576635818,0.0677444672778487,0.009794121094070659,0.06778593546280852,0.6617291956610484,0.04505222545241294,test,"(2, 2)"
13,400,False,True,i,1.662009033249289,1.656935832496302,1.582777415575729,1.6569381685536104,5.919254946271054,1.5772143487893902,1.432900236158618,1.6954946512686366,1.7015502778869442,1.6535202536325908,1.7016362319060565,5.908466574215021,1.6426329275385256,test,"(2, 2)"
14,800,False,True,c,0.0571704254015505,0.05718711970612029,0.054953064962412076,0.05730631802076905,0.22421508447703883,0.05609270635320634,0.002220574436567156,0.03594647587952784,0.03599711572489703,0.03350190188242129,0.0362362177344496,0.2106308019770461,0.03559016126232034,test,"(2, 2)"
15,800,False,True,i,1.601771692494858,1.5992269479597403,1.4386239238005125,1.5993794196031117,6.736712032218369,1.561244860864565,1.3324208715469252,1.5996048692405118,1.595079780018148,1.5822951526235252,1.5948955420819086,6.364968456022417,1.6315644157733282,test,"(2, 2)"
0,100,False,True,c,0.07663784306232635,0.0993387572626819,0.052231421511278124,0.09935760291000223,0.1348282454604283,0.06128208630939518,0.042742465597278276,-0.07025533661267476,0.05568026456326301,0.08874491725769204,0.05566397007563353,0.6839197065484953,0.10178717074322485,train,"(4, 4)"
1,100,False,True,i,2.153699829438327,1.7806293462339937,1.3781890381994564,1.780767573284579,1.7376395936118418,1.4371689443917903,1.3470310026107324,-0.46696427791748946,0.8960864756236461,1.4056491210869195,0.8959598137161178,6.028476125130776,1.5140117392405448,train,"(4, 4)"
2,200,False,True,c,0.10134492216786108,0.05899975701350945,0.057478844766739104,0.09091714979014752,0.0820481067119209,0.059689128660300295,0.019138650403024364,-0.07454662910653077,0.024249164703678758,0.028691299810762235,0.011731142385803821,0.36380607281057437,0.03373989035986186,train,"(4, 4)"
3,200,False,True,i,2.279600918191737,1.8246191340765427,1.4275854238777557,1.8245289844778418,1.7276819096231133,1.5623388693474842,1.4294541821548932,0.8560385088104431,1.337114657677892,1.4570958833244827,1.3370356082711987,6.529736563957259,1.598229318597806,train,"(4, 4)"
4,400,False,True,c,0.02691435830046139,0.05583690396527759,0.005274276916272613,0.05583021455421983,0.0709112902718974,0.05529768413613006,0.007140480092613868,-0.057035050397628746,0.03471902446175761,-0.030844604074416113,0.03471650197902676,0.8620392983040926,0.04105837310767618,train,"(4, 4)"
