,experiment,variance,use_location,use_scale,Z,NPMLE,thetaG,misspec,NPMLEinit,wellspec,surels,truth
57,g,0.2,False,True,149.34480503523687,0.0,2.31176443099905e-310,0.0,0.0,0.0,0.0,0.0
58,g,0.2,False,True,149.3545600694341,0.0,2.1025666515676e-310,0.0,0.0,0.0,0.0,0.0
59,g,0.2,False,True,149.3643151036313,0.0,1.9122876382027e-310,0.0,0.0,0.0,0.0,0.0
60,g,0.2,False,True,149.37407013782854,0.0,1.7392175716582e-310,0.0,0.0,0.0,0.0,0.0
61,g,0.2,False,True,149.38382517202575,0.0,1.58180106162003e-310,0.0,0.0,0.0,0.0,0.0
62,g,0.2,False,True,149.39358020622296,0.0,1.43862320783156e-310,0.0,0.0,0.0,0.0,0.0
63,g,0.2,False,True,149.40333524042018,0.0,1.3083969185459e-310,0.0,0.0,0.0,0.0,0.0
64,g,0.2,False,True,149.41309027461742,0.0,1.1899513729591e-310,0.0,0.0,0.0,0.0,0.0
65,g,0.2,False,True,149.42284530881463,0.0,1.0822215244926e-310,0.0,0.0,0.0,0.0,0.0
66,g,0.2,False,True,149.43260034301184,0.0,9.8423855108813e-311,0.0,0.0,0.0,0.0,0.0
67,g,0.2,False,True,149.44235537720905,0.0,8.9512116713444e-311,0.0,0.0,0.0,0.0,0.0
68,g,0.2,False,True,149.4521104114063,0.0,8.1406771932716e-311,0.0,0.0,0.0,0.0,0.0
69,g,0.2,False,True,149.4618654456035,0.0,7.4034899577987e-311,0.0,0.0,0.0,0.0,0.0
70,g,0.2,False,True,149.47162047980072,0.0,6.733016840606e-311,0.0,0.0,0.0,0.0,0.0
71,g,0.2,False,True,149.48137551399796,0.0,6.123224196322e-311,0.0,0.0,0.0,0.0,0.0
72,g,0.2,False,True,149.49113054819517,0.0,5.5686237145043e-311,0.0,0.0,0.0,0.0,0.0
73,g,0.2,False,True,149.50088558239239,0.0,5.0642231626533e-311,0.0,0.0,0.0,0.0,0.0
74,g,0.2,False,True,149.5106406165896,0.0,4.6054815754713e-311,0.0,0.0,0.0,0.0,0.0
75,g,0.2,False,True,149.52039565078684,0.0,4.188268489276e-311,0.0,0.0,0.0,0.0,0.0
76,g,0.2,False,True,149.53015068498405,0.0,3.808826856639e-311,0.0,0.0,0.0,0.0,0.0
77,g,0.2,False,True,149.53990571918126,0.0,3.4637393092015e-311,0.0,0.0,0.0,0.0,0.0
78,g,0.2,False,True,149.54966075337848,0.0,3.1498974666117e-311,0.0,0.0,0.0,0.0,0.0
79,g,0.2,False,True,149.55941578757572,0.0,2.864474016708e-311,0.0,0.0,0.0,0.0,0.0
80,g,0.2,False,True,149.56917082177293,0.0,2.604897316879e-311,0.0,0.0,0.0,0.0,0.0
81,g,0.2,False,True,149.57892585597014,0.0,2.368828289088e-311,0.0,0.0,0.0,0.0,0.0
82,g,0.2,False,True,149.58868089016735,0.0,2.154139401569e-311,0.0,0.0,0.0,0.0,0.0
83,g,0.2,False,True,149.5984359243646,0.0,1.958895548845e-311,0.0,0.0,0.0,0.0,0.0
84,g,0.2,False,True,149.6081909585618,0.0,1.7813366587504e-311,0.0,0.0,0.0,0.0,0.0
85,g,0.2,False,True,149.61794599275902,0.0,1.619861870543e-311,0.0,0.0,0.0,0.0,0.0
86,g,0.2,False,True,149.62770102695623,0.0,1.4730151423034e-311,0.0,0.0,0.0,0.0,0.0
87,g,0.2,False,True,149.63745606115347,0.0,1.339472158571e-311,0.0,0.0,0.0,0.0,0.0
88,g,0.2,False,True,149.64721109535068,0.0,1.218028420847e-311,0.0,0.0,0.0,0.0,0.0
89,g,0.2,False,True,149.6569661295479,0.0,1.10758841414e-311,0.0,0.0,0.0,0.0,0.0
90,g,0.2,False,True,149.6667211637451,0.0,1.0071557524184e-311,0.0,0.0,0.0,0.0,0.0
91,g,0.2,False,True,149.67647619794235,0.0,9.15824214557e-312,0.0,0.0,0.0,0.0,0.0
92,g,0.2,False,True,149.68623123213956,0.0,8.327695903666e-312,0.0,0.0,0.0,0.0,0.0
93,g,0.2,False,True,149.69598626633677,0.0,7.572422635473e-312,0.0,0.0,0.0,0.0,0.0
94,g,0.2,False,True,149.70574130053402,0.0,6.885604650063e-312,0.0,0.0,0.0,0.0,0.0
95,g,0.2,False,True,149.71549633473123,0.0,6.26104135991e-312,0.0,0.0,0.0,0.0,0.0
96,g,0.2,False,True,149.72525136892844,0.0,5.69309345954e-312,0.0,0.0,0.0,0.0,0.0
97,g,0.2,False,True,149.73500640312565,0.0,5.176632150355e-312,0.0,0.0,0.0,0.0,0.0
98,g,0.2,False,True,149.7447614373229,0.0,4.70699295579e-312,0.0,0.0,0.0,0.0,0.0
99,g,0.2,False,True,149.7545164715201,0.0,4.27993371211e-312,0.0,0.0,0.0,0.0,0.0
100,g,0.2,False,True,149.76427150571732,0.0,3.89159635742e-312,0.0,0.0,0.0,0.0,0.0
101,g,0.2,False,True,149.77402653991453,0.0,3.53847217589e-312,0.0,0.0,0.0,0.0,0.0
102,g,0.2,False,True,149.78378157411177,0.0,3.217370184853e-312,0.0,0.0,0.0,0.0,0.0
103,g,0.2,False,True,149.79353660830898,0.0,2.92538838074e-312,0.0,0.0,0.0,0.0,0.0
104,g,0.2,False,True,149.8032916425062,0.0,2.65988758553e-312,0.0,0.0,0.0,0.0,0.0
105,g,0.2,False,True,149.8130466767034,0.0,2.418467658677e-312,0.0,0.0,0.0,0.0,0.0
106,g,0.2,False,True,149.82280171090065,0.0,2.198945860703e-312,0.0,0.0,0.0,0.0,0.0
107,g,0.2,False,True,149.83255674509786,0.0,1.999337173903e-312,0.0,0.0,0.0,0.0,0.0
108,g,0.2,False,True,149.84231177929507,0.0,1.81783640334e-312,0.0,0.0,0.0,0.0,0.0
109,g,0.2,False,True,149.85206681349229,0.0,1.652801897107e-312,0.0,0.0,0.0,0.0,0.0
110,g,0.2,False,True,149.86182184768953,0.0,1.502740739483e-312,0.0,0.0,0.0,0.0,0.0
111,g,0.2,False,True,149.87157688188674,0.0,1.36629528382e-312,0.0,0.0,0.0,0.0,0.0
112,g,0.2,False,True,149.88133191608395,0.0,1.242230904007e-312,0.0,0.0,0.0,0.0,0.0
113,g,0.2,False,True,149.89108695028116,0.0,1.129424854337e-312,0.0,0.0,0.0,0.0,0.0
114,g,0.2,False,True,149.9008419844784,0.0,1.026856137473e-312,0.0,0.0,0.0,0.0,0.0
115,g,0.2,False,True,149.91059701867562,0.0,9.3359628948e-313,0.0,0.0,0.0,0.0,0.0
116,g,0.2,False,True,149.92035205287283,0.0,8.4880099879e-313,0.0,0.0,0.0,0.0,0.0
117,g,0.2,False,True,149.93010708707004,0.0,7.7170248388e-313,0.0,0.0,0.0,0.0,0.0
118,g,0.2,False,True,149.93986212126728,0.0,7.01602560814e-313,0.0,0.0,0.0,0.0,0.0
119,g,0.2,False,True,149.9496171554645,0.0,6.3786633846e-313,0.0,0.0,0.0,0.0,0.0
120,g,0.2,False,True,149.9593721896617,0.0,5.79916484407e-313,0.0,0.0,0.0,0.0,0.0
121,g,0.2,False,True,149.96912722385895,0.0,5.27228010085e-313,0.0,0.0,0.0,0.0,0.0
122,g,0.2,False,True,149.97888225805616,0.0,4.79323528033e-313,0.0,0.0,0.0,0.0,0.0
123,g,0.2,False,True,149.98863729225337,0.0,4.35768938615e-313,0.0,0.0,0.0,0.0,0.0
124,g,0.2,False,True,149.99839232645058,0.0,3.96169507354e-313,0.0,0.0,0.0,0.0,0.0
125,g,0.2,False,True,150.00814736064783,0.0,3.6016629747e-313,0.0,0.0,0.0,0.0,0.0
126,g,0.2,False,True,150.01790239484504,0.0,3.2743292553e-313,0.0,0.0,0.0,0.0,0.0
127,g,0.2,False,True,150.02765742904225,0.0,2.9767261095e-313,0.0,0.0,0.0,0.0,0.0
128,g,0.2,False,True,150.03741246323946,0.0,2.70615492723e-313,0.0,0.0,0.0,0.0,0.0
129,g,0.2,False,True,150.0471674974367,0.0,2.46016189254e-313,0.0,0.0,0.0,0.0,0.0
130,g,0.2,False,True,150.05692253163392,0.0,2.2365157919e-313,0.0,0.0,0.0,0.0,0.0
131,g,0.2,False,True,150.06667756583113,0.0,2.0331878335e-313,0.0,0.0,0.0,0.0,0.0
132,g,0.2,False,True,150.07643260002834,0.0,1.8483332945e-313,0.0,0.0,0.0,0.0,0.0
133,g,0.2,False,True,150.08618763422558,0.0,1.68027483164e-313,0.0,0.0,0.0,0.0,0.0
134,g,0.2,False,True,150.0959426684228,0.0,1.5274873036e-313,0.0,0.0,0.0,0.0,0.0
135,g,0.2,False,True,150.10569770262,0.0,1.38858396924e-313,0.0,0.0,0.0,0.0,0.0
136,g,0.2,False,True,150.11545273681722,0.0,1.26230393607e-313,0.0,0.0,0.0,0.0,0.0
137,g,0.2,False,True,150.12520777101446,0.0,1.14750074693e-313,0.0,0.0,0.0,0.0,0.0
138,g,0.2,False,True,150.13496280521167,0.0,1.04313200046e-313,0.0,0.0,0.0,0.0,0.0
139,g,0.2,False,True,150.14471783940888,0.0,9.4824991295e-314,0.0,0.0,0.0,0.0,0.0
140,g,0.2,False,True,150.1544728736061,0.0,8.6199273516e-314,0.0,0.0,0.0,0.0,0.0
141,g,0.2,False,True,150.16422790780334,0.0,7.835769479e-314,0.0,0.0,0.0,0.0,0.0
142,g,0.2,False,True,150.17398294200055,0.0,7.122901645e-314,0.0,0.0,0.0,0.0,0.0
143,g,0.2,False,True,150.18373797619776,0.0,6.4748467726e-314,0.0,0.0,0.0,0.0,0.0
144,g,0.2,False,True,150.193493010395,0.0,5.885715888e-314,0.0,0.0,0.0,0.0,0.0
145,g,0.2,False,True,150.20324804459221,0.0,5.3501547567e-314,0.0,0.0,0.0,0.0,0.0
146,g,0.2,False,True,150.21300307878943,0.0,4.863295357e-314,0.0,0.0,0.0,0.0,0.0
147,g,0.2,False,True,150.22275811298664,0.0,4.4207117563e-314,0.0,0.0,0.0,0.0,0.0
148,g,0.2,False,True,150.23251314718388,0.0,4.0183799884e-314,0.0,0.0,0.0,0.0,0.0
149,g,0.2,False,True,150.2422681813811,0.0,3.65264157e-314,0.0,0.0,0.0,0.0,0.0
150,g,0.2,False,True,150.2520232155783,0.0,3.320170326e-314,0.0,0.0,0.0,0.0,0.0
151,g,0.2,False,True,150.26177824977552,0.0,3.017942223e-314,0.0,0.0,0.0,0.0,0.0
152,g,0.2,False,True,150.27153328397276,0.0,2.7432079447e-314,0.0,0.0,0.0,0.0,0.0
153,g,0.2,False,True,150.28128831816997,0.0,2.493467947e-314,0.0,0.0,0.0,0.0,0.0
154,g,0.2,False,True,150.29104335236718,0.0,2.2664497826e-314,0.0,0.0,0.0,0.0,0.0
155,g,0.2,False,True,150.3007983865644,0.0,2.0600874827e-314,0.0,0.0,0.0,0.0,0.0
156,g,0.2,False,True,150.31055342076164,0.0,1.8725028047e-314,0.0,0.0,0.0,0.0,0.0
157,g,0.2,False,True,150.32030845495885,0.0,1.7019881877e-314,0.0,0.0,0.0,0.0,0.0
158,g,0.2,False,True,150.33006348915606,0.0,1.5469912513e-314,0.0,0.0,0.0,0.0,0.0
159,g,0.2,False,True,150.33981852335327,0.0,1.406100701e-314,0.0,0.0,0.0,0.0,0.0
160,g,0.2,False,True,150.3495735575505,0.0,1.2780335163e-314,0.0,0.0,0.0,0.0,0.0
161,g,0.2,False,True,150.35932859174773,0.0,1.1616232955e-314,0.0,0.0,0.0,0.0,0.0
162,g,0.2,False,True,150.36908362594494,0.0,1.055809666e-314,0.0,0.0,0.0,0.0,0.0
163,g,0.2,False,True,150.37883866014215,0.0,9.596286505e-315,0.0,0.0,0.0,0.0,0.0
164,g,0.2,False,True,150.3885936943394,0.0,8.722039094e-315,0.0,0.0,0.0,0.0,0.0
165,g,0.2,False,True,150.3983487285366,0.0,7.92738779e-315,0.0,0.0,0.0,0.0,0.0
166,g,0.2,False,True,150.40810376273382,0.0,7.20509032e-315,0.0,0.0,0.0,0.0,0.0
167,g,0.2,False,True,150.41785879693106,0.0,6.548562945e-315,0.0,0.0,0.0,0.0,0.0
168,g,0.2,False,True,150.42761383112827,0.0,5.951820626e-315,0.0,0.0,0.0,0.0,0.0
169,g,0.2,False,True,150.43736886532548,0.0,5.409422633e-315,0.0,0.0,0.0,0.0,0.0
170,g,0.2,False,True,150.4471238995227,0.0,4.91642303e-315,0.0,0.0,0.0,0.0,0.0
171,g,0.2,False,True,150.45687893371993,0.0,4.468325744e-315,0.0,0.0,0.0,0.0,0.0
172,g,0.2,False,True,150.46663396791715,0.0,4.06104366e-315,0.0,0.0,0.0,0.0,0.0
173,g,0.2,False,True,150.47638900211436,0.0,3.690861454e-315,0.0,0.0,0.0,0.0,0.0
174,g,0.2,False,True,150.48614403631157,0.0,3.35440177e-315,0.0,0.0,0.0,0.0,0.0
175,g,0.2,False,True,150.4958990705088,0.0,3.048594524e-315,0.0,0.0,0.0,0.0,0.0
176,g,0.2,False,True,150.50565410470603,0.0,2.77064895e-315,0.0,0.0,0.0,0.0,0.0
177,g,0.2,False,True,150.51540913890324,0.0,2.518028217e-315,0.0,0.0,0.0,0.0,0.0
178,g,0.2,False,True,150.52516417310045,0.0,2.28842631e-315,0.0,0.0,0.0,0.0,0.0
179,g,0.2,False,True,150.5349192072977,0.0,2.079747083e-315,0.0,0.0,0.0,0.0,0.0
180,g,0.2,False,True,150.5446742414949,0.0,1.890085134e-315,0.0,0.0,0.0,0.0,0.0
181,g,0.2,False,True,150.55442927569212,0.0,1.717708486e-315,0.0,0.0,0.0,0.0,0.0
182,g,0.2,False,True,150.56418430988933,0.0,1.561042784e-315,0.0,0.0,0.0,0.0,0.0
183,g,0.2,False,True,150.57393934408657,0.0,1.41865699e-315,0.0,0.0,0.0,0.0,0.0
184,g,0.2,False,True,150.58369437828378,0.0,1.289250326e-315,0.0,0.0,0.0,0.0,0.0
185,g,0.2,False,True,150.593449412481,0.0,1.17164043e-315,0.0,0.0,0.0,0.0,0.0
186,g,0.2,False,True,150.6032044466782,0.0,1.064752573e-315,0.0,0.0,0.0,0.0,0.0
187,g,0.2,False,True,150.61295948087545,0.0,9.67609895e-316,0.0,0.0,0.0,0.0,0.0
188,g,0.2,False,True,150.62271451507266,0.0,8.79324455e-316,0.0,0.0,0.0,0.0,0.0
189,g,0.2,False,True,150.63246954926987,0.0,7.9908919e-316,0.0,0.0,0.0,0.0,0.0
190,g,0.2,False,True,150.6422245834671,0.0,7.2617051e-316,0.0,0.0,0.0,0.0,0.0
191,g,0.2,False,True,150.65197961766432,0.0,6.59901655e-316,0.0,0.0,0.0,0.0,0.0
192,g,0.2,False,True,150.66173465186154,0.0,5.9967656e-316,0.0,0.0,0.0,0.0,0.0
193,g,0.2,False,True,150.67148968605875,0.0,5.44944383e-316,0.0,0.0,0.0,0.0,0.0
194,g,0.2,False,True,150.681244720256,0.0,4.9520445e-316,0.0,0.0,0.0,0.0,0.0
195,g,0.2,False,True,150.6909997544532,0.0,4.500017e-316,0.0,0.0,0.0,0.0,0.0
196,g,0.2,False,True,150.7007547886504,0.0,4.0892251e-316,0.0,0.0,0.0,0.0,0.0
197,g,0.2,False,True,150.71050982284763,0.0,3.7159095e-316,0.0,0.0,0.0,0.0,0.0
198,g,0.2,False,True,150.72026485704487,0.0,3.37665347e-316,0.0,0.0,0.0,0.0,0.0
199,g,0.2,False,True,150.73001989124208,0.0,3.0683515e-316,0.0,0.0,0.0,0.0,0.0
200,g,0.2,False,True,150.7397749254393,0.0,2.78818106e-316,0.0,0.0,0.0,0.0,0.0
201,g,0.2,False,True,150.7495299596365,0.0,2.53357693e-316,0.0,0.0,0.0,0.0,0.0
