,experiment,use_location,use_scale,Z,NPMLE,thetaG,misspec,NPMLEinit,wellspec,truth
0,e,True,True,-3.9235320332739994,1.1051431620916603,0.5077975268587391,1.9270478414574195,4.092155137563386,4.999086097617209,0.593200643848406
1,e,True,True,-3.9223442754898623,1.109390211419102,0.5098608626712843,1.9337222079615242,4.104519219125143,5.035958636982742,0.595971111929992
2,e,True,True,-3.9211565177057253,1.1136542210837699,0.5119320778565428,1.9404222659656831,4.116898517447989,5.073201964554678,0.5987536744265072
3,e,True,True,-3.919968759921588,1.117935235025378,0.51401120033203,1.947148123701373,4.129292857138997,5.110819927619561,0.6015483799368856
4,e,True,True,-3.918781002137451,1.1222332969892683,0.5160982581045873,1.953899889683519,4.141702061796106,5.148816411363643,0.6043552772352889
5,e,True,True,-3.9175932443533137,1.1265484505245114,0.5181932792716928,1.9606776727090698,4.154125954019626,5.187195339204807,0.6071744152718735
6,e,True,True,-3.9164054865691766,1.130880738979098,0.5202962920212657,1.967481581853832,4.166564355413229,5.225960673129352,0.6100058431732047
7,e,True,True,-3.9152177287850396,1.1352302054985375,0.5224073246318383,1.9743117264722632,4.179017086598221,5.265116414033505,0.6128496102429065
8,e,True,True,-3.9140299710009026,1.1395968930221534,0.5245264054731402,1.9811682161930635,4.1914839672165165,5.3046666020618,0.6157057659618765
9,e,True,True,-3.9128422132167655,1.1439808442806243,0.5266535630056695,1.9880511609186406,4.203964815943473,5.344615316955228,0.6185743599895088
10,e,True,True,-3.9116544554326285,1.1483821017926163,0.5287888257821128,1.9949606708219851,4.216459450488635,5.384966678392201,0.6214554421634331
11,e,True,True,-3.9104666976484914,1.1528007078616098,0.5309322224462666,2.0018968563448256,4.228967687612215,5.425724846341255,0.6243490625007208
12,e,True,True,-3.9092789398643544,1.157236704573969,0.5330837817343608,2.0088598281960053,4.241489343126255,5.466894021411025,0.6272552711981686
13,e,True,True,-3.908091182080217,1.1616901337946048,0.5352435324748498,2.0158496973468125,4.25402423190752,5.508478445200562,0.630174118632625
14,e,True,True,-3.90690342429608,1.166161037165414,0.5374115035884628,2.0228665750323263,4.266572167903152,5.5504824006573426,0.633105655362133
15,e,True,True,-3.905715666511943,1.1706494561010925,0.5395877240890828,2.0299105727455182,4.279132964141928,5.592910212434333,0.6360499321257344
16,e,True,True,-3.9045279087278058,1.1751554317871549,0.5417722230835588,2.0369818022358577,4.291706432740812,5.635766247253433,0.6390069998448803
17,e,True,True,-3.9033401509436687,1.1796790051761594,0.5439650297717749,2.044080375508699,4.304292384913305,5.679054914262684,0.6419769096231449
18,e,True,True,-3.9021523931595317,1.184220216985497,0.5461661734476556,2.0512064048203698,4.316890630980615,5.722780665402301,0.6449597127473712
19,e,True,True,-3.9009646353753946,1.188779107693894,0.5483756834986544,2.058360002677567,4.329500980378889,5.7669479957756815,0.6479554606879703
20,e,True,True,-3.8997768775912576,1.1933557175385279,0.5505935894063857,2.0655412818324037,4.342123241669117,5.811561444015488,0.6509642050996398
21,e,True,True,-3.8985891198071205,1.1979500865126835,0.5528199207468439,2.0727503552824733,4.354757222545449,5.856625592658602,0.6539859978216184
22,e,True,True,-3.897401362022983,1.2025622543615138,0.5550547071908689,2.0799873362664583,4.367402729844659,5.902145068514796,0.6570208908787608
23,e,True,True,-3.896213604238846,1.2071922605805603,0.55729797850393,2.087252338262105,4.380059569558842,5.9481245430531695,0.660068936481606
24,e,True,True,-3.895025846454709,1.211840144411727,0.559549764546831,2.094545474984262,4.392727546837378,5.9945687327680215,0.6631301870272296
25,e,True,True,-3.893838088670572,1.2165059448407747,0.5618100952756754,2.1018668603798987,4.405406466005792,6.041482399575041,0.6662046950997769
26,e,True,True,-3.892650330886435,1.221189700594698,0.564079000742563,2.1092166086280595,4.41809613056802,6.088870351184712,0.6692925134708004
27,e,True,True,-3.891462573102298,1.2258914501379452,0.5663565110950425,2.116594834135226,4.430796343220751,6.1367374414922375,0.6723936951002842
28,e,True,True,-3.8902748153181608,1.230611231670076,0.5686426565776198,2.1240016515324402,4.443506905861375,6.185088570965818,0.67550829313667
29,e,True,True,-3.8890870575340237,1.2353490831225786,0.5709374675306041,2.1314371756746375,4.456227619597976,6.233928687038867,0.6786363609179281
30,e,True,True,-3.8878992997498867,1.240105042156282,0.5732409743916598,2.1389015216348803,4.4689582847606015,6.283262784502022,0.6817779519719357
31,e,True,True,-3.886711541965749,1.2448791461582271,0.5755532076951314,2.146394804702624,4.481698700911525,6.3330959058982454,0.6849331200168065
32,e,True,True,-3.885523784181612,1.2496714322381615,0.5778741980727535,2.1539171403817936,4.494448666854497,6.383433141926787,0.6881019189619492
33,e,True,True,-3.884336026397475,1.25448193722678,0.5802039762541921,2.16146864438596,4.507207980644444,6.434279631833234,0.6912844029082063
34,e,True,True,-3.883148268613338,1.2593106976718158,0.5825425730662875,2.1690494326361063,4.519976439601804,6.485640563823495,0.694480626148762
35,e,True,True,-3.881960510829201,1.2641577498355456,0.5848900194346721,2.1766596212583345,4.5327538403191605,6.537521175462938,0.6976906431694717
36,e,True,True,-3.880772753045064,1.26902312969203,0.5872463463831158,2.1842993265790147,4.545539978674188,6.589926754085757,0.7009145086496874
37,e,True,True,-3.879584995260927,1.2739068729238283,0.589611585034153,2.1919686651225194,4.558334649839705,6.642862637204187,0.7041522774625153
38,e,True,True,-3.87839723747679,1.2788090149190865,0.5919857666093276,2.1996677536096136,4.571137648295338,6.696334212927206,0.7074040046758324
39,e,True,True,-3.8772094796926524,1.283729590769225,0.594368922429141,2.207396708950901,4.5839487678371995,6.7503469203648105,0.7106697455525177
40,e,True,True,-3.8760217219085153,1.2886686352654984,0.5967610839138738,2.2151556482469106,4.596767801592353,6.804906250054083,0.713949555551235
41,e,True,True,-3.8748339641243783,1.2936261828960378,0.5991622825835972,2.222944688781984,4.609594542024372,6.860017744377532,0.7172434903267187
42,e,True,True,-3.8736462063402413,1.2986022678441063,0.6015725500582119,2.2307639480229944,4.622428780952002,6.915686997980176,0.720551605730941
43,e,True,True,-3.872458448556104,1.303596923982962,0.6039919180584166,2.2386135436152625,4.635270309552974,6.971919658204727,0.7238739578131936
44,e,True,True,-3.871270690771967,1.3086101848758158,0.6064204184049367,2.246493593378625,4.648118918383216,7.028721425505594,0.7272106028207262
45,e,True,True,-3.87008293298783,1.3136420837709792,0.6088580830197573,2.254404215304691,4.660974397382222,7.086098053887155,0.7305615971997079
46,e,True,True,-3.868895175203693,1.3186926535989634,0.6113049439261923,2.262345527554094,4.673836535887173,7.144055351336463,0.7339269975953768
47,e,True,True,-3.867707417419556,1.323761926971731,0.6137610332486944,2.2703176484508467,4.68670512264761,7.202599180246832,0.7373068608530398
48,e,True,True,-3.8665196596354185,1.3288499361768817,0.6162263832135298,2.2783206964807965,4.6995799458303935,7.261735457871274,0.7407012440183589
49,e,True,True,-3.8653319018512815,1.3339567131777614,0.618701026149128,2.286354790286623,4.71246079304116,7.321470156742753,0.74411020433796
50,e,True,True,-3.8641441440671445,1.3390822896086745,0.6211849944861031,2.2944200486659385,4.725347451326975,7.381809305130607,0.7475337992602465
51,e,True,True,-3.8629563862830074,1.3442266967726029,0.623678320757649,2.302516590565422,4.738239707196759,7.442758987475977,0.750972086436132
52,e,True,True,-3.8617686284988704,1.349389965638902,0.626181037600034,2.3106445350790517,4.7511373466278295,7.504325344843295,0.7544251237189817
53,e,True,True,-3.8605808707147333,1.3545721268399,0.6286931777523777,2.3188040014438065,4.764040155078907,7.566514575360817,0.7578929691658383
54,e,True,True,-3.8593931129305963,1.3597732106684814,0.6312147740573518,2.3269951090355803,4.776947917508243,7.62933293468007,0.7613756810379092
55,e,True,True,-3.8582053551464592,1.3649932470752837,0.6337458594615523,2.3352179773647945,4.789860418378219,7.692786736423623,0.7648733178010674
56,e,True,True,-3.857017597362322,1.3702322656660215,0.6362864670153915,2.3434727260749915,4.802777441676109,7.756882352644549,0.768385938126489
57,e,True,True,-3.8558298395781847,1.3754902956987025,0.638836629873599,2.3517594749359345,4.8156987709176,7.821626214277463,0.7719136008913082
58,e,True,True,-3.8546420817940477,1.3807673660808615,0.6413963812953271,2.3600783438419595,4.8286241891687025,7.8870248116071835,0.7754563651789315
59,e,True,True,-3.8534543240099106,1.386063505366429,0.64396575464512,2.368429452806821,4.84155347905321,7.95308469472732,0.7790142902803221
60,e,True,True,-3.8522665662257736,1.391378741753982,0.6465447833919962,2.3768129219602123,4.85448642276865,8.019812474002626,0.7825874356940511
61,e,True,True,-3.8510788084416365,1.396713103083643,0.6491335011110047,2.3852288715444745,4.867422802095607,8.087214820541625,0.7861758611268311
62,e,True,True,-3.8498910506574995,1.4020666168344555,0.6517319414825773,2.393677421908461,4.8803623984166995,8.1552984666583,0.7897796264947937
