,experiment,variance,use_location,use_scale,Z,NPMLE,thetaG,misspec,NPMLEinit,wellspec,surels,truth
0,j,1,False,True,-1.724467373650052,2.719332324530293e-06,0.0060242022868828,1.9796029216953543e-07,4.0294459825126405e-05,0.0008820978921830244,0.0009849699929128084,0.00975183537355439
1,j,1,False,True,-1.7205403970358895,2.766947783082739e-06,0.006036491449129188,2.0149903141839015e-07,3.9961971097392616e-05,0.0008838122553642348,0.0009960862359066247,0.009856653602936066
2,j,1,False,True,-1.7166134204217267,2.8153542622156907e-06,0.006048801018471693,2.0509788344512495e-07,3.9631800087323014e-05,0.0008855581109946651,0.0010073170379079285,0.009962444844299825
3,j,1,False,True,-1.7126864438075642,2.8645641186024023e-06,0.006061131017528741,2.0875781052214692e-07,3.9303939001107704e-05,0.0008873360098526368,0.00101866344619773,0.010069216260632433
4,j,1,False,True,-1.7087594671934017,2.914589888109638e-06,0.006073481468917611,2.1247978926655998e-07,3.897838003920305e-05,0.0008891465085352687,0.0010301265160862529,0.010176975046156134
5,j,1,False,True,-1.704832490579239,2.96544428816245e-06,0.006085852395254315,2.162648108357259e-07,3.8655115397295806e-05,0.0008909901695059956,0.0010417073109574443,0.010285728426217259
6,j,1,False,True,-1.7009055139650764,3.017140220136528e-06,0.00609824381915355,2.201138811251943e-07,3.8334137267266024e-05,0.0008928675611424132,0.0010534069023135546,0.010395483657171217
7,j,1,False,True,-1.6969785373509139,3.069690771778161e-06,0.006110655763228624,2.2402802096901902e-07,3.801543783814872e-05,0.0008947792577844542,0.0010652263698197853,0.0105062480262639
8,j,1,False,True,-1.6930515607367511,3.1231092196521644e-06,0.00612308825009138,2.280082663424867e-07,3.769900929709446e-05,0.0008967258397828897,0.00107716680134898,0.010618028851509398
9,j,1,False,True,-1.6891245841225886,3.1774090316180182e-06,0.006135541302352136,2.320556685672816e-07,3.738484383032881e-05,0.0008987078935481605,0.0010892292930263757,0.010730833481564018
10,j,1,False,True,-1.685197607508426,3.2326038693344803e-06,0.006148014942619575,2.361712945191115e-07,3.707293362411057e-05,0.0009007260115995397,0.0011014149492744117,0.010844669295596637
11,j,1,False,True,-1.6812706308942633,3.2887075907929975e-06,0.006160509193500721,2.4035622683782055e-07,3.676327086568899e-05,0.0009027807926146258,0.0011137248828575923,0.010959543703155241
12,j,1,False,True,-1.6773436542801008,3.3457342528799878e-06,0.006173024077600827,2.446115641400052e-07,3.6455847744259905e-05,0.0009048728414791648,0.001126160214927378,0.011075464144029705
13,j,1,False,True,-1.6734166776659383,3.403698113968558e-06,0.006185559617523314,2.4893842123417263e-07,3.615065645192047e-05,0.0009070027693372097,0.0011387220750671422,0.011192438088110832
14,j,1,False,True,-1.6694897010517755,3.462613636539678e-06,0.00619811583586972,2.533379293384532e-07,3.5847689184623186e-05,0.0009091711936416078,0.0011514116013371664,0.011310473035245506
15,j,1,False,True,-1.665562724437613,3.5224954898332007e-06,0.0062106927552395795,2.578112363009009e-07,3.5546938143128504e-05,0.0009113787382048263,0.0011642299403196732,0.011429576515088023
16,j,1,False,True,-1.6616357478234505,3.5833585525290143e-06,0.006223290398230402,2.6235950682240423e-07,3.524839553395646e-05,0.0009136260332501095,0.0011771782471639075,0.011549756086947542
17,j,1,False,True,-1.6577087712092877,3.645217915458462e-06,0.006235908787437551,2.669839226822251e-07,3.4952053570337335e-05,0.0009159137154629718,0.001190257685631231,0.01167101933963163
18,j,1,False,True,-1.6537817945951252,3.708088884346515e-06,0.006248547945454205,2.716856829662085e-07,3.465790447316122e-05,0.0009182424280430261,0.00120346942814028,0.011793373891285805
19,j,1,False,True,-1.6498548179809627,3.7719869825848187e-06,0.006261207894871276,2.764660042976744e-07,3.436594047192638e-05,0.0009206128207561491,0.0012168146558121315,0.011916827389229254
20,j,1,False,True,-1.6459278413668,3.836927954035955e-06,0.006273888658277312,2.8132612107102075e-07,3.407615380568686e-05,0.0009230255499869824,0.0012302945585155101,0.012041387509786445
21,j,1,False,True,-1.6420008647526374,3.90292776586917e-06,0.0062865902582584475,2.8626728568806967e-07,3.3788536723998866e-05,0.0009254812787917706,0.00124391033491201,0.012167061958114796
22,j,1,False,True,-1.6380738881384749,3.970002611427878e-06,0.0062993127173983105,2.912907687971741e-07,3.350308148786616e-05,0.0009279806769515394,0.0012576631925013554,0.012293858468028301
23,j,1,False,True,-1.6341469115243121,4.038168913129294e-06,0.006312056058277988,2.963978595351242e-07,3.3219780370684666e-05,0.0009305244210256094,0.0012715543476666698,0.012421784801817054
24,j,1,False,True,-1.6302199349101496,4.107443325396204e-06,0.006324820303475886,3.015898657718574e-07,3.293862565918595e-05,0.0009331131944054463,0.001285585025719754,0.012550848750062684
25,j,1,False,True,-1.626292958295987,4.177842737621573e-06,0.0063376054755677124,3.068681143580307e-07,3.265960965437986e-05,0.0009357476873688572,0.0012997564609464063,0.012681058131449739
26,j,1,False,True,-1.6223659816818243,4.249384277165957e-06,0.006350411597126377,3.122339513754513e-07,3.23827246724962e-05,0.0009384285971345155,0.0013140698966517263,0.01281242079257288
27,j,1,False,True,-1.6184390050676618,4.322085312388092e-06,0.006363238690721913,3.176887423904144e-07,3.2107963045925466e-05,0.0009411566279168377,0.001328526585205449,0.012944944607739888
28,j,1,False,True,-1.6145120284534993,4.395963455709097e-06,0.006376086778921402,3.2323387270996817e-07,3.1835317124158824e-05,0.0009439324909811887,0.0013431277880872736,0.013078637478770576
29,j,1,False,True,-1.6105850518393365,4.4710365667102955e-06,0.006388955884288909,3.2887074764112063e-07,3.156477927472707e-05,0.0009467569046994328,0.0013578747759321972,0.013213507334791376
30,j,1,False,True,-1.606658075225174,4.54732275526522e-06,0.0064018460293854135,3.346007927530438e-07,3.12963418841391e-05,0.000949630594605824,0.0013727688285758498,0.013349562132025728
31,j,1,False,True,-1.6027310986110115,4.624840384705991e-06,0.006414757236768692,3.40425454142277e-07,3.102999735881916e-05,0.0009525542934532359,0.0013878112350998327,0.013486809853580238
32,j,1,False,True,-1.5988041219968487,4.703608075024326e-06,0.0064276895289933,3.463461987009692e-07,3.076573812604362e-05,0.0009555287412697313,0.00140300329387704,0.013625258509226513
33,j,1,False,True,-1.5948771453826862,4.78364470610754e-06,0.00644064292861046,3.5236451438818845e-07,3.0503556634876832e-05,0.0009585546854154745,0.0014183463126169837,0.013764916135178678
34,j,1,False,True,-1.5909501687685237,4.864969421009758e-06,0.006453617458167979,3.5848191050432094e-07,3.02434453571064e-05,0.0009616328806399824,0.0014338416084110988,0.013905790793866635
35,j,1,False,True,-1.587023192154361,4.947601629258855e-06,0.006466613140210199,3.646999179686006e-07,2.9985396788177607e-05,0.0009647640891397155,0.001449490507778042,0.014047890573704851
36,j,1,False,True,-1.5830962155401984,5.031561010199008e-06,0.0064796299972778955,3.7102008959977376e-07,2.972940344812739e-05,0.0009679490806160097,0.0014652943467089617,0.01419122358885681
37,j,1,False,True,-1.579169238926036,5.116867516369662e-06,0.006492668051908215,3.77444000399957e-07,2.9475457882517527e-05,0.0009711886323333502,0.0014812544707127544,0.014335797978995089
38,j,1,False,True,-1.5752422623118731,5.203541376920841e-06,0.006505727326634617,3.8397324784169504e-07,2.9223552663367176e-05,0.0009744835291779818,0.0014973722348612984,0.014481621909057003
39,j,1,False,True,-1.5713152856977106,5.2916031010652635e-06,0.006518807843986737,3.906094521582589e-07,2.8973680390085037e-05,0.0009778345637168637,0.0015136490038346556,0.014628703568995744
40,j,1,False,True,-1.567388309083548,5.381073481567638e-06,0.006531909626490379,3.973542566372117e-07,2.8725833690400752e-05,0.000981242536256962,0.001530086151966255,0.014777051173527133
41,j,1,False,True,-1.5634613324693853,5.4719735982711586e-06,0.0065450326966673845,4.0420932791725996e-07,2.848000522129595e-05,0.0009847082549048795,0.0015466850632880151,0.014926672961871838
42,j,1,False,True,-1.5595343558552228,5.564324821661909e-06,0.006558177077035598,4.111763562884417e-07,2.8236187669934872e-05,0.0009882325356268282,0.0015634471315754588,0.015077577197492992
43,j,1,False,True,-1.5556073792410603,5.65814881647121e-06,0.006571342790108748,4.182570559956619e-07,2.7994373754594365e-05,0.0009918162023089384,0.0015803737603927756,0.015229772167829437
44,j,1,False,True,-1.5516804026268975,5.753467545316221e-06,0.006584529858396401,4.2545316554561456e-07,2.7754556225593622e-05,0.0009954600868179095,0.0015974663631378376,0.01538326618402431
45,j,1,False,True,-1.547753426012735,5.85030327237935e-06,0.006597738304403879,4.3276644801711844e-07,2.751672786622354e-05,0.0009991650290619928,0.001614726363087172,0.015538067580649026
