,theta_grid_EB_misspec_e_location_scale,theta_grid_EB_NPMLEinit_e_location_scale,theta_grid_NPMLE_e_location_scale,pi_hat_EB_misspec_e_location_scale,pi_hat_EB_NPMLEinit_e_location_scale,pi_hat_NPMLE_e_location_scale,theta_grid_EB_misspec_e_median_scale,theta_grid_EB_NPMLEinit_e_median_scale,theta_grid_NPMLE_e_median_scale,pi_hat_EB_misspec_e_median_scale,pi_hat_EB_NPMLEinit_e_median_scale,pi_hat_NPMLE_e_median_scale,theta_grid_EB_misspec_e_location_IQR,theta_grid_EB_NPMLEinit_e_location_IQR,theta_grid_NPMLE_e_location_IQR,pi_hat_EB_misspec_e_location_IQR,pi_hat_EB_NPMLEinit_e_location_IQR,pi_hat_NPMLE_e_location_IQR,theta_grid_EB_misspec_e_median_IQR,theta_grid_EB_NPMLEinit_e_median_IQR,theta_grid_NPMLE_e_median_IQR,pi_hat_EB_misspec_e_median_IQR,pi_hat_EB_NPMLEinit_e_median_IQR,pi_hat_NPMLE_e_median_IQR
13,-0.892647,-3.167641,-2.9254915606577105,0.000647079,0.0,0.0,-1.0110962,-3.1902792,-2.9254915606577105,0.0004955278,0.0,0.0,-0.8077589,-1.8345829,-2.9254915606577105,0.0003711255,0.0,0.0,-0.89829004,-2.1668856,-2.9254915606577105,0.0002093891,0.0,0.0
14,-0.86917794,-3.087334,-2.848719216610303,0.00075160863,0.0,0.0,-0.96275085,-3.1085095,-2.848719216610303,0.0005650641,0.0,0.0,-0.7936002,-1.8339854,-2.848719216610303,0.00042354324,0.0,0.0,-0.8762819,-2.1659148,-2.848719216610303,0.00023438201,0.0,0.0
15,-0.8501649,-3.007027,-2.7719468725628964,0.0008743447,0.0,0.0,-0.9251045,-3.0267396,-2.7719468725628964,0.00064305926,0.0,0.0,-0.78173876,-1.833388,-2.7719468725628964,0.00048296337,0.0,0.0,-0.85749274,-2.164944,-2.7719468725628964,0.0002611386,0.0,0.0
16,-0.8345275,-2.9267201,-2.6951745285154898,0.0010252382,0.0,0.0,-0.8950774,-2.94497,-2.6951745285154898,0.00072960084,0.0,0.0,-0.77176964,-1.8327905,-2.6951745285154898,0.00055326946,0.0,0.0,-0.84135973,-2.1639733,-2.6951745285154898,0.0002899308,0.0,0.0
17,-0.82152283,-2.8464131,-2.6184021844680823,0.0012253291,0.0,0.0,-0.8707246,-2.8632,-2.6184021844680823,0.00082587847,0.0,0.0,-0.7633946,-1.832193,-2.6184021844680823,0.0006427568,0.0,0.0,-0.8274853,-2.1630025,-2.6184021844680823,0.0003214047,0.0,0.0
18,-0.8106084,-2.7661064,-2.5416298404206756,0.0015241188,0.0,0.0,-0.85078204,-2.78143,-2.5416298404206756,0.0009352126,0.0,0.0,-0.7563789,-1.8315955,-2.5416298404206756,0.0007709751,0.0,0.0,-0.8155865,-2.162032,-2.5416298404206756,0.00035703578,0.0,0.0
19,-0.80136037,-2.6857994,-2.464857496373269,0.0020594697,0.0,0.0,-0.8344086,-2.69966,-2.464857496373269,0.0010658886,0.0,0.0,-0.75051427,-1.8309983,-2.464857496373269,0.0009922408,0.0,0.0,-0.805464,-2.161061,-2.464857496373269,0.00040026192,0.0,0.0
20,-0.79343,-2.6054924,-2.3880851523258615,0.0033373686,0.0,0.0,-0.8210353,-2.6178904,-2.3880851523258615,0.0012394678,0.0,0.0,-0.74558985,-1.8304008,-2.3880851523258615,0.0015065484,0.0,0.0,-0.7969772,-2.1600904,-2.3880851523258615,0.0004598247,0.0,0.0
21,-0.78653836,-2.5251853,-2.311312808278455,0.008446738,0.0,0.0,-0.8102692,-2.5361204,-2.311312808278455,0.0015214123,0.0,0.0,-0.7413689,-1.8298033,-2.311312808278455,0.0035859214,0.0,0.0,-0.7900244,-2.1591196,-2.311312808278455,0.00056257827,0.0,0.0
22,-0.7805463,-2.4448786,-2.234540464231048,0.09306864,0.0,0.0,-0.80182683,-2.4543507,-2.234540464231048,0.002189619,0.0,0.0,-0.73761404,-1.8292059,-2.234540464231048,0.08008723,0.0,0.0,-0.78451717,-2.158149,-2.234540464231048,0.00082957355,0.0,0.0
23,-0.77588797,-2.3645718,-2.1577681201836407,0.16684815,0.0,0.0,-0.79547125,-2.372581,-2.1577681201836407,0.0057740184,0.0,0.0,-0.7344316,-1.8286084,-2.1577681201836407,0.22433607,0.0,0.0,-0.7803362,-2.1571782,-2.1577681201836407,0.00261401,0.0,0.0
24,-0.7716193,-2.2842648,-2.080995776136234,0.016452083,0.0,0.0,-0.79098487,-2.2908113,-2.080995776136234,0.22432734,0.0,0.0,-0.7310308,-1.8280109,-2.080995776136234,0.0074417996,0.0,0.0,-0.7772516,-2.1562076,-2.080995776136234,0.30643493,0.0,0.0
25,-0.7671875,-2.2039583,-2.0042234320888275,0.007919129,0.0,0.0,-0.7888564,-2.209041,-2.0042234320888275,0.04030468,0.0,0.0,-0.727299,-1.8274134,-2.0042234320888275,0.003794572,0.0,0.0,-0.774919,-2.1552367,-2.0042234320888275,0.009049131,0.0,0.0
26,-0.76242685,-2.1236515,-1.9274510880414204,0.005043548,0.0,0.0,-0.7866112,-2.1272714,-1.9274510880414204,0.012345207,0.0,0.0,-0.7230141,-1.826816,-1.9274510880414204,0.0024994488,0.0,0.0,-0.771914,-2.1542659,-1.9274510880414204,0.0030257413,0.0,0.0
27,-0.75679326,-2.0433447,-1.8506787439940133,0.003679709,5.157159e-10,2.5254600347078203e-09,-0.7834513,-2.0455015,-1.8506787439940133,0.00677722,1.0689273e-09,2.5254600347078203e-09,-0.7177501,-1.8262185,-1.8506787439940133,0.001870696,6.363513e-10,2.5254600347078203e-09,-0.76755416,-2.1532953,-1.8506787439940133,0.0017640226,5.655121e-10,2.5254600347078203e-09
28,-0.7501633,-1.9630384,-1.7739063999466067,0.002903117,0.013238953,0.01684719943189157,-0.77933043,-1.9637321,-1.7739063999466067,0.004786179,0.013266686,0.01684719943189157,-0.71139956,-1.8256212,-1.7739063999466067,0.0015034862,0.01914001,0.01684719943189157,-0.76181054,-2.1523244,-1.7739063999466067,0.0012874204,0.008842156,0.01684719943189157
