,n,use_location,use_scale,experiment,MSE_wellspec,MSE_misspec,MSE_surels,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,MSE_EBCF,SURE_wellspec,SURE_misspec,SURE_surels,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG,data
81,800,False,True,d,0.002262358482498253,0.005130309593251149,0.0007535873590925797,0.005130533410650447,0.03541672043650976,0.005094438342960452,0.000432806823962728,0.001511306728510895,0.0025344399021425624,0.00043577402264555475,0.0025334475101039013,0.0279897682358666,0.002784010260659317,test
82,800,False,True,e,0.1393027141909332,0.1542083264024309,0.15965573113641643,0.1541905292042734,0.3110125963820524,0.2140192544774956,0.14835414613817724,0.15471795795739432,0.17540046647863855,0.15164931091836914,0.17538819591705468,0.324576184172832,0.23213629703004857,test
83,800,False,True,f,0.06448438425055379,0.0644797363083581,0.0025119904441760236,0.06448622997164227,0.7687950328524198,0.053691795418420646,0.001513006445382724,0.036813883212184914,0.03681448316942636,-0.00860738261554212,0.03680997782271831,0.7628410944133651,0.04536663034670785,test
84,800,False,True,g,0.033459616257647234,0.1640951339434128,0.27441439487571845,0.1777916712802002,1.5835395481464758,0.2591453054471853,0.256688613212825,0.032739574221862806,0.17158502604490228,0.25310237807811675,0.17568005975737708,1.553377827410406,0.26707902482621904,test
85,800,False,True,h,0.3463972765637599,0.36780420847821554,0.38824405978102966,0.3681388735368557,1.146413825229816,0.38681580609440047,0.3715313378978186,0.39595452958705113,0.36363791829412434,0.36006576394371065,0.36404121464342726,1.1899967751110159,0.3927158843905185,test
86,800,False,True,i,1.4719206792907116,1.5180700030803245,1.6160510224271667,1.474111498422635,6.3081938950070855,1.4601832159586388,1.3834337839655513,1.6778048797468077,1.7178414382769847,1.7300565144559692,1.6951679501364418,6.561615745793639,1.6507150730221767,test
87,800,False,True,j,0.866271944938816,2.889571478277526,0.9255165054553433,2.889584740514625,47.39746307508897,3.2033270005908765,0.87514099805168,0.785488016399452,2.94423016427148,0.7891794800107905,2.944698444218858,48.071835786443316,3.3885425645523655,test
88,1600,False,True,c,0.010517974094223637,0.05706130740747877,0.0019179054162178533,0.05706649245894854,0.5504517262040173,0.05553128283151465,0.0011419924297657916,0.010450927585094033,0.046390593041101984,-0.006755579264326057,0.04639801836235215,0.5196665570356774,0.0366007761273347,test
89,1600,False,True,d,0.0007136303558727365,0.005975953258812306,0.0062950939154267395,0.005988545507016007,0.07394070662672408,0.0058684037212619255,0.0005086685774455006,-0.007160275441878325,-0.0012197026949742984,-0.0009774945675316401,-0.0012649520337835974,0.07286240295304251,-0.0014986480076354391,test
90,1600,False,True,e,0.16057520034700534,0.17988133113177926,0.15542640399355365,0.17989827133343145,0.34713845561581735,0.21196309476764136,0.16012898248563365,0.16585540850349187,0.18733112140624916,0.14828701696540422,0.18733964778325057,0.33819674543500056,0.23256069497925272,test
