,experiment,variance,use_location,use_scale,Z,NPMLE,thetaG,misspec,NPMLEinit,wellspec,surels,truth
0,e,0.1,False,True,-3.9235320332739994,8.164285598509353e-05,7.934336357172655e-05,1.0295761701015241e-06,0.0007039971051142141,0.006629051950035261,1.622455577423334e-39,7.142191604931428e-39
1,e,0.1,False,True,-3.9223442754898623,8.224002335269844e-05,7.966575979243588e-05,1.0451745623463855e-06,0.0007067099258479365,0.0066771188728454774,1.681722393692743e-39,7.397889495427348e-39
2,e,0.1,False,True,-3.9211565177057253,8.284038995070671e-05,7.998938716514967e-05,1.0609944785182683e-06,0.0007094231919592813,0.006725440915300623,1.7431415945811983e-39,7.66268758485784e-39
3,e,0.1,False,True,-3.919968759921588,8.344396213296338e-05,8.031425005193049e-05,1.0770388275916207e-06,0.0007121368284568186,0.006774018580684714,1.8067908860914077e-39,7.936907800792189e-39
4,e,0.1,False,True,-3.918781002137451,8.405074616349096e-05,8.064035282889693e-05,1.0933105531165e-06,0.0007148507600460482,0.006822852365541134,1.8727507627278354e-39,8.220883389658874e-39
5,e,0.1,False,True,-3.9175932443533137,8.466074821548029e-05,8.096769988626518e-05,1.109812633576805e-06,0.0007175649111324999,0.0068719427596021536,1.9411046069508872e-39,8.51495931223889e-39
6,e,0.1,False,True,-3.9164054865691766,8.527397437027988e-05,8.129629562838786e-05,1.1265480827514561e-06,0.0007202792058248598,0.00692129024571848,2.0119387921554454e-39,8.819492652884344e-39
7,e,0.1,False,True,-3.9152177287850396,8.589043061638605e-05,8.162614447379421e-05,1.1435199500786249e-06,0.0007229935679381418,0.00697089529978901,2.0853427892995518e-39,9.134853042948188e-39
8,e,0.1,False,True,-3.9140299710009026,8.65101228484304e-05,8.19572508552314e-05,1.1607313210229285e-06,0.0007257079209968786,0.007020758390690498,2.1614092773100464e-39,9.461423098904526e-39
9,e,0.1,False,True,-3.9128422132167655,8.71330568661677e-05,8.228961921970237e-05,1.178185317445659e-06,0.0007284221882383523,0.007070879980207382,2.2402342573989854e-39,9.799598875670652e-39
10,e,0.1,False,True,-3.9116544554326285,8.775923837346292e-05,8.262325402850801e-05,1.195885097978065e-06,0.0007311362926158579,0.007121260522961708,2.3219171714285167e-39,1.0149790335658077e-38
11,e,0.1,False,True,-3.9104666976484914,8.838867297727763e-05,8.295815975728654e-05,1.2138338583976709e-06,0.0007338501568019961,0.0071719004663431335,2.4065610244664977e-39,1.0512421834086219e-38
12,e,0.1,False,True,-3.9092789398643544,8.902136618665637e-05,8.329434089605533e-05,1.2320348320076821e-06,0.0007365637031919994,0.007222800250439034,2.4942725116798084e-39,1.0887932621127568e-38
13,e,0.1,False,True,-3.908091182080217,8.965732341171216e-05,8.363180194924902e-05,1.2504912900194639e-06,0.0007392768539070927,0.007273960307964751,2.585162149718796e-39,1.1276777361457817e-38
14,e,0.1,False,True,-3.90690342429608,9.029654996261162e-05,8.397054743576208e-05,1.2692065419380983e-06,0.0007419895307978776,0.007325381064193888,2.6793444127505063e-39,1.1679426671817049e-38
15,e,0.1,False,True,-3.905715666511943,9.093905104856115e-05,8.431058188898972e-05,1.2881839359511086e-06,0.000744701655447762,0.007377062936888858,2.7769378733036916e-39,1.2096367677194173e-38
16,e,0.1,False,True,-3.9045279087278058,9.158483177679148e-05,8.465190985686678e-05,1.3074268593202556e-06,0.0007474131491764081,0.007429006336231475,2.8780653480949326e-39,1.2528104586283112e-38
17,e,0.1,False,True,-3.9033401509436687,9.223389715154313e-05,8.499453590191125e-05,1.3269387387764968e-06,0.0007501239330432188,0.0074812116647536946,2.982854049011582e-39,1.2975159286867616e-38
18,e,0.1,False,True,-3.9021523931595317,9.28862520730515e-05,8.533846460126224e-05,1.346723040918105e-06,0.0007528339278508512,0.007533679317268553,3.091435739431245e-39,1.3438071961828015e-38
19,e,0.1,False,True,-3.9009646353753946,9.354190133653235e-05,8.568370054672435e-05,1.3667832726119488e-06,0.0007555430541487665,0.00758640968080123,3.20394689606733e-39,1.3917401726471155e-38
20,e,0.1,False,True,-3.8997768775912576,9.42008496311677e-05,8.603024834480601e-05,1.387122981397952e-06,0.0007582512322368047,0.0076394031345203,3.3205288765327206e-39,1.4413727287923974e-38
21,e,0.1,False,True,-3.8985891198071205,9.48631015390915e-05,8.637811261676312e-05,1.4077457558967675e-06,0.0007609583821687932,0.007692660049669158,3.441328092822943e-39,1.4927647627342832e-38
22,e,0.1,False,True,-3.897401362022983,9.552866153437665e-05,8.672729799863845e-05,1.4286552262206497e-06,0.0007636644237561869,0.00774618078949764,3.5664961909276223e-39,1.5459782705731963e-38
23,e,0.1,False,True,-3.896213604238846,9.619753398202086e-05,8.707780914130435e-05,1.4498550643875228e-06,0.0007663692765717305,0.007799965709193757,3.6961902367843244e-39,1.601077419417034e-38
24,e,0.1,False,True,-3.895025846454709,9.68697231369356e-05,8.742965071050405e-05,1.4713489847383707e-06,0.000769072859953165,0.00785401515581582,3.8305729087970635e-39,1.6581286229301434e-38
25,e,0.1,False,True,-3.893838088670572,9.754523314293363e-05,8.778282738689257e-05,1.4931407443577799e-06,0.0007717750930069503,0.00790832946822456,3.969812697150547e-39,1.7172006194935562e-38
26,e,0.1,False,True,-3.892650330886435,9.822406803171804e-05,8.81373438660805e-05,1.5152341434978142e-06,0.0007744758946120246,0.007962908977015607,4.114084110158395e-39,1.7783645530679404e-38
27,e,0.1,False,True,-3.891462573102298,9.890623172187243e-05,8.849320485867315e-05,1.5376330260051384e-06,0.0007771751834235906,0.00801775400445214,4.263567887890838e-39,1.8416940568506962e-38
28,e,0.1,False,True,-3.8902748153181608,9.959172801785165e-05,8.885041509031511e-05,1.5603412797514392e-06,0.000779872877876932,0.008072864864397782,4.418451223339292e-39,1.9072653398243927e-38
29,e,0.1,False,True,-3.8890870575340237,0.00010028056060897397,8.920897930172984e-05,1.5833628370671542e-06,0.0007825688961912581,0.008128241862249759,4.578927991379832e-39,1.975157276294309e-38
30,e,0.1,False,True,-3.8878992997498867,0.00010097273306841391,8.956890224876429e-05,1.6067016751785203e-06,0.0007852631563735776,0.00818388529487229,4.7451989858093506e-39,2.0454514985193238e-38
31,e,0.1,False,True,-3.886711541965749,0.00010166824885219718,8.993018870242893e-05,1.6303618166479436e-06,0.0007879555762226011,0.008239795450530264,4.917472164738366e-39,2.1182324925407027e-38
32,e,0.1,False,True,-3.885523784181612,0.00010236711129819522,9.029284344894103e-05,1.6543473298176905e-06,0.0007906460733326684,0.008295972608823086,5.0959629046319733e-39,2.193587697320122e-38
33,e,0.1,False,True,-3.884336026397475,0.00010306932362512401,9.06568712897681e-05,1.678662329257014e-06,0.0007933345650977103,0.008352417040619023,5.280894263302127e-39,2.2716076072987566e-38
34,e,0.1,False,True,-3.883148268613338,0.00010377488893154159,9.10222770416681e-05,1.7033109762125433e-06,0.0007960209687152332,0.008409129007989605,5.472497252164431e-39,2.352385878496157e-38
35,e,0.1,False,True,-3.881960510829201,0.00010448381019484883,9.138906553673472e-05,1.7282974790621262e-06,0.0007987052011903312,0.008466108764144453,5.6710111180846834e-39,2.4360194382690995e-38
36,e,0.1,False,True,-3.880772753045064,0.00010519609027029132,9.175724162243772e-05,1.7536260937720336e-06,0.0008013871793397283,0.008523356553366359,5.876683635148277e-39,2.5226085988570426e-38
37,e,0.1,False,True,-3.879584995260927,0.00010591173188996334,9.212681016166717e-05,1.7793011243575679e-06,0.0008040668197958441,0.00858087261094673,6.089771406703987e-39,2.6122571748429203e-38
38,e,0.1,False,True,-3.87839723747679,0.00010663073766181369,9.249777603277564e-05,1.8053269233471008e-06,0.0008067440390108901,0.008638657163121304,6.310540178036911e-39,2.7050726046642536e-38
39,e,0.1,False,True,-3.8772094796926524,0.00010735311006865367,9.287014412962246e-05,1.8317078922495376e-06,0.0008094187532609892,0.008696710427006251,6.539265160044357e-39,2.801166076311842e-38
40,e,0.1,False,True,-3.8760217219085153,0.00010807885146716603,9.324391936161501e-05,1.858448482025162e-06,0.0008120908786503208,0.008755032610534503,6.77623136429976e-39,2.9006526573622e-38
41,e,0.1,False,True,-3.8748339641243783,0.00010880796408691862,9.361910665375276e-05,1.8855531935600602e-06,0.0008147603311152975,0.008813623912392642,7.021733949903237e-39,3.003651429488541e-38
42,e,0.1,False,True,-3.8736462063402413,0.00010954045002937783,9.399571094667163e-05,1.9130265781438688e-06,0.0008174270264287615,0.008872484521957946,7.276078582527069e-39,3.110285627607289e-38
43,e,0.1,False,True,-3.872458448556104,0.00011027631126692586,9.437373719668506e-05,1.940873237951075e-06,0.0008200908802042084,0.008931614619235887,7.539581806088281e-39,3.2206827838153846e-38
44,e,0.1,False,True,-3.871270690771967,0.00011101554964187981,9.475319037583012e-05,1.969097826525767e-06,0.0008227518079000362,0.008991014374798035,7.812571427481647e-39,3.33497487628467e-38
45,e,0.1,False,True,-3.87008293298783,0.00011175816686551383,9.51340754719085e-05,1.9977050492698985e-06,0.00082540972482382,0.009050683949720282,8.095386914837658e-39,3.453298483281974e-38
46,e,0.1,False,True,-3.868895175203693,0.00011250416451708394,9.551639748853281e-05,2.026699663935045e-06,0.0008280645461366102,0.009110623495521516,8.388379809771215e-39,3.575794942490566e-38
47,e,0.1,False,True,-3.867707417419556,0.00011325354404285524,9.590016144516773e-05,2.056086481117662e-06,0.0008307161868572546,0.009170833154102678,8.691914154113301e-39,3.7026105158135043e-38
48,e,0.1,False,True,-3.8665196596354185,0.0001140063067551329,9.628537237717653e-05,2.085870364757917e-06,0.0008333645618667467,0.009231313057686276,9.006366931627066e-39,3.8338965598472664e-38
49,e,0.1,False,True,-3.8653319018512815,0.00011476245383129437,9.667203533586272e-05,2.1160562326419646e-06,0.0008360095859125923,0.009292063328756171,9.332128525236362e-39,3.9698097022183415e-38
50,e,0.1,False,True,-3.8641441440671445,0.00011552198631282762,9.706015538851551e-05,2.1466490569078783e-06,0.0008386511736132092,0.009353084079998072,9.669603190305308e-39,4.110512023984797e-38
51,e,0.1,False,True,-3.8629563862830074,0.00011628490510436978,9.744973761845356e-05,2.1776538645550597e-06,0.00084128923946234,0.00941437541424022,1.0019209544525859e-38,4.256171248307979e-38
52,e,0.1,False,True,-3.8617686284988704,0.00011705121097275069,9.784078712506898e-05,2.209075737957215e-06,0.0008439236978334936,0.009475937424394638,1.0381381074999237e-38,4.406960935610437e-38
53,e,0.1,False,True,-3.8605808707147333,0.00011782090454603904,9.823330902387293e-05,2.240919815378942e-06,0.0008465544629844063,0.009537770193398831,1.0756566663102394e-38,4.563060685438818e-38
54,e,0.1,False,True,-3.8593931129305963,0.00011859398631259301,9.862730844653824e-05,2.273191291495856e-06,0.0008491814490615275,0.00959987379415796,1.1145231127766942e-38,4.72465634526517e-38
55,e,0.1,False,True,-3.8582053551464592,0.00011937045662011354,9.90227905409459e-05,2.3058954179183396e-06,0.000851804570104526,0.009662248289487493,1.1547855787809783e-38,4.891940226458013e-38
56,e,0.1,False,True,-3.857017597362322,0.0001201503156747018,9.941976047122744e-05,2.3390375037188707e-06,0.0008544237400508168,0.009724893732056322,1.1964939043973965e-38,5.065111327673001e-38
57,e,0.1,False,True,-3.8558298395781847,0.00012093356353992099,9.98182234178125e-05,2.3726229159629695e-06,0.0008570388727401134,0.009787810164330469,1.2396996981374384e-38,5.244375565911257e-38
58,e,0.1,False,True,-3.8546420817940477,0.00012172020013586034,0.00010021818457747107,2.406657080243712e-06,0.0008596498819189921,0.00985099761851712,1.2844563993053993e-38,5.429946015512052e-38
59,e,0.1,False,True,-3.8534543240099106,0.0001225102252382059,0.00010061964916335945,2.4411454812199752e-06,0.00086225668124549,0.009914456116509438,1.330819342538782e-38,5.622043155345765e-38
60,e,0.1,False,True,-3.8522665662257736,0.00012330363847731313,0.00010102262240506707,2.4760936631581926e-06,0.0008648591842937113,0.009978185669831689,1.3788458246091806e-38,5.820895124491207e-38
61,e,0.1,False,True,-3.8510788084416365,0.00012410043933728477,0.00010142710954865842,2.5115072304778225e-06,0.0008674573045584602,0.010042186279584989,1.4285951735629318e-38,6.02673798668112e-38
62,e,0.1,False,True,-3.8498910506574995,0.00012490062715505293,0.0001018331158567205,2.5473918483004236e-06,0.0008700509554598918,0.01010645793639362,1.480128820281945e-38,6.239816003820459e-38
63,e,0.1,False,True,-3.8487032928733624,0.00012570420111946575,0.00010224064660840718,2.5837532430024056e-06,0.000872640050348181,0.010171000620351874,1.5335103725501427e-38,6.460381918881455e-38
64,e,0.1,False,True,-3.8475155350892254,0.00012651116027037824,0.0001026497070994861,2.6205972027714155e-06,0.0008752245025082119,0.010235814300971455,1.5888056917119305e-38,6.688697248499235e-38
65,e,0.1,False,True,-3.846327777305088,0.00012732150349774887,0.00010306030264238258,2.657929578166437e-06,0.0008778042251642871,0.010300898937129538,1.6460829720124212e-38,6.925032585595528e-38
66,e,0.1,False,True,-3.845140019520951,0.00012813522954073853,0.0001034724385662255,2.6957562826814373e-06,0.0008803791314848497,0.01036625447701723,1.7054128227134497e-38,7.169667912371075e-38
67,e,0.1,False,True,-3.843952261736814,0.00012895233698681825,0.00010388612021689474,2.734083293312892e-06,0.000882949134587232,0.010431880858088934,1.766868353081901e-38,7.422892924024516e-38
68,e,0.1,False,True,-3.8427645039526768,0.00012977282427087842,0.00010430135295706406,2.7729166511308066e-06,0.0008855141475424134,0.010497778007012022,1.8305252603488293e-38,7.685007363556343e-38
69,e,0.1,False,True,-3.8415767461685397,0.0001305966896743446,0.00010471814216625095,2.8122624618535172e-06,0.0008880740833798012,0.01056394583961729,1.8964619207445414e-38,7.956321368041464e-38
70,e,0.1,False,True,-3.8403889883844027,0.00013142393132429875,0.00010513649324085845,2.8521268964261583e-06,0.000890628855092024,0.010630384260849998,1.9647594837149494e-38,8.237155826754433e-38
71,e,0.1,False,True,-3.8392012306002656,0.00013225454719260522,0.0001055564115942251,2.8925161916028374e-06,0.0008931783756397457,0.01069709316472155,2.0355019694297404e-38,8.527842751555612e-38
72,e,0.1,False,True,-3.8380134728161286,0.00013308853509504226,0.00010597790265666783,2.9334366505325147e-06,0.0008957225579564927,0.010764072434261824,2.1087763696978707e-38,8.828725659951402e-38
73,e,0.1,False,True,-3.8368257150319915,0.00013392589269043976,0.0001064009718755321,2.974894643348571e-06,0.0008982613149534986,0.010831321941472174,2.184672752407556e-38,9.140159971263432e-38
74,e,0.1,False,True,-3.835637957247854,0.00013476661747982216,0.00010682562471523453,3.0168966077621238e-06,0.0009007945595245638,0.010898841547279093,2.2632843696129596e-38,9.462513416346657e-38
75,e,0.1,False,True,-3.834450199463717,0.0001356107068055556,0.00010725186665731168,3.0594490496589686e-06,0.0009033222045509272,0.010966631101488449,2.3447077693946422e-38,9.796166461322393e-38
76,e,0.1,False,True,-3.83326244167958,0.00013645815785050488,0.00010767970320046679,3.102558543700389e-06,0.0009058441629061602,0.011034690442740684,2.429042911624947e-38,1.0141512745798268e-37
77,e,0.1,False,True,-3.832074683895443,0.0001373089676371923,0.00010810913986061506,3.146231733927543e-06,0.0009083603474610668,0.011103019398466408,2.516393287772476e-38,1.0498959536070887e-37
78,e,0.1,False,True,-3.830886926111306,0.00013816313302696473,0.00010854018217093261,3.1904753343696425e-06,0.0009108706710886031,0.011171617784842868,2.606866044887068e-38,1.086892819381541e-37
79,e,0.1,False,True,-3.829699168327169,0.00013902065071916657,0.00010897283568190145,3.235296129655858e-06,0.0009133750466688064,0.011240485406751094,2.7005721139095856e-38,1.125185466079328e-37
80,e,0.1,False,True,-3.828511410543032,0.00013988151725031857,0.0001094071059613583,3.2807009756309113e-06,0.0009158733870937413,0.011309622057733764,2.797626342455609e-38,1.16481899601147e-37
81,e,0.1,False,True,-3.8273236527588947,0.0001407457289933038,0.00010984299859453945,3.3266967999744587e-06,0.0009183656052724555,0.011379027519953849,2.8981476322297895e-38,1.2058400714626297e-37
82,e,0.1,False,True,-3.8261358949747573,0.00014161328215655966,0.0001102805191841316,3.373290602824173e-06,0.0009208516141359515,0.011448701564153969,3.002259081230165e-38,1.2482969682997876e-37
83,e,0.1,False,True,-3.82494813719062,0.00014248417278327555,0.00011071967335031535,3.420489457402483e-06,0.0009233313266421634,0.011518643949616448,3.110088130907171e-38,1.2922396314112184e-37
