,theta_grid_EB_misspec_e_median_scale,theta_grid_EB_NPMLEinit_e_median_scale,theta_grid_NPMLE_e_median_scale,pi_hat_EB_misspec_e_median_scale,pi_hat_EB_NPMLEinit_e_median_scale,pi_hat_NPMLE_e_median_scale
62,0.22401753,0.07300833,0.8363532976652239,0.0038550778,0.0,0.0
63,0.22861417,0.12537299,0.9131256417126306,0.0045352196,2.8904762e-11,7.26356486010365e-11
64,0.23262817,0.17773764,0.9898979857600363,0.0054453756,1.1318956e-09,2.800949939874415e-09
65,0.23610239,0.2301023,1.066670329807443,0.0067706425,0.06571685,0.01619619680628633
66,0.23906505,0.24498512,1.1434426738548495,0.008958048,0.44614342,0.04216733563982552
67,0.24153298,0.25345787,1.2202150179022562,0.013321221,2.608473e-09,6.450033987537318e-09
68,0.2435135,0.2619302,1.2969873619496628,0.025068695,1.2799737e-09,3.2095349487721882e-09
69,0.24502148,0.27040297,1.3737597059970694,0.07807237,1.1182072e-09,2.8207834172324602e-09
70,0.24646981,0.27887526,1.450532050044476,0.36764106,1.5146321e-09,3.857711299915946e-09
71,0.25120512,0.28734803,1.5273043940918827,0.0063122935,2.9386757e-09,7.704646030175201e-09
72,0.25913095,0.29582036,1.6040767381392884,0.0014747761,8.480001e-09,2.5074108214931098e-08
73,0.27189142,0.30429313,1.680849082186695,0.00085330824,0.02560868,0.21898908640518047
74,0.29303592,0.3737472,1.7576214262341017,0.0005771711,0.0041779517,0.06477057982180298
75,0.33089557,0.57068795,1.8343937702815083,0.0003859295,1.2047524e-08,5.206856781271488e-08
76,0.4150567,0.7676287,1.911166114328915,0.0002368293,9.796137e-09,3.471600438702877e-08
77,0.7657764,0.9645695,1.9879384583763215,0.00015753387,1.5340134e-08,5.43747578463509e-08
78,1.0097164,1.1615099,2.064710802423728,0.00036345943,0.014039251,0.09509751385406837
79,1.0808104,1.6308202,2.141483146471135,0.0010081793,0.045703787,0.15105082760451713
80,1.1217054,1.7182819,2.2182554905185405,0.0027140265,1.0550573e-08,3.1114899591037404e-08
81,1.1548866,1.8057435,2.295027834565947,0.0045058113,4.4503166e-09,1.175674933581336e-08
82,1.1918777,1.8932052,2.371800178613354,0.0034259763,3.4176408e-09,8.745046039590788e-09
83,1.2487456,1.9806668,2.4485725226607604,0.0020187916,5.2061933e-09,1.3064465224447801e-08
84,1.369795,2.0681283,2.525344866708167,0.0014250573,0.041656822,0.03283346138562841
85,1.5303586,2.5557685,2.6021172107555737,0.002058539,0.007860826,0.025210263270648958
86,1.5995185,2.657707,2.6788895548029803,0.0047626384,1.2284033e-09,3.0442793643636646e-09
87,1.6351372,2.7596452,2.755661898850386,0.013541311,0.0,0.0
88,1.6609126,2.8615837,2.8324342428977927,0.017269513,0.0,0.0
89,1.690834,2.9635227,2.9092065869451993,0.006660107,0.0,0.0
90,1.7422253,3.0654612,2.985978930992606,0.0027311046,0.0,0.0
91,1.8769834,3.1673996,3.0627512750400125,0.0016188181,0.0,0.0
92,2.0279417,3.269338,3.139523619087419,0.0027037666,0.0,0.0
93,2.0776734,3.3712764,3.216295963134826,0.007569316,0.0,0.0
94,2.1032128,3.4732149,3.2930683071822324,0.020131215,0.0,0.0
95,2.1261892,3.5751534,3.369840651229638,0.0070980936,6.24215e-05,0.0005231340594441548
96,2.1665893,3.627514,3.446612995277045,0.0014948806,0.0,0.0
97,2.5426428,3.6798744,3.5233853393244514,0.0023557968,0.0,0.0
98,2.614237,3.7322352,3.600157683371858,0.0022570367,0.0,0.0
99,2.6620212,3.7845957,3.6769300274192647,0.001745037,0.0,0.0
