,n,use_location,use_scale,experiment,MSE_wellspec,MSE_misspec,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,SURE_wellspec,SURE_misspec,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG,data
0,100,False,True,c,0.10962497176128101,0.05937468458640493,0.05937786848752446,0.07830410056696158,0.059327755431316014,-0.1682100259769087,0.026392613195113768,0.026383945785999074,0.06422417479321922,0.04298885015901588,train
1,100,False,True,d,0.04026442474389042,0.011072922434600977,0.011076705241851276,0.010917583459626456,0.008916125454541898,-0.02565937112361256,0.010899542256913381,0.010898598782114527,0.011513330134604285,0.01516714551973368,train
2,100,False,True,e,0.3642843642900166,0.4099421548130851,0.40995046775751726,0.5061324218121104,0.39172533867030374,0.13514188593253704,0.16019611721693713,0.16019061896449743,0.2199523933807295,0.239577577680896,train
3,100,False,True,f,0.1480855904427414,0.06305771790430531,0.06305018941112746,0.07894111354268454,0.05726602093578321,-0.0769580682652312,0.05173204413202264,0.05172381395007406,0.074023564995005,0.07306973325334148,train
4,200,False,True,c,0.1164606338115184,0.09462603294051235,0.09068622455833349,0.10519702054714934,0.05793862855595428,-0.06810490250594647,0.07094906159758502,0.07148598480545708,0.09752547388463306,0.10542498847336607,train
5,200,False,True,d,0.03397117420318766,0.005903008561715797,0.005903149423811471,0.005483205499741918,0.005461072272118544,-0.019968996042151507,0.0028735154779586302,0.002873285811143429,0.003846761377505583,0.00449166065964815,train
6,200,False,True,e,0.22129530216957552,0.257905435465452,0.2578574922142664,0.3510585998084704,0.3202667744773942,0.1057727469191262,0.13629253365813682,0.13628542757555437,0.27116977865284064,0.22692899642473652,train
7,200,False,True,f,0.11523808356584274,0.06726843169583943,0.06727250079592066,0.07105452648943492,0.05517918479877018,-0.0764783359723079,0.06778682764960856,0.06777789882404654,0.12528888664242507,0.09503569978051818,train
8,400,False,True,c,0.052671887857865786,0.06343022047989116,0.0634299405484001,0.07802034698089005,0.06175262801418622,0.015616031754007241,0.08836586737385488,0.08836538651064359,0.10549548490837082,0.09540863362416713,train
9,400,False,True,d,0.006384605640650732,0.006355996136418826,0.006355814391210279,0.00629901556583041,0.005714365641902636,0.004079926927291813,0.01614030739743395,0.016139960543007436,0.017697115419045596,0.017200885986602146,train
10,400,False,True,e,0.14732084683360658,0.16431888494541674,0.16429787347070388,0.2443486122413611,0.21568131194162493,0.14782513708654801,0.16657651553187486,0.16656970408598384,0.2581875676882872,0.2358849695105943,train
11,400,False,True,f,0.027128647199956665,0.07373913359800706,0.0737305862973046,0.07907879211224932,0.054825748863517286,-0.001260005630793533,0.05597827637374905,0.05597215870921183,0.08550978455266638,0.07751536834467898,train
12,800,False,True,c,0.009701546584738974,0.05819823973389798,0.05820403094270614,0.06750344511729683,0.05614932270481434,-0.01972970873670341,0.03972385174737994,0.03965591570571938,0.06368946550155982,0.04336429867435404,train
13,800,False,True,d,0.005164427894307612,0.004079185762504427,0.004078969602303547,0.0049477498366869805,0.0041108846727204214,-0.006336587849028773,0.002208630025735889,0.0022082187437540137,0.002837851937247411,0.00253714740478142,train
14,800,False,True,e,0.17599398180703113,0.2122779779820207,0.21227949138387905,0.274747593986899,0.26122030883490227,0.1223699489160047,0.13827972609887149,0.13826632815681605,0.24518487382137558,0.2270693076190898,train
15,800,False,True,f,0.02404908105544177,0.06626066327489594,0.06625827575448379,0.07456459142388738,0.05694933318311796,-0.014032878192362921,0.036607240386149584,0.03659587164067659,0.05673458184448379,0.04935484839546178,train
16,1600,False,True,c,0.0014843768612171197,0.05236821866887558,0.060057795400975486,0.07624165002110184,0.0534210124399097,-0.022614430674052617,0.04422451346086099,0.03895549512953366,0.06313654229365995,0.046115353155169236,train
17,1600,False,True,d,0.011733533370141144,0.007313639122926413,0.007321523062407095,0.005401862589859585,0.005292542817682981,-0.007049704367897368,0.007458873659257144,0.007459151370024202,0.009764341129131502,0.00906589975337281,train
18,1600,False,True,e,0.15459679386753697,0.17329864537740036,0.17329702034334485,0.30371036277407937,0.24542332820541607,0.15539434735017577,0.17467698684954663,0.17467674283403192,0.2685154061022223,0.23811870083368095,train
19,1600,False,True,f,0.023008321703444995,0.058472922135819096,0.058474633170984405,0.07292325640972104,0.054270783023313625,-0.0002488437911860847,0.04984138334834157,0.04982766352278297,0.07316789918599767,0.059681245731979804,train
20,3200,False,True,c,0.0012778170763825087,0.05370092336064711,0.05370225010006857,0.07462936424903888,0.05496109470229742,-0.017907586185958415,0.043544032932208834,0.043547087854156674,0.06872686630308798,0.04554755010107492,train
21,3200,False,True,d,0.00042109283372395237,0.004730600146359336,0.004770061720671755,0.005350987464184043,0.0046697218314371855,-0.005378001160848938,-0.0013219729853327423,-0.0013299041544333967,-0.0009211027219884294,-0.0011386488471326478,train
22,3200,False,True,e,0.1584688326722396,0.17143307201217475,0.17156460377195537,0.26140243129035967,0.23370685700189264,0.13889436881823103,0.16378296239444404,0.1637574055465071,0.25975959724647474,0.2303585153018134,train
23,3200,False,True,f,0.001165417112401253,0.0580870363901495,0.058080651089419455,0.07313089755318224,0.05250868476153408,-0.007673697294248685,0.044982827589201475,0.04497708879955681,0.07170285996278693,0.05598290232011249,train
24,6400,False,True,c,0.00158039023752953,0.05417359914179455,0.054220186616516314,0.07881778668485633,0.0554760056356741,0.012576629653362157,0.06646162897207049,0.06640949681596148,0.08836192525851366,0.07070807654487693,train
25,6400,False,True,d,0.0038731692441228076,0.006316250069419168,0.006369740434833946,0.006599290736620725,0.006034722182538568,0.0028881807691429786,0.010987526337524329,0.01091534420572314,0.011671364294601628,0.011270389007186132,train
26,6400,False,True,e,0.15947419971333743,0.18245553938732273,0.182396544841097,0.26453431918312026,0.24145813656034446,0.14567459442804878,0.16503923640831702,0.16503175800994854,0.2645253474990477,0.23098792106299032,train
27,6400,False,True,f,0.00039601773283785987,0.05896891286791779,0.0589669280625641,0.07457005193577972,0.05505788131161502,-0.005749944111489631,0.0384620010645213,0.03845159358735892,0.06101937580455683,0.047061932874542856,train
28,100,False,True,c,0.1103779265282494,0.9376366673539133,0.05875595574487727,0.09001942801965768,0.08780272637537793,0.06888491137883111,-0.022327266066533725,-0.02231943022163385,-0.059350936875322446,-0.058880562261419245,test
29,100,False,True,d,0.10407118240335762,0.27626693383030365,0.011418327232368453,0.011758197608065638,0.007729742537249125,0.06302739398975227,0.005039592139315694,0.00504223165552931,0.0054101025290148996,0.004218374905022651,test
30,100,False,True,e,0.24615731383532607,3.269237385258311,0.23950339931213158,0.34132589353490156,0.2658037190455863,0.2822719739012119,0.3063780831872734,0.30646941774816294,0.3733256472096431,0.24650238847220535,test
31,100,False,True,f,0.1129111324962643,0.9381860495807649,0.07140847159307978,0.06712694089206298,0.06439567986518446,-0.04141885755957069,-0.009799311019346533,-0.009812267556064925,0.017772292437832748,-0.007023513972727713,test
32,200,False,True,c,0.04740221106544453,1.1591455606867955,0.08027372676025003,0.10433557655161044,0.058771210428541665,0.1921038788541049,0.07421816218939775,0.0739234024653436,0.10224888847720451,0.07349941238759833,test
33,200,False,True,d,0.024156288716255,0.26713415662250684,0.0034951249946470896,0.0029815628412825524,0.002835422043179823,0.005437936314294165,0.002256449385592294,0.0022563725299681535,0.002502778684510112,0.003237251782410855,test
34,200,False,True,e,0.1613745883381533,3.1676994163841097,0.18747512916092773,0.32110611987481374,0.25550298384646825,0.17394883679610748,0.198724328052528,0.19867958533321953,0.23716430479265668,0.24510104870207844,test
35,200,False,True,f,0.12529814677457682,1.1223523261336117,0.06107245721010686,0.0689533415721973,0.06285450273242543,0.04265213438407674,0.046207593329666355,0.04618935708711213,0.05343762531888402,0.045718161562294524,test
36,400,False,True,c,0.03429627285501224,1.2850288905981029,0.060412694419884214,0.07608227152132106,0.0641503794644756,0.07124007168581847,0.06982059491191286,0.06982063414568941,0.07332999840094238,0.07201640826109229,test
37,400,False,True,d,0.006041718716087412,0.2614192398300703,0.008890251496982617,0.009280241521429903,0.007841110418919802,-0.0001183651134689745,-0.002364151392951932,-0.0023644208443861637,-0.0028184679137263657,-0.005668369250470456,test
38,400,False,True,e,0.15938353664869603,3.305866152403338,0.1825665452505114,0.24958961849043798,0.20546167478226957,0.1447399802905956,0.18003670990443638,0.17996373484361328,0.31149623804826715,0.22945590861075263,test
39,400,False,True,f,0.020338040987798563,1.0682691397179291,0.07692435268107704,0.07884135135602445,0.05607109384990829,0.029413526682647097,0.058117825001169195,0.05811064067532065,0.0735838770534427,0.06648137417469902,test
40,800,False,True,c,0.009015935332427316,1.3242601730322758,0.0504765067454883,0.06405181225105003,0.05010293776671973,0.018590208863066133,0.0712782669725862,0.07129197536752337,0.08847880581085853,0.07014255454018775,test
41,800,False,True,d,0.005963374627069164,0.27958315552884616,0.004731562730096458,0.005630382103644484,0.005041166781808843,0.0147952206445099,0.007679162629356071,0.007678508505943107,0.008368708368458311,0.007626867192239178,test
42,800,False,True,e,0.17598391544149242,3.5737248476110564,0.19491747970337495,0.2778286442371067,0.24669026668876373,0.1520050818586488,0.1704458346742356,0.17042986542865263,0.2838448640939044,0.23681614444732907,test
43,800,False,True,f,0.022169396962528527,1.2887141816223087,0.05826155399302479,0.07239133435939275,0.05370672296727769,0.019599468427566383,0.06555900283156618,0.0655477849995939,0.08967489234435845,0.07777337595296657,test
