,n,use_location,use_scale,experiment,MSE_wellspec,MSE_misspec,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,SURE_wellspec,SURE_misspec,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG,data
0,100,False,True,c,0.16421215156514632,0.10584471086644816,0.10586559389091738,0.0944596047164056,0.05444565320054183,-0.1128831297983595,0.027674859057839923,0.027666802827906095,0.04413548714205305,0.07005025987734159,train
1,100,False,True,d,0.013549239147359962,0.014147177356487937,0.014147312106341674,0.02342763269241838,0.01414725670903753,-0.032591321244709794,-0.004182076365379697,-0.00418226826804375,-0.0021378093055769297,-0.0016600987084342267,train
2,100,False,True,e,0.13214400745655722,0.18231356124380338,0.18231220152818117,0.2573131734839492,0.2341075189614772,0.053889303612421224,0.09553694702951745,0.0955355718216088,0.15050185345906095,0.19944304977840155,train
3,100,False,True,f,0.21663444053022562,0.06988766243271924,0.0698866774230121,0.08387880403641461,0.060901854067566596,-0.06442273137340636,0.07492028484940129,0.07490898420812733,0.10007305700827579,0.09680310593670127,train
4,200,False,True,c,0.08822629773009931,0.08160118376934053,0.08159045849738066,0.07074831798337229,0.05032486886218121,-0.09303264840225549,0.05009194254497743,0.050022608866229064,0.09445492535050391,0.07241372067015744,train
5,200,False,True,d,0.037345480709533176,0.03438399258492534,0.03433389476890631,0.014959225985391466,0.007973268236416687,-0.031058189153597163,-0.004952217197898197,-0.004958131641144625,0.0029944661023320585,0.013975865420112588,train
6,200,False,True,e,0.2495897041495107,0.2635217795515539,0.2635136399000142,0.37887003689907384,0.2739176996219872,0.11762296978454911,0.1564853605630788,0.15647569816954207,0.23534075387059247,0.2315901890211644,train
7,200,False,True,f,0.06881983684232389,0.06038692514750092,0.060370574767439525,0.05862271118931392,0.055953798043158816,-0.09390205008770637,-0.0005633882656890421,-0.0005746827632194141,0.026237679268606016,0.011354523153815688,train
8,400,False,True,c,0.08885801663745665,0.08417052664291191,0.08424313438472682,0.11723669936902255,0.059319246862634366,-0.09545123271760812,0.017442313337457806,0.017399867938043982,0.04370145086343172,0.039995896205671955,train
9,400,False,True,d,0.0006383204926876647,0.005144762750968526,0.005149431624206513,0.005369850915079208,0.0032589230129896492,-0.015483622239961683,-0.010887090733864558,-0.010889092927352876,-0.009832556175271137,-0.008859336486052652,train
10,400,False,True,e,0.15949120452206306,0.17299106685972684,0.172992039471975,0.30990668911010255,0.24239075150181125,0.13727388874544544,0.16677443897830976,0.16676337003351194,0.24773928662763897,0.2369313184922492,train
11,400,False,True,f,0.03826295629833656,0.05709007489508815,0.057098632338268465,0.06989356740787167,0.05422037932319261,-0.002586673170921159,0.04733459909739686,0.04732237608922446,0.06981669135413952,0.056441619919058716,train
12,800,False,True,c,0.01685253876133071,0.05671569401379264,0.05670909415430469,0.08011389899839733,0.05854263455791796,-0.018210251222671114,0.037978859184944515,0.037948674887848026,0.055732124655754306,0.04162436183156676,train
13,800,False,True,d,0.012634383829582778,0.00721555868387814,0.0068840400750085195,0.006490680835965906,0.006695479446704861,-0.006093644901317406,0.013957420695980929,0.014042361766047035,0.015717387850624452,0.0144500319498551,train
14,800,False,True,e,0.14608783666334385,0.16975200484165545,0.16974618330800373,0.22432033844748728,0.21940331520850254,0.12431158571483426,0.144611871052016,0.1446066393574262,0.25613462577279417,0.22592437892427641,train
15,800,False,True,f,0.012435174009771064,0.06764654946157618,0.06768086582821722,0.07559962756658967,0.05319703024502832,-0.009229512848836927,0.0473837996019531,0.04737814574085377,0.07883333395625115,0.06644910420196881,train
16,1600,False,True,c,0.002451878919121867,0.05816722816168498,0.05817466331710956,0.0785260479207237,0.05464937788607435,-0.006817810595798072,0.04320044821093447,0.04321074930961118,0.06475442873592151,0.04878475366628082,train
17,1600,False,True,d,0.0014311887844660493,0.0047294792158586885,0.004729971146837535,0.004532319973193668,0.004730566561016579,-0.0029145974839131818,0.004105476180282821,0.004105356654476147,0.004866919821852225,0.004262915582138815,train
18,1600,False,True,e,0.15830073264857528,0.17614351748109341,0.1761417593843433,0.2769151824025702,0.2287488044986919,0.14895474855196053,0.17437101323550458,0.1743683296731333,0.26097754273130563,0.2373485571267469,train
19,1600,False,True,f,0.002382668719378406,0.06014850723372807,0.0601498025213478,0.07783597003087561,0.05513175264041577,0.0045959441679932055,0.04965672679125163,0.04964340282840098,0.0714751223058935,0.06009145708686492,train
20,3200,False,True,c,0.0005770922664133532,0.05406736414819779,0.05406031170662326,0.07746078655937212,0.05572156977092126,0.003567047465802083,0.0555446743673626,0.05554921543226435,0.0787014148685968,0.05840913168607659,train
21,3200,False,True,d,0.0037635086595944793,0.004943677264233429,0.004977045252376802,0.005730220450137316,0.004914213901232038,-0.0070972238882753835,0.0012378276421991963,0.0012307994101731447,0.0018343347165383505,0.0014072475944706675,train
22,3200,False,True,e,0.1523843473244859,0.16670854625587442,0.16670553299411794,0.25626177357544455,0.22473198364389987,0.1411060447640135,0.16076683605479594,0.16075153737803852,0.2573596887270462,0.23157482689570016,train
23,3200,False,True,f,0.0031993255278057364,0.05832715511255532,0.058325507760240744,0.07389725581164987,0.05368832597627596,-0.0006902913961777401,0.05263248285293841,0.0526201203073434,0.07981224582446529,0.062083306567655705,train
24,6400,False,True,c,0.0039572818738688,0.052993125080556244,0.05301546330339201,0.07360301425751394,0.05436082365994993,0.003007283601765312,0.05842021111373562,0.058383789397887825,0.08055065668628451,0.060760509716136835,train
25,6400,False,True,d,0.001256112872482647,0.00511642344557624,0.005248603792517732,0.005579359155511686,0.0050923260198975865,0.001138135435591486,0.007199357978988772,0.007073852459180472,0.007846681940162999,0.007267404899106475,train
26,6400,False,True,e,0.14716394949348674,0.1695152449268504,0.17008430381362497,0.2634334931962162,0.23703109258608193,0.14290055135775734,0.16437605667570857,0.1645026159563704,0.26566399369183713,0.23042545009786441,train
27,6400,False,True,f,0.0009398573964391786,0.05884568614303995,0.05881325244490589,0.08095582078903547,0.05721895497797546,-0.004216425755247536,0.03697258165223168,0.036966034600067775,0.05889431310413706,0.045322171604788075,train
28,100,False,True,c,0.07079426495931483,1.1092624464738408,0.06961941990149306,0.0790556018420156,0.06161138157634407,0.030211953912326294,0.051197609940556534,0.051224357270206515,0.04106044528787692,0.0027551093873659505,test
29,100,False,True,d,0.011183186893831664,0.29440492535249446,0.013464842731895924,0.02290784884053202,0.007433543679750243,0.020889880959032655,-0.00560184257731347,-0.005601555468225285,0.006394418818730276,-0.015374937681238404,test
30,100,False,True,e,0.19663445641994634,4.25712713299272,0.2025088360141892,0.27748149569056285,0.2175289618083066,0.1288424229356043,0.16956559233538046,0.1695766494930907,0.2759753754501733,0.24020576090297108,test
31,100,False,True,f,0.18705004078036577,1.1168178462052705,0.06482592258924351,0.08741567166223627,0.04709706835493001,0.17303506778818126,0.051023076863101764,0.05100578431408046,0.11346320487898055,0.04814821512639317,test
32,200,False,True,c,0.09188470215420905,1.1801957307209772,0.06991863661515613,0.09106803211202824,0.09039279101725205,0.19744127626578162,0.05781800743164816,0.05783507355888226,0.020612845523228885,0.00310517402403232,test
33,200,False,True,d,0.02306638311700261,0.2560941763853887,0.022468732446486304,0.009232057165177918,0.009653805302377867,0.04027427869190721,0.04177811854507375,0.04179212485263154,0.03265521118730222,0.030375086191899325,test
34,200,False,True,e,0.14875468262361602,3.1642452352239094,0.18087976722839183,0.2884358276050153,0.22140229471691047,0.12820740377597228,0.1752606329178635,0.17526564828744448,0.2613835382283187,0.21825162974470397,test
35,200,False,True,f,0.06313466119452864,1.3994235107530377,0.05948503715824814,0.056756133779481494,0.05397749301094898,0.06441404836096147,0.08472446317060219,0.08469933417438029,0.09288443696445846,0.09573033317014323,test
36,400,False,True,c,0.03103661316322764,1.2531349991961407,0.06462264699947437,0.09657570500587045,0.054273012023569205,0.05813541714440293,0.09835144999643902,0.0983919842275644,0.13264296333951378,0.08133737693653786,test
37,400,False,True,d,0.004939455362852355,0.2796946633306103,0.008359028285474253,0.009754352665368475,0.008402146973881273,0.011649749448612657,0.013801371226908029,0.013800090943987939,0.013975421342764189,0.013344825003303737,test
38,400,False,True,e,0.13135847318455315,3.4340950586698566,0.15287733305211898,0.2682322252448031,0.20683769882872888,0.15780910675393117,0.19654450755333833,0.196556669474094,0.25922447594902,0.22850328630095101,test
39,400,False,True,f,0.03325706527536691,1.257327355174164,0.060521883561526976,0.0712800002070938,0.05686545067768146,0.04421937448490986,0.06285912275058472,0.06285415649262945,0.0931516439630859,0.07054670729212065,test
40,800,False,True,c,0.011731055141944951,1.367182033508921,0.05440483525722261,0.08260297969885491,0.06212173209997806,0.09333131833985225,0.14026129628932352,0.14025443844770039,0.17397902577189028,0.13145017146564086,test
41,800,False,True,d,0.00391503145936385,0.28505634459283896,0.005629089858680563,0.005068034094579301,0.007642281254647075,0.030929924891865933,0.02487613764460212,0.024272966441720865,0.024399303958705973,0.02201403755537633,test
42,800,False,True,e,0.15972813003131728,3.0221048269619506,0.17947749317344722,0.23933020668414817,0.22960954832473418,0.13717193371480682,0.1462467920029939,0.1462398808531627,0.2617465764275645,0.2263603719501287,test
43,800,False,True,f,0.011403912008605202,1.1208323086764043,0.07153677096228774,0.08538288397756778,0.05978678691190867,0.019735424824310118,0.04844885085092926,0.04844527587188807,0.06426086545989279,0.05653362761340114,test
44,1600,False,True,c,0.002503275158118619,1.2487622701525032,0.056464670493106314,0.07737262415132125,0.05687730927731611,-0.011280384597165434,0.0502667606079941,0.0500307866752938,0.06313072737281793,0.04376343255289311,test
45,1600,False,True,d,0.0016734726855782939,0.27565098340198124,0.005467230351439251,0.005257104741763912,0.005441491659559794,0.012428486696242497,0.008383226551678008,0.008383852479426626,0.00732192852803129,0.007282181917967381,test
46,1600,False,True,e,0.16668036346291515,3.373394533040237,0.1897349129664905,0.2856200384534584,0.25935923099804226,0.15776978146360512,0.17547255783723767,0.17545034839142137,0.2581191718109997,0.23472176148873564,test
47,1600,False,True,f,0.0024019539525970803,1.237111595170479,0.05957002944589581,0.07884173082178637,0.054491732352007126,0.013463988209711168,0.061302528374036526,0.06128542549491336,0.09851110406874597,0.07582839105399614,test
48,3200,False,True,c,0.000558635213961809,1.2240237154171083,0.055492190196771846,0.07814683190541653,0.05855044721513454,0.008755466484205152,0.04684041884418754,0.046856124405552396,0.06364625356462404,0.04873607449847933,test
49,3200,False,True,d,0.0032823227342564094,0.2651987550759746,0.005375296854710547,0.006257337596881912,0.005247660824092816,0.006693069890555073,0.008376369805535333,0.008415889872882332,0.00935139328951573,0.00817412754698571,test
50,3200,False,True,e,0.14673790805898143,3.4111239162833153,0.16287282194681402,0.26151385560945983,0.2209947902591428,0.1510554972054236,0.17491554558842054,0.17490254773742656,0.2749561654667983,0.2338470028635884,test
51,3200,False,True,f,0.0034156633742013086,1.2116150312109937,0.060104821043277454,0.07356028471527513,0.05554560154694755,0.0072306537111182624,0.04346052770691621,0.04344875165099573,0.06339306841270073,0.05397140470255135,test
52,6400,False,True,c,0.001229399381734516,1.3011959241658988,0.053862118237878176,0.07332585697887246,0.0558230366441915,0.005537589019251732,0.05371556994209804,0.053719661375756685,0.07394980028710059,0.05445297522134218,test
53,6400,False,True,d,0.0036538990450688353,0.26956649832990015,0.006215399125221303,0.006511934398981933,0.006177384268327756,0.003052143887299336,0.005686064597841476,0.005938233852295359,0.006048829122137924,0.005653747131330475,test
54,6400,False,True,e,0.14635752209565797,3.4427180972383438,0.16887896152039328,0.24987331689447156,0.2275483661611767,0.1512237298096131,0.17173238396326163,0.17264308223303318,0.2555178564280277,0.2325086575346862,test
55,6400,False,True,f,0.0009289852436946576,1.1620876823812163,0.05741876727551909,0.0773463188736499,0.0542049153266661,0.007793203750394379,0.05313757259763371,0.05312813719972162,0.08347023954356488,0.0638353686426979,test
0,100,False,True,c,0.07729574359645333,0.043645576194392646,0.04365501699309851,0.06654814926993985,0.046395665394247006,-0.20572534058375005,5.84831345463499e-06,-3.415376564817052e-06,0.04666832002148716,0.013797559315662455,train
1,100,False,True,d,0.020576422710131433,0.007999376463116398,0.008570987892803425,0.00915231537161023,0.007999232993939998,-0.022884824932066696,-0.006910855270734579,-0.007327985711209984,-0.006568596711850266,-0.004174967341701086,train
2,100,False,True,e,0.1741616033509991,0.17945287178065628,0.17945384182348764,0.3275614773276556,0.24012157666670236,0.08526627567349898,0.1410936558231873,0.14108812782563987,0.26610404209873917,0.2356208277175758,train
3,100,False,True,f,0.1932007204295624,0.08646008470762269,0.08647042298328877,0.06612527141141264,0.07069180174454674,-0.05751738551929166,0.10193567522697336,0.10192283753525899,0.1325501246964749,0.11771495719854763,train
4,200,False,True,c,0.043168113495900294,0.06418359178365937,0.06420165596889538,0.07352166892378881,0.06750200711439558,-0.15307627544247088,-0.06492929049454652,-0.0649713555936475,-0.045541919296399766,-0.05765618694562308,train
5,200,False,True,d,0.01719825878286964,0.005901020116728523,0.005908810441388293,0.004741558985171267,0.0057344783768896665,-0.024389206995172302,-0.00036916123354505006,-0.0003775171005690936,0.0014648331642446166,0.0011721457631416882,train
6,200,False,True,e,0.1596989771868828,0.20309763932896754,0.2029144094759807,0.21854076312395962,0.1825369214532814,0.09824082063491131,0.13022663412438928,0.1302076908256061,0.21532870775131716,0.23841013972583724,train
7,200,False,True,f,0.04687824797559581,0.05534090198633962,0.05532341739420356,0.07977268361956369,0.05529125700562533,-0.0699023675038082,0.013864748643127242,0.013854725515826232,0.03756421184771412,0.028002521110783718,train
8,400,False,True,c,0.0041669429595940334,0.05510625905635056,0.05509731815949689,0.07993254949016376,0.05585449660931551,-0.02045762955390304,0.03680412019866701,0.03680321318319457,0.06409444236856601,0.046502644808267546,train
9,400,False,True,d,0.003246299466103836,0.0047019887710100525,0.00470213729712422,0.005949538035510459,0.004702061378875754,-0.012884974728867014,-0.004596225983948159,-0.0045963264350378456,-0.003933364859911759,-0.0039667546426086775,train
10,400,False,True,e,0.1745133134827354,0.19326446122618954,0.19325543999417824,0.26558598021781255,0.23241279548353616,0.11759528774246253,0.15414218624777243,0.15414942709685073,0.24424691133937082,0.23656015271263514,train
11,400,False,True,f,0.012424234670748966,0.06047124417791143,0.060471307889918606,0.0851407303417535,0.05813362064207509,-0.04024081525066731,0.02829168888267127,0.028277019935033607,0.05918181989576333,0.039731346776028964,train
12,800,False,True,c,0.007724484758507662,0.05430460575847876,0.05430570259301022,0.07264292666323521,0.05409204687287231,-0.045794927675214335,0.01729770912918454,0.01729621751694907,0.042064734199092374,0.02165334601370028,train
13,800,False,True,d,0.012405414350180699,0.006351985569644542,0.006366373466210155,0.005678960810363837,0.005585061149199525,-0.00366631658121601,0.014320687157484429,0.0143115190086524,0.015685481315444463,0.014959833261134703,train
14,800,False,True,e,0.15170667422801917,0.17661585712643252,0.17662703735888807,0.26045214266830163,0.2399415874588431,0.1372216422490883,0.15479523975737594,0.15478478647961566,0.23370486516032643,0.23259472855473623,train
