,n,use_location,use_scale,experiment,MSE_wellspec,MSE_misspec,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,SURE_wellspec,SURE_misspec,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG,data
0,100,False,True,c,0.2287392301513022,0.10735694302973847,0.10735004416490997,0.09365448045838504,0.09098072316058206,-0.027881871328899837,0.1398397236744718,0.13983093610315991,0.1655056647290664,0.1593686419869273,train
1,100,False,True,d,0.007924011878531102,0.011023077789787686,0.011023343286865626,0.00883978242597587,0.01102282712250189,-0.039676932238396086,-0.020901982967154033,-0.020902355202909676,-0.019339601357884942,-0.018131295009408632,train
2,100,False,True,e,0.20889798482321392,0.1893747678291308,0.17744399436485728,0.25809144071227486,0.23270157812717562,0.1024633680763954,0.12135441340788497,0.14038626414027072,0.2359583645427355,0.23578714785470528,train
3,100,False,True,f,0.06346100225116148,0.06346587752137244,0.06296068614631464,0.07309079455359413,0.06346737023360881,-0.050126105041308495,-0.05012540905812415,-0.05011944086563887,-0.04242801399030874,-0.03926665702615051,train
4,200,False,True,c,0.11785156491532003,0.08497139853702203,0.084898639528855,0.07544866726956918,0.054768327562806834,-0.08218755756071705,0.04235192433014959,0.04238033886825214,0.0782207098402008,0.05827739463022974,train
5,200,False,True,d,0.033039895763431984,0.0041390169529487205,0.004139060449152745,0.004534848909541876,0.004139109111831914,-0.013819474412348607,0.015589767168390055,0.015589617245864745,0.015676476067097836,0.016806799428203817,train
6,200,False,True,e,0.19719487558365778,0.2126220954565442,0.250718694646806,0.2762557542441765,0.25046960377970545,0.09097000330310795,0.1085910040028233,0.11643483430433066,0.22470527592491435,0.22076407457354186,train
7,200,False,True,f,0.025246797949242766,0.06438648517510298,0.06438461082499167,0.10539117118742126,0.06969691898912149,-0.03547788995706202,0.014177777109292933,0.014170440149359394,0.03683202580632049,0.026114934672840318,train
8,400,False,True,c,0.02028515469308104,0.0583128231991212,0.05835197862393878,0.08350688352980837,0.057882837411254814,-0.011453286055160519,0.04711177612304297,0.04706492287227718,0.07078645690788093,0.054436626882252315,train
9,400,False,True,d,0.020221412566563856,0.006966996051689103,0.00707626694317021,0.0061957076699073535,0.006670502206369575,-0.005343738244291165,0.01775055952420468,0.017727607849699324,0.019129666488878636,0.018444527909988365,train
10,400,False,True,e,0.16814293066160915,0.1894042157528407,0.1894005176103805,0.27545464170236145,0.24276087141913752,0.13942006399254683,0.15619155538998322,0.15618356878247042,0.2595011553101111,0.2340376143135799,train
11,400,False,True,f,0.012294874864630783,0.06165298176914784,0.061634140596094476,0.0730283971461055,0.0545719559382891,-0.023711218016464777,0.04095092358190058,0.04093868162335497,0.06445191645792399,0.0536215078547192,train
12,800,False,True,c,0.026187715372646175,0.07038458535992762,0.07042420381692031,0.07961078967556912,0.054919885276316575,0.0016927590232613233,0.07358066763386731,0.07352632530276786,0.10087706638880568,0.08970581570153424,train
13,800,False,True,d,0.0034388525172994056,0.004631808662721436,0.004600011187446834,0.00591382730886573,0.004611142279318874,-0.005886138900783184,0.0016025996601977965,0.0015991648661503887,0.002105375187506695,0.001909252214905191,train
14,800,False,True,e,0.19279182543790324,0.19275466406102584,0.19276158406010296,0.2858112821332359,0.2588766333657254,0.16074361874158424,0.16058394827472952,0.1605740275362051,0.26138397553919207,0.23214041136836655,train
15,800,False,True,f,0.02654015447460981,0.06730316552842494,0.06730006780452104,0.08112812960506516,0.058624860704660636,0.014939621458351784,0.06720285771489294,0.06719596754405678,0.09901590314415103,0.08233980938029989,train
16,1600,False,True,c,0.007319815259379276,0.05367704140845816,0.05367617194259515,0.08141975003031332,0.05711036263643472,-0.0020705878084425412,0.04728607487607413,0.047286503265103835,0.06638009594292221,0.05090679606604659,train
17,1600,False,True,d,0.005813145503460681,0.009212643218614038,0.008602221572905699,0.0066348777918294015,0.005276387540375884,-0.006515488145701445,0.001142447460361602,0.0023593324850470056,0.0051845835615461945,0.005448253454975044,train
18,1600,False,True,e,0.1683872454141971,0.19216694780801732,0.19189072283475903,0.29535007770880184,0.2568519830708835,0.13179931337525866,0.1674758099202383,0.16719010543620433,0.26853843797425975,0.22617311698985915,train
19,1600,False,True,f,0.008598096480968355,0.057847126844191965,0.057848587731732494,0.07327631267408477,0.05559665063780276,-0.014608797651485319,0.034395363523975604,0.03438197594075319,0.05485332964404769,0.04147771729590716,train
20,3200,False,True,c,0.0027241501712852623,0.053525421667607986,0.05351837227221168,0.07313970942584605,0.054738108399961204,0.004842500913692826,0.057143693291853384,0.0570760545983611,0.07810100914244664,0.05912698012231277,train
21,3200,False,True,d,0.0009350511794180307,0.005539540012845331,0.005539500337246855,0.006047688239691734,0.005539536457849377,-0.007960813666913882,-0.0039497803521570595,-0.003949747345437249,-0.003575043671619458,-0.003871335951965968,train
22,3200,False,True,e,0.1496766724163004,0.17634199494836694,0.1764419478815559,0.2542271647429545,0.22732945155720038,0.14601896823591085,0.16676483226834862,0.16675824824275673,0.2700592880468169,0.23424834078295403,train
23,3200,False,True,f,0.0003507641298349511,0.06115487127276948,0.06114733124469504,0.075236628698611,0.05477005103625556,0.007095946914876849,0.054296620224429264,0.05429028963883035,0.08011463534788853,0.06508417379536052,train
24,6400,False,True,c,0.0005834918596372556,0.05321236140220297,0.053218205679064594,0.07119225716627808,0.053924810599376594,-0.008066793441048705,0.047092607567260955,0.047091144677600026,0.07005014407587311,0.04919720973230374,train
25,6400,False,True,d,0.0012321907468955107,0.004859524016990133,0.004866280630389307,0.0053458506225748,0.004752836698204847,-0.007080565543807369,-0.0011779902648767226,-0.0011811195047314804,-0.00045158583371067705,-0.0009661653981078988,train
26,6400,False,True,e,0.15310663835788,0.1741823468956326,0.17417682267545476,0.2801965186028392,0.24207397354609778,0.1467271087173827,0.1716722452777949,0.1716490504366346,0.2630764661185874,0.23240155243515545,train
27,6400,False,True,f,0.003891736860802402,0.06223350996037849,0.06221860267831231,0.07913404137554444,0.05772662865937386,-0.0008480455789874758,0.03806846990272519,0.03806153767430132,0.0614881426742361,0.04801637783664686,train
28,100,False,True,c,0.22760846689463926,1.1645752463724615,0.05215602095176305,0.06826162964728263,0.0771963855221831,0.01507786985466602,0.013869884564103216,0.013850893702934571,-0.008185962640749268,-0.0726649233737211,test
29,100,False,True,d,0.007160736253974383,0.27865629136656705,0.008574392854140396,0.005110672895240104,0.010479515322008243,0.01305056590222169,0.020632187400667305,0.020633563767938803,0.011090695749541303,0.003284567117359402,test
30,100,False,True,e,0.17202997165173248,3.0854446261830133,0.16796113555830666,0.19878299892781157,0.1625748505117912,0.18059435385944778,0.20700886501176238,0.207276882500143,0.25361272362593934,0.23563399009498637,test
