,NPMLE,SURE-PM,SURE-THING,SURE-LS,Z (MLE),log-sigma
2687,0.02937258924669193,0.06208443272742686,0.06396255935337705,0.06382249555460062,-0.0072676945,-1.2347708263077357
2688,0.030552734070585407,0.03311760483296595,0.024105309576171886,0.031275249659701056,0.032466438,-2.18909334984855
2689,0.0466784801849846,0.10375619756818742,0.06485680663922702,0.06420640942430257,0.10236759,-1.3073762932028314
2690,0.05079757433557884,0.05969848598704194,0.042803680448136115,0.048855635963420754,0.059602488,-1.7883985556573019
2691,0.057840201663719934,0.06309165772134205,0.05085456564666051,0.05654197482725069,0.067735635,-1.8216133175923759
2692,0.022785771104944168,0.030007030792791982,0.02466762932945374,0.017604138576230152,-0.0088918647,-1.4948176950877377
2693,0.03828874103693265,0.09555955607726052,0.0847060807131269,0.08512605957431697,0.078408524,-1.1619312503207244
2694,0.021885055522850375,0.027620179300785957,0.02030740431092157,0.011670082369455766,0.0026433589,-1.611874969750136
2695,0.03815936617278295,0.09785880697326783,0.11069203718578692,0.11314165584061402,0.095531307,-1.0516379885608
2696,0.2719383119213407,0.293561421504514,0.26393553376159057,0.11493388338370025,0.38360387,-1.0672026137454385
2697,0.05408934512564442,0.11079446925098135,0.07400961171756704,0.075255102401042,0.1488487,-1.2521940875328013
2698,0.03678329046453254,0.0969748554154911,0.15342448079819723,0.15543989102734304,0.094013788,-0.9249957347115705
2699,0.026350078370372863,0.047485818231497876,0.05215475178098587,0.05648572029504967,-0.034960724,-1.2557638310066643
2700,0.020907894558189623,0.02451132522831355,0.016636105860013926,0.009877777551760983,-0.0085325306,-1.5633857942682619
2701,0.04021978760502534,0.1052038290263712,0.17992041548598342,0.17878889178121268,0.20592199,-0.869041040306221
2702,0.025902878334570886,0.0368702107367511,0.030053243225684943,0.020365840282554983,0.017403878,-1.6011914722906346
2703,0.041328007687499654,0.10177327151255149,0.093117168809869,0.09443238614440919,0.11461068,-1.1266419411741477
2704,0.042274818608381656,0.042607647504994996,0.044742919101532844,0.04187461247080854,0.044096451,-2.1113343852842688
2705,0.03499714991321894,0.03699078837306051,0.03496361757161235,0.03704250182040016,0.039062463,-2.1054398260776197
2706,0.05641163896414386,0.061965848051165784,0.050737702583162236,0.05418596448261419,0.059639011,-1.97078701074118
2707,0.0515812570073048,0.058994426546378285,0.04636205446909861,0.04880493727644858,0.054516848,-1.9349860580026725
2708,0.046673230237694596,0.05379522717366739,0.04272370042145934,0.044578311922311126,0.049062099,-1.9673080840142023
