,NPMLE,mosek_fail,MLE,PM,THING_sigma,THING_bivariate,THING_full,LS_sigma,LS_bivariate,LS_full
0,0.007834045007389117,False,0.011780348913207245,0.006719590943309648,0.005526908185571404,0.0077073160567319434,0.0077073160567319434,0.005574902032406371,0.021953765382946865,
1,0.007574088649183606,False,0.01147187691027482,0.006475679164285668,0.005314894460219225,0.007469780416420718,0.007469780416420718,0.005423435829828243,,
2,0.007720822117515238,False,0.011343036283954666,0.006525963940189129,0.005405940783014316,,0.007604877354872726,0.0053972305908124435,,
3,0.0075831655792899235,False,0.011651403597393204,0.006444328638541265,0.005412684472000711,0.007469458721009204,0.007469458721009204,0.005434338770004929,,
4,0.0077172809738583455,False,0.01200641352446318,0.006737373112809546,0.0056323872771393045,0.007586223919905937,,0.00568587601396126,,
5,0.007577546237409995,False,0.011600445281942361,0.006426919049274155,0.005288184235375165,,,0.005375086399940765,,
6,0.0077277003026148166,True,0.011738055211247744,0.006511280704339005,0.005347988155882616,,0.0075975553360668946,0.005467754801283953,,
7,0.007627820541775139,False,0.011341159138922004,0.0065202549689774405,0.005361601625118857,,,0.005473519024708842,,
8,0.0077737994535177785,False,0.011358401633694127,0.006524963307938453,0.00527832982172988,0.007633920307207691,,0.005446045687186217,,
9,0.00779688059274137,False,0.011945243410089488,0.006635650917187266,0.005425954675087842,0.007645453569330033,,0.005524732426875283,,
10,0.007746968276063432,False,0.011762515503735032,0.00660795574248662,0.005464853148038698,0.007602959860042117,0.007602959860042117,0.0055858413180702535,,
11,0.0077893761411713495,False,0.012149739935700475,0.006691673557750577,0.006691627258401995,0.007663660621396536,0.007663660621396536,0.0056045168823965095,0.006942053578953886,
12,0.007493928338859783,False,0.01154483291847065,0.006427765868311048,0.005309242351541537,,0.007375386545531277,0.005407945644420362,0.009774008536169722,
13,0.007759544435129446,False,0.011804753860456029,0.006568299143731217,0.005581167231909161,,0.007584944643436851,0.005628562468817381,0.015248947385566135,
14,0.007458403267476149,False,0.011543129255635241,0.006368171138319658,0.005498864235893854,,,0.005438758952432576,,
15,0.0075751667690188,False,0.011472268996165845,0.006443135066323359,0.0053836863917614865,0.007437549569044779,,0.005467818546676318,,0.01126256839446625
16,0.007603114196621647,False,0.011695243129924121,0.006425186905003974,0.005324513840595153,,0.007459499708358823,0.00537164869988075,0.00843792272200766,
17,0.007723457189146961,False,0.01195592018199605,0.0066239023405877855,0.005458307051434278,,,0.005549569717662535,,
18,0.007760995442840737,False,0.012278412176354347,0.006681272751902831,0.005516118128928267,,,0.005536334260991456,,
19,0.007890207169758405,False,0.011774183251669328,0.006702852210787205,0.005658800608554384,0.007728732848456157,0.007728732848456157,0.005684921307314181,,0.008718630950057073
20,0.007395267860996519,False,0.011685771729270069,0.0063930669305598984,0.005293418966899051,,0.0072619386620899435,0.005310171693062256,,
21,0.007854919284567,False,0.011948726241772397,0.006631956060745469,0.005478279415090387,,,0.005488141676468504,,
22,0.007331032454358644,False,0.011354785822844264,0.006198215069428184,0.005126212801613086,0.007188133799530147,,0.005156438609749982,,
23,0.007583371211233405,False,0.012142011341501547,0.006610313631897133,0.005644458547918084,,,0.005604592930949346,,0.010483388620397004
24,0.00752620789374515,False,0.011889813174341159,0.006492559314908923,0.005563645698305147,0.007384371637086989,,0.006499632469075151,,0.006925058856192729
25,0.0077331820239450655,False,0.01170578527890782,0.006528726321777238,0.0053088545217310655,,0.00760077347726339,0.005413408232393004,0.02084819627530588,0.007789562772275066
26,0.007802738115427996,False,0.011688937649434955,0.006703622401339384,0.0055287266927258735,0.007692944037348535,,0.005621347959392039,0.00711940658308907,0.009079549198503975
27,0.007733154214431428,False,0.012047625795730965,0.006676621332156793,0.005561981480790267,,0.007619342874979903,0.0055916638620544835,,0.011338572229449548
28,0.007462199690063363,False,0.011439540491204056,0.0064165420183456105,0.005286515483208306,0.007323826842290009,0.007323826842290009,0.005375851191236548,,
29,0.007369229751166618,False,0.011110130379785416,0.006250783811581355,0.005300417178357848,,0.007264352719847493,0.005328514371680584,,
