,CLOSE,CLOSE residualized
0,55.460553957046145,56.30042576859966
1,53.66276010273651,54.793194539634676
2,53.790566686961256,54.39198246861115
3,53.69619894937374,54.675619493132615
4,56.45570357421347,57.308138802529456
5,53.30065840119026,54.09296498240896
6,54.05725781622829,54.99882536592382
7,54.21779950312951,55.13865822655822
8,52.95198042575526,53.78761545509107
9,54.79798716757239,55.418962055927835
10,54.8259298876985,55.940128022075925
11,55.676382375253155,56.49322662124868
12,53.524549383002054,54.245222507092826
13,55.84074918434345,56.776011421526285
14,53.89744473466199,54.46099267827069
15,54.196535959866004,55.030035490430166
16,53.50069891539901,54.25478475047301
17,54.97775348950005,55.40500342305201
18,54.78735163190673,55.18074909016483
19,56.54812332880099,57.567992806460936
20,53.080312516768444,53.43715868962375
21,55.025683688634686,55.202048931822276
22,51.174339305673456,51.95553338692348
23,55.700164261942156,56.269633748272554
24,55.79050585729451,56.292236434670635
25,53.48765060881445,54.4152117011804
26,55.73144841267257,56.815768010152965
27,55.621905902181226,56.566293164895384
28,53.399568025443045,54.46162885345671
29,53.03347846806189,53.75443685814315
