mu,k,SURE_2step_MSE,SURE_2step_LOSS,SURE_both_MSE,SURE_both_LOSS,SURE_theta_MSE,SURE_theta_LOSS,SURE_pi_MSE,SURE_pi_LOSS,SURE_sparse_MSE,SURE_sparse_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
3,5,0.018723738628825686,0.03244049264292221,0.01779414503038946,0.03327450047183561,0.050762344007591206,0.05696137053826601,0.02057148238827237,0.03741145071495612,0.01138621895405794,0.036455477199415325,0.016091570126013404,-1437.3901908785274,0.03235231340400469,0.8608601120490769,0.018084115509170152,0.032128996778697454,0.007138258367751057
5,5,0.02996762986943315,0.05421136700316902,0.02669100593483521,0.05650592574042071,0.10456613605972083,0.07749880891690646,0.029572719241271424,0.06069140448109352,0.04855342373974932,0.06064838633640784,0.01918700004229403,-1464.237650864669,0.0547592482881646,0.9485454986831294,0.028113039156629206,0.05388302045076375,0.017876351557166468
7,5,0.0025855268973123137,0.015069034357621604,0.0017948816750739409,0.01593128101057846,0.03167524598942672,0.04238341771086607,0.009292755125884497,0.02251503712267663,0.0020346320148545882,0.015409968730550646,0.002354396736514594,-1468.1443188959493,0.014988606250670954,0.9301366365798094,0.0024717445274572243,0.014816170552607673,4.192363885855112e-07
3,5,0.04578338807812669,-0.0007954984144492983,0.04842234557413674,-0.0004304393042847323,0.050950134817565704,0.004418259934638172,0.04706060729490326,-0.00027934660195728613,0.04457986256078847,-0.000653736905758592,0.027639463461047533,-1409.6394361924863,-0.03599682607483703,0.9227333011929397,0.027271135933622244,-0.03499776141596249,0.026081060827645372
5,5,0.010839646852687183,-9.382849477242416e-05,0.013663777063733756,-8.791541185462392e-05,0.030374756997939095,0.04212757086804095,0.015550550009744007,0.0013344464159441714,0.005540816334851071,-7.480887335577791e-05,0.012419815818956452,-1454.7515150992303,-0.0057833954089719555,0.8898199294700012,0.011813777066802233,-0.004484239166870566,0.00642927307205855
7,5,0.03564442579292224,-1.4719211686610834e-05,0.027268178469618747,-1.4447571673827042e-05,0.07754284545293876,0.02274542844377345,0.031064920304492052,0.004102483038670698,0.006550427644370402,0.01843071370880318,0.026482152685176317,-1443.1962274562138,-0.0027206117480573083,0.9382648486475795,0.026812650944587596,-0.0012805834147746964,0.03087666878542422
3,5,0.04851105328558366,0.03725151149531394,0.04711989710263779,0.038011535596396015,0.04699798280830312,0.10302058643905479,0.03871757250547097,0.04466084725032624,0.048875211823916756,0.060883992391239414,0.04704484935977958,-1445.32228646682,0.03793987599237971,0.8760892832308546,0.04942911381059891,0.03679676827445246,0.02804728523636365
5,5,0.00574451108968872,0.04840425220305633,0.0029441374775704774,0.050750160210688365,0.0325921177206016,0.08249218753563946,0.011406194471739206,0.05630748594874035,0.004623221983210072,0.05007720765439944,0.00605864296773846,-1465.1918127409867,0.04907630302847951,0.9469463122918684,0.005551039151476293,0.04812492508095647,0.0008321089981469527
7,5,0.0234026781647755,0.007052824693242201,0.008045572053656226,0.0070384004902198285,0.037072454099349755,0.01947244366645691,0.013378205236127176,0.013825575622966994,0.0024127221529379695,0.008839861298496884,0.008746074726028745,-1464.3740098850003,0.004527880856697039,0.9517139476626187,0.012420995103150508,0.003755164142860622,5.838264964566986e-09
3,5,0.057385226747984824,0.050473157295186866,0.05709058433345164,0.05171307935372306,0.10339273977884784,0.0995473157484871,0.06048570777500055,0.058216801851079025,0.07538224167831194,0.07032859826316644,0.05760748397129041,-1456.076163586222,0.05079586092412569,0.8730996805921457,0.057464056108110145,0.049994561571551,0.057151851621045975
