mu,k,SURE_2step_MSE,SURE_2step_LOSS,SURE_both_MSE,SURE_both_LOSS,SURE_theta_MSE,SURE_theta_LOSS,SURE_pi_MSE,SURE_pi_LOSS,SURE_sparse_MSE,SURE_sparse_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
3,5,0.062183977,0.047773988,0.061774784,0.048880264,0.064204945,0.084556688,0.060560292,0.054058495,0.075624582,0.064274853,0.054936361,-1434.651713,0.052911295,0.950132294,0.061938494,0.047548037,0.052328147
5,5,0.06018004,-4.19E-05,0.045483362,-3.37E-05,0.162840885,0.055939925,0.035022202,0.011108671,0.042368047,0.086184046,0.026278825,-1401.583874,0.004598885,1.064971057,0.036225344,-0.000163596,0.001119264
7,5,0.028427741,-0.002383475,0.029322433,-0.000989537,0.0300024,-0.000571483,0.033861893,-0.000306359,0.035054203,-0.007775275,0.003986414,-1426.991407,-0.058511409,1.003855611,0.003535771,-0.058249554,3.52E-06
3,5,0.015595247,-0.000818256,0.0233724,-0.000254897,0.019147099,0.005963718,0.02213145,-0.000191178,0.021790435,-0.002845452,0.009676901,-1358.761736,-0.029260902,0.854368268,0.009247881,-0.028229932,0.010736309
5,5,0.035148153,0.011669926,0.032591292,0.013598921,0.065016735,0.071136797,0.039648485,0.018657458,0.025222158,0.027641625,0.033984226,-1430.423431,0.016087623,1.046897018,0.033116856,0.012752096,0.022419313
7,5,0.05355859,0.094244941,0.05333802,0.095282147,0.129694177,0.126497627,0.059340561,0.100690733,0.056016272,0.094440525,0.042854703,-1455.284691,0.110168297,1.042305211,0.05641366,0.093963191,0.039603896
3,5,0.033456849,0.047765114,0.032866066,0.05001512,0.054415589,0.079968118,0.034682972,0.055153518,0.035478334,0.049742834,0.036117363,-1401.362094,0.050678666,0.954952599,0.035746105,0.050481631,0.02911382
5,5,0.017512285,0.052906356,0.016951933,0.05420671,0.047733349,0.102310855,0.029113108,0.058077965,0.113824275,0.126640485,0.022789668,-1435.809662,0.057708738,1.006153792,0.015310278,0.053304953,0.011622064
7,5,0.054817489,-0.000344403,0.040729695,-0.000329436,0.104606901,0.039769409,0.037394613,-0.000123552,0.19533498,0.163078844,0.010749119,-1410.076104,-0.014482127,1.066002647,0.011047298,-0.01333637,0.00097767
3,5,0.03175638,0.057716024,0.030101522,0.059646874,0.099681401,0.102461362,0.028530559,0.067828168,0.034136714,0.097578926,0.017653858,-1437.210165,0.061625233,0.946947495,0.031624146,0.057244856,0.008502795
5,5,0.0321476,-2.87E-05,0.017159167,-6.00E-05,0.091256998,0.050814433,0.020066716,0.004233179,0.029038583,-2.77E-06,0.020670872,-1395.138609,-0.005589027,1.010453345,0.018494517,-0.003882246,0.01304765
7,5,0.024676706,0.044421545,0.023561282,0.04554982,0.096423706,0.077022189,0.029273341,0.052640912,0.030681927,0.055755011,0.015081868,-1450.95453,0.052722134,1.014072374,0.024692743,0.044102629,0.008650886
3,5,0.052969079,0.006958469,0.045636631,0.008575291,0.110516716,0.041192675,0.040171366,0.014358445,0.035806482,0.012609487,0.035914699,-1378.09289,0.012358942,1.011020705,0.036271272,0.012239979,0.028887889
5,5,0.042722771,0.012478917,0.041434216,0.01394512,0.100022918,0.078829671,0.04331107,0.021221596,0.1255939,0.0784285,0.038687549,-1425.434661,0.013424061,0.981942634,0.042581142,0.01208948,0.036164639
7,5,0.051419635,0.05007316,0.048825866,0.050937035,0.122703933,0.110267474,0.040047185,0.057879584,0.019891706,0.062373677,0.018331551,-1448.088397,0.060790649,1.029384219,0.050049968,0.049560584,0.004038154
3,5,0.043266966,-0.000550402,0.039987982,-0.000178558,0.045995392,0.015417725,0.040277704,-7.80E-05,0.047192741,0.003851077,0.033398788,-1390.688301,-0.015823656,0.862586818,0.033069049,-0.015322928,0.033405244
5,5,0.096271079,0.030869241,0.090616229,0.032527237,0.19115211,0.059396039,0.088277152,0.04014389,0.091108262,0.036284761,0.043409333,-1424.772541,0.047493073,1.039874818,0.094493117,0.030653662,0.028348486
7,5,0.011238478,0.038609722,0.010035947,0.040435075,0.024557851,0.074284713,0.018001726,0.049627101,0.299134906,0.363286448,0.003458934,-1448.995502,0.046010517,1.035016858,0.010907198,0.038303679,9.95E-06
3,5,0.047072831,0.088421031,0.046378722,0.091314274,0.062876266,0.108840628,0.048878093,0.099981383,0.063295173,0.123193873,0.045060135,-1442.786861,0.090444663,0.987227224,0.048956573,0.088724832,0.033977129
5,5,0.015918388,0.033027051,0.014504041,0.035563057,0.05926454,0.075965832,0.019800351,0.041503434,0.007152421,0.040192649,0.011795757,-1425.879367,0.033594778,1.024201002,0.013324161,0.032637897,0.005645139
7,5,0.050963822,0.035305484,0.050702935,0.036276324,0.131737626,0.111492716,0.042336346,0.045498993,0.035115659,0.050163678,0.017111266,-1406.991612,0.050260381,1.094723518,0.050510658,0.034727922,0.001143757
3,5,0.059126586,-0.002860687,0.059107472,-0.001349081,0.061592595,-0.000519307,0.059061164,-0.000725855,0.049362035,-0.009719388,0.010043364,-1368.310098,-0.076781779,0.942423539,0.011694589,-0.0765263,0.009777228
5,5,0.053926551,-0.000894541,0.063920726,-0.000638662,0.064269826,0.012248496,0.066591616,-0.000489891,0.103172404,-0.002235128,0.039689363,-1395.326889,-0.05378317,0.938797215,0.041586166,-0.05457523,0.04014572
7,5,0.047582807,-4.36E-05,0.049049719,-2.12E-05,0.037528297,0.060328941,0.043875702,0.008701254,0.287784477,0.22684419,0.040578329,-1414.129857,0.001495762,0.993352774,0.045479707,-0.000141164,0.039963047
3,5,0.047005542,-0.000573186,0.048342391,-0.000292204,0.049450544,-1.40E-05,0.050474269,-0.000156233,0.059756596,-7.23E-05,0.032707372,-1390.598035,-0.015944188,0.909569078,0.040262838,-0.016918705,0.028877482
5,5,0.037620914,0.052528619,0.035506385,0.054478219,0.108654967,0.120730998,0.039735963,0.061224301,0.037311309,0.05483037,0.036371998,-1445.89736,0.054423145,0.968788856,0.037680859,0.052128182,0.028868217
7,5,0.034270194,-0.001449704,0.024666114,-0.000315229,0.034473866,-0.000321016,0.026438054,-0.000235228,0.026135681,-0.00337099,0.000681422,-1393.185437,-0.030970633,0.997916257,0.001901869,-0.029203537,1.33E-06
3,5,0.039048366,0.113831249,0.038757471,0.115939158,0.067297391,0.129968653,0.045724425,0.120720876,0.060324567,0.141502935,0.036958397,-1450.872515,0.114854189,1.004494529,0.038747946,0.113666509,0.031327995
5,5,0.033290268,0.061624889,0.032249556,0.062240175,0.083813961,0.122762277,0.038961498,0.070434539,0.035950896,0.066167894,0.031569969,-1435.664051,0.063211718,1.062785231,0.033061419,0.061192939,0.030348826
7,5,0.001539923,0.011056599,0.00176982,0.011152611,0.045460557,0.09328755,0.006008176,0.021973392,0.081083899,0.073287791,0.001449073,-1390.861581,0.011851967,1.011453799,0.001509207,0.010634962,1.38E-05
3,5,0.051033071,0.042009715,0.047333223,0.043115165,0.07253755,0.060334148,0.047437652,0.047544379,0.069551569,0.076980613,0.03826953,-1408.940935,0.045358511,1.014649709,0.050448629,0.041459805,0.039403386
5,5,0.034437642,-0.000246701,0.027627705,-0.000216106,0.077828478,0.034987925,0.027323215,-0.000142991,0.091849005,0.07179944,0.00610442,-1405.352543,-0.016638545,1.063328579,0.005672876,-0.014314762,0.004866989
7,5,0.000465956,0.005814001,0.000502836,0.005692922,0.064019536,0.078110424,0.006180064,0.015231698,0.000601227,0.005854767,0.000471721,-1399.44959,0.005076375,1.033834373,0.000531219,0.004895068,5.86E-05
3,5,0.090006517,-0.000902399,0.060054661,-0.000265779,0.098098895,0.004938641,0.05914725,-0.000174076,0.053294331,0.000398578,0.035492527,-1405.172186,-0.022942327,0.985159935,0.039625846,-0.023328605,0.033382607
5,5,0.076964104,0.073366461,0.073646739,0.075858131,0.12220479,0.131203109,0.077145698,0.08421117,0.062612648,0.087902981,0.071916187,-1457.286043,0.085478579,1.106638765,0.076164278,0.073186037,0.011092954
7,5,0.051358373,-8.58E-05,0.046921139,-0.000142439,0.034245883,0.048615346,0.048607768,0.001302272,0.221595257,0.188694094,0.047748814,-1407.519198,-0.006670167,1.003550072,0.053225458,-0.008362623,0.046035851
3,5,0.068295452,0.02896618,0.067151333,0.031835975,0.136673204,0.074214546,0.053872921,0.039448014,0.045172342,0.037158475,0.043552641,-1392.092524,0.037404818,0.969345964,0.044311882,0.035166766,0.035995914
5,5,0.049042598,-7.46E-05,0.046072418,-5.37E-05,0.119832934,0.062139877,0.044793354,0.000508659,0.103693372,0.067843599,0.037915707,-1400.589119,-0.002346915,1.041177078,0.036962666,-0.0017503,0.033246515
7,5,0.001582745,0.019116803,0.000853641,0.0198443,0.017200944,0.065054829,0.006707235,0.028391686,0.005028891,0.021039668,0.001457503,-1429.327881,0.019830854,0.992830353,0.001478448,0.018700956,4.76E-06
3,5,0.086806826,-0.002830021,0.076366961,-0.001134562,0.090117418,-0.000542344,0.075235826,-0.000420414,0.059883808,-0.016146862,0.028179795,-1349.018587,-0.084916251,0.952137899,0.031571677,-0.084753283,0.023978056
5,5,0.0392492,0.006136566,0.033851182,0.006408078,0.079513938,0.06092962,0.039803568,0.01119172,0.065333806,0.072098943,0.029346669,-1415.747531,0.010130998,1.015701699,0.032488667,0.004960172,0.031624826
7,5,0.014992193,-0.000409974,0.021492862,-0.000320861,0.025305213,0.016553809,0.026365562,-0.000186869,0.020870386,-0.00098762,0.003337423,-1420.151345,-0.022103734,1.002515597,0.00341033,-0.021432494,0.000823011
3,5,0.029712332,0.079381047,0.024466167,0.080910884,0.037388901,0.112906689,0.027479292,0.086822148,0.0351855,0.086420223,0.022381133,-1411.803305,0.082334924,0.829368855,0.029140825,0.078636056,0.020491169
5,5,0.011184737,0.094914157,0.009646374,0.096191398,0.039194076,0.158552629,0.015394368,0.103529558,0.010028387,0.09530757,0.005203038,-1448.868444,0.100744214,0.970469615,0.010943026,0.094518474,0.001621132
7,5,0.042475943,0.023196787,0.041297214,0.024342217,0.120697345,0.101157754,0.036067055,0.033065597,0.027663012,0.038580416,0.024625125,-1420.626122,0.031599342,1.073118605,0.030832501,0.02835017,0.00937148
3,5,0.044262023,0.073002674,0.035079428,0.071334429,0.07427929,0.113310288,0.036498306,0.076157788,0.030556709,0.105546066,0.034803322,-1434.765163,0.079472275,1.017251609,0.037263201,0.06925296,0.01069319
5,5,0.040655558,-0.002200407,0.04990971,-0.001475319,0.046961112,0.001219604,0.048991211,-0.000755251,0.041539135,-0.010357854,0.002334347,-1374.023122,-0.078259723,0.97710715,0.009463972,-0.079388427,0.000255588
7,5,0.051765435,0.027286043,0.041139419,0.029054971,0.072363355,0.06078358,0.031678244,0.036978783,0.057201582,0.027649245,0.020362575,-1415.38252,0.039796843,0.996883378,0.051848568,0.026940954,0.017893865
3,5,0.046208279,0.0535437,0.044721967,0.053988688,0.045259201,0.08130408,0.043325464,0.059529435,0.046582748,0.053270836,0.04518717,-1400.971624,0.054426139,0.925304955,0.046387268,0.053249312,0.036374422
5,5,0.044256018,0.020305365,0.044451281,0.020846923,0.0603209,0.08693781,0.047183631,0.029846592,0.049490924,0.021861407,0.048391924,-1423.747051,0.020878535,1.040581912,0.044481623,0.019952713,0.042483396
7,5,0.040185982,-0.003197344,0.035938184,-0.000536961,0.042571719,-0.001008925,0.037376846,-0.000292763,0.036442257,-0.004496203,0.005133989,-1424.130509,-0.051032273,1.007007367,0.003759945,-0.049908439,7.55E-07
3,5,0.046035759,0.083499415,0.045553972,0.085145079,0.062469429,0.110924912,0.046822942,0.095630735,0.065505189,0.101731055,0.041051063,-1425.293686,0.089083798,0.990031611,0.045973221,0.083203876,0.037135208
5,5,0.029862246,0.052797415,0.02783563,0.053805989,0.114722378,0.103603156,0.036448616,0.059637885,0.027689209,0.058353791,0.028404252,-1426.810387,0.054573507,0.993129027,0.027031923,0.052892736,0.02320071
7,5,0.002751449,0.041859826,0.001519283,0.042797148,0.061377312,0.097885652,0.009351669,0.051528988,0.001522979,0.043230268,0.002111484,-1427.028764,0.042526535,1.014830763,0.00271452,0.041364933,9.88E-05
3,5,0.036879794,-0.000135101,0.037210253,-6.01E-05,0.047937625,0.009490614,0.035149216,-5.39E-05,0.040005215,-9.78E-06,0.026487428,-1372.162784,-0.007317968,0.899595879,0.036189459,-0.009416938,0.02548377
5,5,0.016049004,-0.000399445,0.014229806,-0.000212912,0.030370781,0.044727525,0.01495692,-5.89E-05,0.042749196,0.034507766,0.005294739,-1393.131822,-0.017038359,1.041567107,0.008045844,-0.017484934,0.000123346
7,5,0.088496359,0.095161316,0.084000295,0.095617964,0.175372741,0.16827104,0.087846998,0.105283464,0.228470786,0.260250816,0.063977155,-1467.060388,0.115120741,0.985357668,0.085898479,0.093979001,0.056081518
3,5,0.058069747,-0.001977923,0.056551538,-0.001025641,0.06060795,-0.000322862,0.056535712,-0.000458671,0.06371836,-0.006778691,0.026036929,-1372.40874,-0.059072249,0.921324014,0.025061434,-0.057865354,0.022715591
5,5,0.014140895,0.071317436,0.012645876,0.073787787,0.040500207,0.110902108,0.019260562,0.080434925,0.042679456,0.151802553,0.009481637,-1416.464796,0.075334101,1.033451946,0.013216806,0.070897795,0.009014277
7,5,0.033726467,-0.001248659,0.051380148,-0.001107169,0.037160448,-0.000115526,0.054179973,-0.000569563,0.049495064,-0.006097896,0.004051883,-1413.849805,-0.063298935,1.010036696,0.002703647,-0.061702462,6.86E-06
3,5,0.033015052,0.012508498,0.031735102,0.014297103,0.062268154,0.029611076,0.035174732,0.024422438,0.041662215,0.049893994,0.02367345,-1406.030801,0.017052735,0.985068815,0.03291352,0.012325979,0.021338479
5,5,0.02879129,-0.001474049,0.029255389,-0.00058973,0.038370778,0.014279748,0.033629527,-0.000448936,0.128433617,0.066873435,0.001626588,-1417.379321,-0.054459187,0.912458706,0.001412728,-0.054278545,0.000422381
7,5,0.025184904,0.125121579,0.016814457,0.129196762,0.055458661,0.160917164,0.01935722,0.141265261,0.014311742,0.129795501,0.001172109,-1485.221438,0.137763613,1.060128297,0.025016194,0.12491309,3.63E-06
