sigma_theta,SURE_2step_MSE,SURE_2step_LOSS,SURE_both_MSE,SURE_both_LOSS,SURE_theta_MSE,SURE_theta_LOSS,SURE_pi_MSE,SURE_pi_LOSS,SURE_sparse_MSE,SURE_sparse_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
1,0.511087578,0.484631297,0.510656074,0.485083592,0.507753965,0.508438622,0.507997438,0.488766857,0.513975663,0.484597866,0.511630079,-1756.933809,0.487712411,0.915975964,0.511761947,0.483916773,0.50510848
5,1.006096432,0.93615911,1.005708771,0.937301196,1.02527454,0.970144004,1.006333827,0.938660262,1.061570938,0.969485752,0.949605184,-3035.802157,0.967076986,1.050237663,1.006588013,0.935959782,0.945380587
0.1,0.012158828,0.056019867,0.01119637,0.056681076,0.094414668,0.092876425,0.018923777,0.06293544,0.0108497,0.056676718,0.011403829,-1375.717013,0.055772788,0.937834061,0.011997063,0.055604399,0.010231985
1,0.533725285,0.490186114,0.529553267,0.487030745,0.542733807,0.511841204,0.531104138,0.48956075,0.543026975,0.502608294,0.523140603,-1790.718492,0.492803645,0.897064785,0.529184789,0.485597544,0.519658713
5,1.025679392,0.913255521,1.025284003,0.914147583,1.065456003,0.95196238,1.020779306,0.916618448,1.023514032,0.923200473,0.987380626,-3022.884089,0.954384896,1.049055105,1.022465171,0.913944282,0.974928874
0.1,0.046875517,-0.001281623,0.044070277,-0.000567576,0.052525185,0.005540637,0.04482586,-0.000303962,0.035736731,-0.002631058,0.01101589,-1358.847649,-0.032612526,0.929552042,0.018443549,-0.033980665,0.009206693
1,0.487624256,0.478520256,0.48709207,0.479519647,0.499552285,0.494813561,0.489077602,0.483984593,0.487688715,0.491611896,0.48586445,-1771.08704,0.481572104,0.966164635,0.487322154,0.477820907,0.48230817
5,1.006905361,0.958624191,1.00491128,0.959724288,1.025007263,0.98939743,1.000692298,0.960104388,1.032052542,0.98075582,0.999047589,-3023.031736,0.98816785,1.047427085,1.007584426,0.958520478,0.96094682
0.1,0.058308131,-0.004206289,0.063723849,-0.001308567,0.061648813,-0.000863912,0.067697078,-0.000851544,0.051737171,-0.030960485,0.010578584,-1329.961493,-0.112640318,0.808395462,0.010885934,-0.112325617,0.010466393
1,0.493352566,0.44607965,0.492796464,0.44686867,0.502712627,0.465778511,0.490573695,0.450651698,0.500756665,0.456404524,0.490374681,-1736.15193,0.447320309,0.992239425,0.493240522,0.445462774,0.487761685
5,1.09998645,0.937931521,1.099984982,0.939096304,1.141761234,0.965301823,1.101788346,0.941177482,1.236236638,1.036572577,1.073955517,-3048.614925,0.958664094,1.049570267,1.099086761,0.937763794,1.061531379
0.1,0.017260114,0.040306919,0.016040353,0.041384986,0.049234683,0.07295237,0.022957678,0.046534925,0.014026372,0.041780982,0.015126647,-1389.721594,0.041224192,0.898036038,0.01701945,0.03993297,0.009824746
1,0.456775283,0.448195953,0.454637483,0.450139732,0.470559005,0.474027704,0.452339104,0.453973633,0.459107748,0.463051902,0.450968774,-1748.100759,0.451650269,0.963690582,0.454605158,0.447358973,0.446712021
5,1.119639777,0.940366387,1.117366055,0.940895898,1.134983972,0.961847856,1.118561797,0.941818337,1.122628517,0.941763297,1.11217434,-3033.466072,0.967141623,1.049645808,1.118763382,0.939371331,1.09380811
0.1,0.021982023,0.052766822,0.020690871,0.053411487,0.039434582,0.082037817,0.023637693,0.060497466,0.018899205,0.053220477,0.022641292,-1407.297733,0.05269944,0.832393369,0.021221035,0.052240353,0.010030919
1,0.475254292,0.491744834,0.475007192,0.492776407,0.482489397,0.512346284,0.475206087,0.496667524,0.485093869,0.50580981,0.472052805,-1756.401456,0.502995849,0.949868314,0.475364095,0.491113436,0.468086596
5,0.949310311,0.932408902,0.94345921,0.934802223,0.955112446,0.971154119,0.944582159,0.935831385,0.987220599,0.971384943,0.914200149,-3008.885589,0.974721098,1.050083498,0.948178071,0.932240868,0.895231158
0.1,0.07344212,0.0854181,0.068430145,0.087515437,0.139203961,0.130386913,0.059481085,0.099446365,0.05065167,0.094765165,0.014718339,-1393.711914,0.112066983,1.00030804,0.072678816,0.085307421,0.009970181
1,0.493968652,0.504919498,0.493769209,0.50654133,0.515468591,0.521245349,0.495832418,0.509345592,0.489845499,0.52635901,0.492897808,-1772.846972,0.506703006,1.000773106,0.493652583,0.504584739,0.477161666
