sigma_theta,n,SURE_MSE,SURE_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
5,2500,1.034306599,0.994414798,1.012852863,-7636.253756,1.012644554,1.075749296,1.033854068,0.993540997,1.003148062
0.1,5000,0.018464454,0.04576783,0.010889677,-6972.665607,0.04925443,1.040327586,0.019394497,0.044971224,0.009943864
1,5000,0.490035046,0.489140153,0.489953563,-8867.686122,0.489145534,1.042052714,0.490770797,0.488082075,0.486865895
5,5000,1.047375426,1.013441963,1.039985389,-15225.36439,1.018332163,1.088230234,1.047480925,1.013021367,1.026070334
0.1,1000,0.026660865,0.004363564,0.010721958,-1368.58733,0.014254561,0.964846072,0.027798539,0.003569117,0.009611198
1,1000,0.500423015,0.442126919,0.484933342,-1748.418678,0.451058591,0.984556715,0.501371637,0.440776591,0.478413578
5,1000,1.031229181,0.980480053,1.006652028,-3064.284799,1.005217262,1.072741201,1.030740615,0.979231637,0.991050203
0.1,2500,0.015000724,-0.000100311,0.01082228,-3459.846672,-0.007928818,0.985322971,0.01029628,-0.00774882,0.009674828
1,2500,0.484674562,0.455016376,0.477240204,-4360.987129,0.45806312,1.020057442,0.484469753,0.453528262,0.473510184
5,2500,1.036291303,0.995121934,1.02353674,-7547.922328,1.008362881,1.084643308,1.036840236,0.993649918,1.014708964
0.1,5000,0.011346372,0.046383055,0.011013407,-6915.874321,0.045045737,0.996511382,0.0143169,0.043879853,0.009965992
1,5000,0.473414453,0.460855072,0.473333145,-8790.294084,0.461623972,1.02398052,0.473568397,0.459997403,0.471716888
5,5000,0.99346346,1.006286504,0.983630368,-15211.55453,1.014038256,1.074127003,0.986562269,1.005696423,0.981002895
0.1,1000,0.053637469,-0.00092131,0.011090376,-1355.065855,-0.075114575,0.936416667,0.011396902,-0.073860195,0.009800189
1,1000,0.541770851,0.454161786,0.536796524,-1765.840552,0.455493122,0.945790296,0.541284554,0.452243601,0.531703553
5,1000,1.113323147,0.974656577,1.090494041,-3064.26782,1.00755299,1.099119835,1.107623944,0.975892531,1.085527985
0.1,2500,0.011540889,-1.64E-05,0.01012144,-3471.436506,-0.001198352,0.988590185,0.013882426,-0.001697538,0.009932178
1,2500,0.522986817,0.484534763,0.519590498,-4388.329774,0.489694736,1.068411347,0.519265019,0.486077136,0.515137184
5,2500,1.109790955,1.013141594,1.091261912,-7504.942391,1.030836994,1.110521952,1.112024599,1.012128383,1.074227553
0.1,5000,0.017910751,0.046084649,0.010436072,-7030.134769,0.048290621,1.042359668,0.019154612,0.044797871,0.009780067
1,5000,0.497570636,0.461153199,0.494997388,-8795.027458,0.460203885,1.075749949,0.498927988,0.459111141,0.489407764
5,5000,1.058939056,1.025425766,1.050424061,-15134.92991,1.029284646,1.100831484,1.059471343,1.024432466,1.044896301
0.1,1000,0.015407446,0.014472186,0.010271509,-1371.927617,0.015602736,0.971044913,0.016697499,0.012821144,0.009801134
1,1000,0.482107255,0.476850181,0.474259018,-1764.610818,0.480480251,0.974840877,0.482703994,0.475294215,0.473152316
5,1000,1.140258103,0.955632135,1.136318228,-3029.02265,0.979768349,1.057749553,1.143311224,0.952522924,1.104036515
0.1,2500,0.010829572,0.02791937,0.010881344,-3440.784752,0.02742317,0.94775629,0.011474904,0.02703962,0.010656937
1,2500,0.477508979,0.445887163,0.475445404,-4347.650689,0.445946213,1.000156717,0.477989359,0.444144203,0.47294686
5,2500,1.012865206,0.992457978,0.997897302,-7635.979077,1.004633675,1.071206776,1.013799626,0.990996514,0.987124841
0.1,5000,0.021539565,-0.000102164,0.010396663,-6911.225501,-0.008493665,1.03488091,0.010354827,-0.006375494,0.0098657
1,5000,0.472681235,0.47028202,0.472861888,-8803.268819,0.469870662,1.043968059,0.473155827,0.469399456,0.472359069
5,5000,1.030702315,1.009787734,1.023359352,-15202.48232,1.018191563,1.081282298,1.028927791,1.009161111,1.015917234
0.1,1000,0.011121395,0.039753971,0.010685148,-1406.900549,0.039212516,0.935265536,0.011751896,0.038933881,0.008775658
1,1000,0.44826654,0.483895923,0.434228132,-1762.797987,0.491391682,1.032372696,0.442383366,0.482603282,0.436696403
5,1000,1.071301829,0.968572893,1.031198955,-3033.576346,0.987617522,1.085947503,1.072511548,0.967176789,1.008614274
0.1,2500,0.014861999,0.039382001,0.009673307,-3490.028606,0.039911605,1.027298066,0.010037525,0.039763673,0.009331486
1,2500,0.494040235,0.44412041,0.492783817,-4361.588283,0.445340104,1.019693464,0.493695772,0.442926978,0.490411206
5,2500,1.040628843,0.989325449,1.015486562,-7525.712076,1.005369811,1.088207191,1.039656909,0.988539673,1.004458902
0.1,5000,0.020059379,0.021690919,0.010801594,-6955.34455,0.023358438,1.044177961,0.012176046,0.022675947,0.0094722
1,5000,0.492211878,0.497942632,0.489057258,-8886.101432,0.499593808,1.043390579,0.489835204,0.498133542,0.487279056
5,5000,1.064395534,1.017247701,1.061632867,-15211.63498,1.025365723,1.08963797,1.06503863,1.016978248,1.05374969
0.1,1000,0.068011245,-0.000850915,0.015444045,-1368.557914,-0.070421928,0.873546085,0.026844842,-0.071508257,0.010317685
1,1000,0.505056774,0.429167848,0.495741316,-1757.584662,0.436271773,1.02486091,0.504444217,0.427104537,0.481649553
5,1000,1.111653596,0.97302496,1.101966831,-2988.3904,0.999453216,1.097467939,1.110685328,0.971164337,1.071123438
0.1,2500,0.024840693,-0.000133732,0.010982657,-3440.711171,-0.007651515,1.06429275,0.014364274,-0.007450798,0.010596642
1,2500,0.484955207,0.497632998,0.472113463,-4435.508186,0.502987775,1.083327726,0.483397386,0.497375635,0.454721522
5,2500,1.180606401,1.017762288,1.154567418,-7664.640355,1.042614256,1.108829346,1.180945542,1.016556407,1.146959718
0.1,5000,0.010532218,0.038076299,0.009808189,-6956.585997,0.037634574,1.021323463,0.010294514,0.037433942,0.009639077
1,5000,0.483740667,0.485593735,0.482505412,-8848.002225,0.484999478,1.035231565,0.483609325,0.484353336,0.480412316
5,5000,1.010373588,1.003376091,1.00428916,-15251.36613,1.010069817,1.079492194,1.011289829,1.002085287,0.992698551
0.1,1000,0.010389707,0.027515521,0.009489056,-1375.081269,0.0276179,0.893111737,0.009655137,0.027567921,0.009337006
1,1000,0.483266311,0.442136792,0.482401681,-1735.540618,0.451646774,0.991127476,0.484897553,0.439331544,0.47165721
5,1000,1.030403289,0.956291944,1.017162509,-3064.13376,0.990171983,1.073824719,1.031876965,0.954161691,1.011960611
0.1,2500,0.026235634,0.03192337,0.015723099,-3470.584507,0.034300461,1.029697565,0.02620376,0.031787526,0.010049791
1,2500,0.504485824,0.461032457,0.501251903,-4383.005332,0.460585674,1.047146496,0.501941793,0.459605915,0.494328478
5,2500,1.033072446,0.995502774,1.029637435,-7501.802189,1.008526321,1.082600949,1.033258868,0.994429417,1.013234535
0.1,5000,0.012308541,-2.70E-05,0.00999553,-6873.325614,-0.004178398,0.959797638,0.009848924,-0.002683755,0.00972081
1,5000,0.488653488,0.471596138,0.490796338,-8865.087759,0.471975365,1.054048096,0.489407805,0.470461813,0.487881157
5,5000,1.047255873,1.008795652,1.038296406,-15213.36276,1.018136812,1.082876077,1.050554849,1.007900122,1.0319923
0.1,1000,0.054971189,-0.000886055,0.013086508,-1376.024956,-0.046638255,0.917252974,0.013887088,-0.046020398,0.010586422
1,1000,0.507270777,0.442343937,0.504756839,-1742.016595,0.442891754,1.021507521,0.507622425,0.440566702,0.491580306
5,1000,1.014692015,0.983183903,0.996394854,-3024.766055,1.009913471,1.081643502,1.017320831,0.98197112,0.982396141
0.1,2500,0.032112634,-0.000459583,0.009954246,-3432.019925,-0.030204206,0.961500542,0.009697962,-0.029838258,0.009593763
1,2500,0.486304711,0.459810618,0.483149944,-4376.786248,0.460566936,1.054489016,0.487217235,0.45782755,0.481481645
5,2500,1.049371343,0.992174697,1.033637002,-7634.927629,1.004747851,1.078807667,1.049102763,0.990517994,1.018699361
0.1,5000,0.012673716,0.015947511,0.011041286,-6940.661832,0.016004148,1.026212829,0.011688079,0.015894821,0.009987963
1,5000,0.481896301,0.50490216,0.477791499,-8948.264827,0.5063014,1.068222258,0.48154577,0.503829971,0.474257624
5,5000,1.097867117,1.015327951,1.0893962,-15185.27829,1.022315654,1.089013848,1.09755074,1.014716578,1.083335557
0.1,1000,0.018785171,-1.26E-05,0.011410344,-1393.202539,0.004027814,0.894809498,0.013278335,-0.000150465,0.00977634
1,1000,0.452414278,0.466067958,0.445255167,-1761.277456,0.467567761,1.034497862,0.447520211,0.466042083,0.440023721
5,1000,1.075514765,0.963007618,1.065605595,-3015.76909,0.994885201,1.085975761,1.074740465,0.960916935,1.030050779
0.1,2500,0.022512402,0.063716015,0.010966126,-3525.839218,0.068525054,1.054513115,0.022598367,0.061915579,0.010109432
1,2500,0.474005174,0.490223302,0.475051473,-4431.772815,0.490085141,1.054186222,0.475540892,0.48871062,0.469323459
5,2500,1.061631471,1.017469523,1.049310181,-7618.140219,1.030574531,1.102511129,1.061780626,1.015980712,1.039247906
0.1,5000,0.00993404,0.013320766,0.010058565,-6893.719441,0.012866274,1.034911055,0.009909934,0.012731455,0.009771353
1,5000,0.496613739,0.468550309,0.49698401,-8755.212421,0.467911253,1.056950644,0.497881498,0.467115192,0.492191432
5,5000,1.04166687,1.017977541,1.037049465,-15186.52127,1.027143136,1.08981042,1.042729706,1.017305943,1.03067417
0.1,1000,0.012166323,0.010945015,0.015322505,-1399.523212,0.009561045,0.948667013,0.014558999,0.00935725,0.009299227
1,1000,0.530098897,0.470410966,0.522547765,-1754.879893,0.470721884,0.959606242,0.532067758,0.46822163,0.517589571
5,1000,0.98450956,0.979356451,0.978739114,-2997.527662,1.004262947,1.080919932,0.982154659,0.976056485,0.961446087
0.1,2500,0.02325791,-0.00014018,0.010062406,-3427.61256,-0.007610315,1.04442988,0.009570982,-0.005115922,0.009351241
1,2500,0.508918008,0.474681205,0.486324587,-4406.514175,0.486487752,1.072768426,0.493811523,0.482604235,0.485170101
5,2500,1.081628347,0.999210172,1.069912601,-7602.122837,1.012313068,1.084784924,1.081661962,0.998580797,1.058281979
0.1,5000,0.01303424,-4.19E-05,0.01134565,-6832.649188,-0.004307528,0.970221158,0.011513627,-0.00281644,0.00991801
1,5000,0.490785447,0.481238434,0.490483446,-8827.504189,0.480858383,1.049842515,0.492589668,0.48034654,0.48698207
5,5000,1.013446767,1.000977733,1.005145984,-15261.41607,1.009980094,1.070520585,1.012886095,1.000187978,0.994551537
0.1,1000,0.01170826,0.067261182,0.014665976,-1398.790968,0.067072784,0.977374379,0.013808749,0.06510672,0.00928576
1,1000,0.530259122,0.51060353,0.518462927,-1767.678214,0.518757753,0.980460334,0.532000358,0.509798803,0.518294304
5,1000,1.029895553,0.975197769,0.994185008,-3006.858393,1.005163101,1.091495372,1.030521509,0.973296281,0.994232489
0.1,2500,0.011810488,0.056205234,0.01135351,-3521.899527,0.055646107,0.96424894,0.012792753,0.055144254,0.00968217
1,2500,0.47395736,0.485678747,0.472063926,-4456.680365,0.487114915,1.052112411,0.474526929,0.483930835,0.470164162
5,2500,1.059933943,0.990012296,1.049467432,-7585.284223,1.006736274,1.083939579,1.061730228,0.988321878,1.033572503
0.1,5000,0.031728199,-0.000385278,0.011899704,-6784.420358,-0.040738818,0.944338825,0.011998972,-0.039914257,0.009664119
1,5000,0.492654338,0.46018621,0.49282356,-8769.513305,0.458976983,1.058514146,0.493620706,0.458607014,0.491266866
5,5000,1.023034781,1.012000358,1.018469789,-15217.28946,1.018534752,1.084755604,1.023263457,1.011664198,1.012370009
0.1,1000,0.010777156,-3.59E-05,0.011560959,-1366.472048,-0.002184712,0.865758532,0.010353038,-0.001768552,0.009896662
1,1000,0.511698852,0.436207726,0.507314257,-1725.085874,0.436903238,0.983984743,0.507060122,0.435980443,0.502077315
5,1000,1.074176227,0.952107034,1.042129161,-3052.551017,0.986309528,1.064112739,1.070459251,0.951608736,1.029914093
0.1,2500,0.026090509,0.003776043,0.024805849,-3458.774184,0.003655328,1.057756212,0.027522013,0.001968688,0.009959427
1,2500,0.501368025,0.459723828,0.500772151,-4412.596588,0.460227821,1.024834628,0.501562009,0.458120269,0.500552168
5,2500,1.026906339,1.009476843,1.015357762,-7583.498668,1.019049554,1.09142617,1.027528934,1.007999619,1.009101428
0.1,5000,0.009830589,0.041513729,0.009908713,-6877.884089,0.0412214,0.971866348,0.009960703,0.041211649,0.009704011
1,5000,0.475754989,0.466471994,0.474373827,-8766.861904,0.467031188,1.050293831,0.475660116,0.466135874,0.471810711
5,5000,1.055563427,0.99590848,1.041729005,-15184.84363,1.002431472,1.069853419,1.055457376,0.994652853,1.036430539
0.1,1000,0.012454381,0.042869525,0.012122855,-1401.846358,0.042447956,0.860936106,0.013275686,0.04203104,0.008962417
1,1000,0.493806264,0.45149771,0.49380461,-1769.476226,0.452512554,1.007434035,0.494266372,0.450232694,0.493578049
5,1000,1.085046861,0.953806998,1.060985476,-3005.582266,0.985931286,1.076877577,1.086135246,0.95249592,1.038498715
0.1,2500,0.024231916,-0.000483177,0.010665995,-3418.879101,-0.031713463,0.905879994,0.010214794,-0.030798368,0.009980671
1,2500,0.49566541,0.50888995,0.495238185,-4462.095289,0.51166551,1.03354249,0.496340596,0.507486422,0.492994226
5,2500,1.0330999,0.989076147,1.021559981,-7636.175353,0.999754341,1.068698425,1.032445966,0.988076265,1.01824748
