mu,k,SURE_pi_B100_MSE,SURE_pi_B500_MSE
5,50,0.053064881582134696,0.06069809850194466
7,50,0.012723896076476789,0.017784302903931456
3,50,0.1467893692465423,0.11712807181427015
5,50,0.05464423183805768,0.08109379365500488
7,50,0.030580607123446724,0.04665442851634978
3,50,0.11931538079429248,0.16318391766037768
5,50,0.05967261898432655,0.02654861259842154
7,50,0.016958456444941587,0.0666236027894856
3,50,0.13102283315401655,0.12293063709328408
5,50,0.012714463407501809,0.041490348699483516
7,50,0.00035181082923950875,0.03322521916135839
3,50,0.12688647967706165,0.16188105395019078
5,50,0.0860591147035402,0.07343287152409352
7,50,0.012223033882758323,0.010649794531114228
3,50,0.16648706172118152,0.1730484046979088
5,50,0.06232245907096556,0.06233699344030051
7,50,0.0050605189073494265,0.02699397705005105
3,50,0.10257411337904346,0.14001556154633812
5,50,0.021807810474819677,0.10195536656329575
7,50,0.03597274807459181,0.023348741188816552
3,50,0.07417026165690192,0.22845401035373078
5,50,0.06283343931686991,0.049554186520888596
7,50,0.0042620833406738995,0.0032303192689765096
3,500,0.4291212018888833,0.4390070241666303
5,500,0.12727644696235588,0.2749276399186942
7,500,0.024997078291320054,0.013707475139993434
3,500,0.4128753721549466,0.37913604565776854
5,500,0.11146319359685485,0.22239434375554432
7,500,0.015576083179258854,0.008890013908693123
3,500,0.4061023169977542,0.373478293199309
5,500,0.08843208271300941,0.0843127166215795
7,500,0.045710595830370376,0.034766684199602584
3,500,0.37256083696083464,0.4807909035195125
5,500,0.1869207657991233,0.10703916475951732
7,500,0.04745346772700943,0.037283195766275166
3,500,0.44905683571808963,0.46859684305097166
5,500,0.0714542141929837,0.09757487620134939
7,500,0.013718497487393547,0.009803676511035106
3,500,0.5237201773152252,0.44867620921860446
5,500,0.13452593027616988,0.11441582982161527
7,500,0.04369042454525354,0.021085697070544765
3,500,0.43154986349643865,0.3594741261089367
5,500,0.0689230324667709,0.16100500428347506
7,500,0.04671385006578381,0.013188927909122846
3,500,0.481061030360694,0.4517813335024266
5,500,0.186356167634306,0.16591462276665073
7,500,0.049254989214388076,0.0013693162109441794
3,500,0.39536165266635426,0.5014405318215515
5,500,0.028771977826901447,0.1931304935681107
7,500,0.05840011250893774,0.03472150933867654
3,500,0.4200725145341905,0.40776088841516456
5,500,0.09237014561166243,0.15964125974324658
7,500,0.028005072075458926,0.015941929737555455
3,500,0.3764082010179711,0.46471478388112036
5,500,0.10690476325072633,0.15264240820284009
7,500,0.047388929402397494,0.02736988738857062
3,500,0.44710370957415624,0.46468754383079564
5,500,0.0985921429594052,0.12814646106061303
7,500,0.044044107181990255,0.049921904718203215
3,500,0.4712168155317652,0.4572957464607538
5,500,0.13796779680070814,0.12117996594230425
7,500,0.06280892659871339,0.052809455207720235
3,500,0.45380465837230394,0.4950872830432101
5,500,0.0635793994530764,0.18969310109766538
7,500,0.0390995619585218,0.001164458270100998
3,500,0.39945313860728604,0.4499577296805696
5,500,0.12879629443012,0.09591109265695469
7,500,0.005170404662793266,0.07261815470134307
3,500,0.47343541501829367,0.44550395727233216
5,500,0.19108040404803453,0.14957810851509534
7,500,0.042229702850093,0.009916458845845157
3,500,0.5204958488608105,0.5502295197843192
5,500,0.10770409516668895,0.0812088295085615
7,500,0.014602291725162893,0.03715339638181392
3,500,0.43535384465755705,0.4665293464152053
5,500,0.14071573941256263,0.09368904149706177
7,500,0.0031320475067585143,0.006671989591219209
3,500,0.5092973893703323,0.40084242859323943
5,500,0.17417244531103032,0.12634185026549244
7,500,0.04478660117811724,0.015185125401174403
3,500,0.5029663351109338,0.46567304803538767
5,500,0.2054112537457124,0.14334416481398982
7,500,0.03823698106411189,0.007841075411415259
3,500,0.4555335476671311,0.4358725868538847
5,500,0.1901791431019754,0.14684478025200304
7,500,0.05581644382766476,0.04027825706220237
3,500,0.4994297372815623,0.3967431088348368
5,500,0.07999953481447147,0.07545701382946025
7,500,0.007964754588867288,0.02316205870579512
3,500,0.4790805510969933,0.48305568164417856
5,500,0.240830136706618,0.07149815920350443
7,500,0.019953161302299793,0.04633574014347429
3,500,0.41290072730746724,0.43840720118393767
5,500,0.08466134179764379,0.10278625849347703
7,500,0.058679737672226256,0.03424706067621034
3,500,0.4503608768995728,0.5456514276314638
5,500,0.14219406201208262,0.13377878457775944
7,500,0.03897189130982659,0.009736808415776793
3,500,0.5139560462218049,0.477615862277283
5,500,0.17557028786047726,0.12112530015198653
7,500,0.04727787645178171,0.012825676697648896
3,500,0.47390137106874874,0.4737333126813304
5,500,0.16475043737462938,0.09559535179999358
7,500,0.06331607669286449,0.012182794906711387
3,500,0.44804094800514416,0.4137750496619095
5,500,0.13888527918719323,0.14400997379674876
7,500,0.008534629003346084,0.04666781095527405
3,500,0.39183877643321074,0.48238313643018216
5,500,0.10903737950940995,0.21807310615277725
7,500,0.01982757940981413,0.004726423837749647
3,500,0.5095928900764255,0.48127446614691033
5,500,0.052830857007423355,0.09510119918607123
7,500,0.004442402152384628,0.02710316818811112
3,500,0.4319857504228584,0.435773772607891
5,500,0.08949669515489637,0.20074408073880196
7,500,0.04040102899626219,0.058515487689855754
3,500,0.49948790082032024,0.528957207027586
5,500,0.05972545921403968,0.19351111853168282
7,500,0.005563494224544322,0.024715856296118457
3,500,0.48462470479640746,0.43745244302207453
5,500,0.16675326306373722,0.07284393391466167
7,500,0.02376429067140906,0.025746908071422603
3,500,0.46553240709621546,0.461633510831206
5,500,0.16552372678862656,0.11913945062975696
7,500,0.02286945923656758,0.03194161593510537
3,500,0.42832309031833943,0.40029425089662274
5,500,0.10199143637738883,0.06296645531704545
7,500,0.01653245217380282,0.03269336248531512
3,500,0.4976756458629096,0.4485828113579548
5,500,0.1199027042044707,0.17769391355840086
7,500,0.09661568664076255,0.010106939495596318
3,500,0.4793437903413966,0.3818037477137491
5,500,0.15488616122947094,0.15101545417618178
7,500,0.04801707142635881,0.03181420622821174
3,500,0.4940820897278754,0.44173374930247045
5,500,0.12479630004713366,0.08524992989676275
7,500,0.008285249549484425,0.04895071228594721
3,500,0.40861198215681294,0.4499887788860347
5,500,0.1406703551412067,0.12759603181294488
7,500,0.01195151317713453,0.07239974001889932
3,500,0.40102449491833475,0.4381058222732515
5,500,0.09748162379964628,0.16387005273529187
7,500,0.002057140632120297,0.04944790170865778
3,500,0.41300696841385703,0.4354457342967046
5,500,0.18311871297339347,0.09904815221183252
7,500,0.00037860883047014676,0.009524436549709686
3,500,0.48815910879624014,0.4084128453371044
5,500,0.18047392789330075,0.16846902725778548
7,500,0.020795776153253738,0.0315400013816478
3,500,0.489376840811363,0.43652720400212425
5,500,0.14256179958267395,0.07597774528429381
7,500,0.0015394735366681825,0.010102204282359447
3,500,0.4416167114530684,0.4221187022959619
5,500,0.1321822239899085,0.10261210153548267
7,500,0.011348072484890151,0.03560853658717548
3,500,0.47731101814596344,0.44964339453761765
5,500,0.14961152986760384,0.17017570216990635
7,500,0.0383680656621334,0.05384780008928086
3,500,0.528459608506607,0.4497845075095018
5,500,0.14398272860943861,0.11039222314686153
7,500,0.02364688154771157,0.05080604063189993
3,500,0.43474894712135237,0.4848530017032603
5,500,0.12715284528958168,0.10330722882572492
7,500,0.028549154597043318,0.006389879023986324
3,500,0.5106665335839212,0.5160549921464461
5,500,0.09763099834339485,0.1762167213388665
7,500,0.010943142937483304,0.022672941905792655
3,500,0.4805996091821857,0.48297004900383717
5,500,0.0746243570604139,0.08848926750085936
7,500,0.023826884268411966,0.04158787441638907
3,500,0.4773729617720764,0.4184522944929877
5,500,0.07614835331596898,0.08285992398038346
7,500,0.0030144226964542425,0.04513775977695951
