sigma_theta,SURE_pi_B100_MSE,SURE_pi_B500_MSE
1.0,0.5053101339848395,0.5210738236475038
5.0,1.006275189843643,1.0427285196542087
0.1,0.010983042130097367,0.029898504105290116
1.0,0.48202183635136636,0.4951826808571052
5.0,0.9683984513004774,0.980603001977062
0.1,0.01159307261020072,0.01779790635615716
1.0,0.5415082469069493,0.5333797618403225
5.0,0.9761172527242432,1.078324901020722
0.1,0.019455132786940034,0.014252776931856805
1.0,0.5431122207952326,0.5656295908474567
5.0,0.9776112131702284,1.0049838326587361
0.1,0.01208384663189019,0.041006708678353154
1.0,0.5055311015566685,0.5112583981393306
5.0,1.0343056885666448,1.0047471629467535
