mu,k,n,SURE_MSE,SURE_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
3,5,1000,0.018633162567002717,0.026325572343521116,0.01794544077248411,-1383.8336614466084,0.026492636724921338,0.9587310815107958,0.01820705734053782,0.026186628435478723,0.01617125918595798
5,5,1000,0.00972716496724613,0.022325673776321765,0.007828366913010304,-1413.7755464371198,0.02480081204494786,1.017045624350226,0.008245396065239677,0.020684493087734835,0.003877981906692205
7,5,1000,0.08033529368056364,-0.0013799713697101197,0.006460934309185992,-1391.3779024575683,-0.10188828676917365,1.0232217378987245,0.005769277191094685,-0.10018479612434726,3.6274565631166197e-07
3,5,2500,0.00824693903756812,0.005452451389492853,0.007602596877676622,-3422.447425844658,0.005344529822700679,0.9366821939129036,0.0078113069794643036,0.004631937144251788,0.006782799762210324
5,5,2500,0.016238607187456403,0.07857684243071654,0.009042664064764208,-3520.6733335821637,0.08129975990032981,1.019023505513071,0.017977952715224572,0.07700567922813352,0.008801899719826445
7,5,2500,0.01765143127136312,0.050763257863959736,0.0024833398712061157,-3518.954563565443,0.05523379474684025,1.0102530067758606,0.0031351101111852797,0.05424111375173816,0.003747578452831135
3,5,5000,0.021687777809622423,-0.00023419650957912382,0.004490428513941253,-6925.45218705668,-0.017758535353781735,1.0367320862177838,0.005308848692646582,-0.015986483092365417,0.0032789917902850325
5,5,5000,0.01684109399675393,0.0017160600959978184,0.01723683161422421,-6891.937235556023,0.0015686510123285187,1.0576779902654783,0.015809242903179175,0.000545251968312914,0.018437384404053687
7,5,5000,0.003367362468702889,0.010164208060870988,0.0029544718937639424,-7028.263392014477,0.01029346462826179,1.0561512702632974,0.004427414112935855,0.008085517562315545,1.0321826753120442e-05
3,50,1000,0.16391582223925752,0.13198555677395507,0.16366096322217497,-1497.4381994497237,0.1351060388065373,0.9266162666376899,0.16342894112370915,0.1310613496011224,0.1625046031834528
5,50,1000,0.12316443444797082,0.15766465819730568,0.11091950038815813,-1574.7445768297275,0.17605056122557447,1.0047791481953212,0.12418146800504008,0.1555700197371332,0.11436511761379187
7,50,1000,0.059713641122359246,0.05632683448819103,0.04576439952773929,-1557.4279256233663,0.07301380374606516,1.011244317857938,0.06002336305272975,0.05491732321316226,0.007507804649912822
3,50,2500,0.08167300781679238,0.05184903719447539,0.06468421122670079,-3576.8957544082054,0.055353790135770575,1.0323427756593342,0.06630972908099207,0.05426613870868514,0.06399428744617164
5,50,2500,0.02829758812155369,-7.641453621690744e-05,0.02518905958251202,-3632.7038980067778,-0.007175799468771583,1.0070226126601491,0.02518284829821927,-0.006125913380374004,0.024293847740102317
7,50,2500,0.0006884544569144474,0.014485319338549197,0.001002973029350316,-3746.720288578505,0.014868255315814713,1.0256929206320764,0.0006501051970949484,0.013863632783397589,0.0006470297078935246
3,50,5000,0.0354848009095292,0.060515856168672326,0.035443643623964384,-7103.421584306529,0.05934631978706675,1.0305284317146117,0.03589633531259258,0.05927897911530417,0.033420064400372436
5,50,5000,0.025377999131701107,-6.573482356579917e-05,0.023515835255879646,-7064.320723174043,-0.006154727986975558,1.029306393736579,0.02342740289409291,-0.004645597417134013,0.02044175467464479
7,50,5000,0.010966577877334316,0.027398804605807164,0.010305880116148592,-7141.1257400604245,0.026778987300854352,1.024043203447098,0.010516022261278662,0.026690169256151423,0.010089464983750653
3,500,1000,0.5564947277052642,0.4611249417330655,0.5535432558975607,-1886.68093191817,0.4617308090287822,0.9467694262549569,0.5559997269398637,0.4606103986409357,0.552169716227646
5,500,1000,0.2238850337307598,0.22230003341410542,0.2169265088386998,-2006.702374251588,0.22415629252187433,0.9540273300564154,0.22479503753559413,0.2200799242923831,0.21054337887256913
7,500,1000,0.05959232105452652,0.03444080824910134,0.060871456377369855,-2046.9673896457796,0.03434810265055035,0.9610400808142308,0.05939526388050282,0.033741803394167616,0.0591961022186422
3,500,2500,0.36702645629419045,0.3668243905659185,0.365768052881778,-4391.383668328874,0.36669662448756735,1.0229618353657968,0.3662380492727483,0.3665627920686151,0.3632209213174483
5,500,2500,0.20922853141347156,0.15798106725809322,0.21246441679101316,-4636.822732466559,0.16354676839789845,0.9818430015404372,0.20953881534500457,0.15655534506606272,0.20866887492460445
7,500,2500,0.05689852307815648,0.06508567163383396,0.05066468304446223,-4689.906494750827,0.06854634435419849,0.9948125923065528,0.057393347583817124,0.06453633809896928,0.04830774019855348
3,500,5000,0.20688284902313495,0.23210840115496484,0.20753762834337414,-8025.372324351173,0.23166669559613584,0.9908086563270595,0.20674559164743478,0.23145301945761768,0.2063933900178423
5,500,5000,0.14619882815479437,0.12072427956910105,0.14686239154116423,-8386.577519443443,0.12058332350827713,0.9986991594191265,0.14646656718712328,0.12005990386864232,0.1442548741601844
7,500,5000,0.052535845224086566,0.049603142423385545,0.0487551084344297,-8470.954159284309,0.051107856484170044,0.9954052855261789,0.05240952383528608,0.049780563816722315,0.046431331887465566
3,5,1000,0.05602601011837587,0.06081998423156392,0.048709712898149106,-1376.2285046760721,0.07485011679661921,0.9265006070911238,0.057559220337102666,0.058286692914231025,0.04404819103964807
5,5,1000,0.06526377221741107,-0.00030633239640087597,0.05269398430082007,-1382.2044727561038,-0.01669981648668113,0.9299453174354205,0.05518468285963747,-0.016216256344139538,0.0500006596118811
