,mu,k,SURE_2step_MSE,SURE_2step_LOSS,SURE_both_MSE,SURE_both_LOSS,SURE_theta_MSE,SURE_theta_LOSS,SURE_pi_MSE,SURE_pi_LOSS,SURE_sparse_MSE,SURE_sparse_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
0,3,5,0.06233898547082432,0.05126427059429216,0.06277550094588906,0.051417363230766344,0.04693294423959571,0.07037224346331004,0.04283295101675058,0.06181678763500986,0.044331158515620764,0.07812167344778231,0.055849589431115794,-1455.5305416367498,0.19009255786610016,0.46986021189610483,0.06233111911709077,0.051257259453021564,0.04761627693817588
1,4,5,0.01676185296495685,0.0025550227937011414,0.016777787779009855,0.0025570497876676655,0.0567233150405975,0.03520270149742328,0.03596008519971007,0.01471728983980961,0.06825132211086678,0.049185116579723624,0.02020251533781306,-1436.9798432426892,0.11421932777482971,0.47989823147887867,0.016773692628707645,0.002544565611893631,0.01676022589556193
2,5,5,0.0300324577465242,0.023687392312705925,0.02996306141810827,0.023699714755973218,0.03873198724263443,0.029377638203603965,0.06147861912963357,0.0755475220693836,0.09906533721374511,0.12434940044683754,0.019897008815887587,-1456.1675086173868,0.5505810911827166,0.5124297386425303,0.029990177203280947,0.023683143590052736,0.00826311249055564
3,7,5,0.002924671477738078,0.03445198078623662,0.0029664828860411735,0.034463395798117746,0.0033934759270673413,0.03518070212190969,0.12780022899552893,0.1737153678643965,0.18483266434169376,0.23472140282811824,0.0026156399039861766,-1468.100327040731,0.9624554772077863,0.5698758171464542,0.003281022530257102,0.03439885584133753,2.4974928846265022e-06
0,3,5,0.01986992548180207,0.03982513319847021,0.019865222635246236,0.03982706724186983,0.037686953620703414,0.056691769890270284,0.023482690934558816,0.04391508446148737,0.038534304033576446,0.06257338083732497,0.018903132715277653,-1449.2426556397236,0.2212878435108214,0.4381836787594916,0.019869373911970255,0.03981881820985109,0.015769766163307917
1,4,5,0.020560289163689596,-0.038887877210843955,0.020519782690616575,-0.038882347936737345,0.049079255152587146,0.02812070568512331,0.03646388277989036,0.002623695081705591,0.06987785435210786,0.04172351966300312,0.01816690495477544,-1422.8176579271499,0.3903219976974037,0.4407732665097999,0.020541248407166496,-0.03889592385069011,0.015339434188098421
2,5,5,0.015414086910737866,0.01775263479726095,0.00680986771169612,0.020459302549424137,0.013123458575380964,0.01917681111766376,0.055078767939278066,0.09434910239222655,0.09747330641565023,0.14365136689617045,0.016394115527578235,-1456.2617443866197,0.5020194490129557,0.5198097898110686,0.006827714913117981,0.02042387668121728,0.0009840185208360084
3,7,5,0.0005892819239102158,-0.04333180203483403,0.0005649035804971891,-0.04332008425711001,0.0010781275247830754,-0.04282141728278827,0.1285106806759024,0.1032093076308861,0.1966250290471909,0.1783025117504849,0.0006491237835940482,-1428.759382198768,0.8491490868178521,0.56134613921096,0.0005706306794662419,-0.043340035621414134,1.4721532154351954e-06
0,3,5,0.04247512275235486,0.0327568998313277,0.0423706681410452,0.03279518633952375,0.045051839664771505,0.04652232571449031,0.040242356114413264,0.0371331432337779,0.043644965490475765,0.05772914283168166,0.0362441058472268,-1445.5361687213301,0.06622758315676401,0.4503025050353183,0.04237956474535301,0.03275434796312652,0.027566052913551343
1,4,5,0.04747049818210039,-0.03247350567965407,0.047441134139868134,-0.03247000268023953,0.05479300833085821,0.016903151672562216,0.047090487580411025,-0.004712537895768037,0.07223233205244252,0.02948815431129856,0.048342858632225566,-1420.4838738635492,0.32022558681356394,0.43332559062829434,0.04745344833835279,-0.03248219087359758,0.04348111441146653
