,sigma_theta,SURE_2step_MSE,SURE_2step_LOSS,SURE_both_MSE,SURE_both_LOSS,SURE_theta_MSE,SURE_theta_LOSS,SURE_pi_MSE,SURE_pi_LOSS,SURE_sparse_MSE,SURE_sparse_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
0,0.31622776601683794,0.11769535385148316,0.12476018550327399,0.11768296347687351,0.12480847442113896,0.1551756869075428,0.13242203053517823,63.20843227013109,63.08841121196901,63.207510752352825,63.087492151066265,0.10329601778901683,-1492.9057902549189,90.04401130609958,64.76236403048391,0.1177884002759432,0.12474439341781794,0.09322331737938992
1,1.0,0.5454635100588576,0.494233939243323,0.507189558944306,0.46690345720353255,0.509321552649235,0.4696149061818385,53.85780442931971,54.133398055796015,53.85689794786793,54.13248358292564,0.5046359144410406,-1732.2020867696729,67.3643546986054,55.742732716921424,0.5051108002308954,0.46412673806670957,0.5007927265385864
2,2.23606797749979,0.9409636554286436,0.805649221506349,0.9408414012403794,0.8057156713907568,0.9501576788721733,0.8259442362577176,36.27160615667155,36.17750196548425,36.27077539754899,36.17665369203815,0.9359108109888304,-2281.859077645937,45.22966445589133,37.649888367809076,0.9409436619528203,0.8057752599296919,0.9345902201265773
0,0.31622776601683794,0.10341076192156687,0.11959830546025364,0.10329653475866782,0.11963167161955107,0.10198992141535808,0.12000165751865506,63.11153907369533,62.07229629781168,63.11061155984894,62.07137726512401,0.10407136171388841,-1483.1305663672363,72.8840443174481,63.74798337374917,0.10341144857336737,0.11960281857007021,0.09424316795519358
1,1.0,1.0223504189509922,0.991244075388199,0.5154274046843098,0.4811086708071307,0.5175739459404911,0.48455481265061146,54.523635723358204,54.244044414215715,54.52272206004208,54.24313037232702,0.5145939887942008,-1760.75766294653,59.146103040468354,55.85391260803801,0.556116785456354,0.531501869520808,0.5119955523512014
2,2.23606797749979,0.868859223471169,0.7956155836954092,0.8688177097366764,0.7956807364569479,0.9242696053876126,0.8398035380713331,32.23614319961256,32.02101457061473,32.23535504386684,32.020171005214884,0.859021786662159,-2301.0766724056466,39.94152659693935,33.498922014414894,0.8688510705663909,0.7956468394188982,0.8543167034361403
0,0.31622776601683794,0.10181480139517232,0.025057768020037202,0.0988322713116167,0.02467819284234065,0.09771110251181372,0.024489091793391482,63.80227542329484,62.98083419480999,63.80135377918239,62.979914723251696,0.09702622645551423,-1431.263057203115,92.08920998492282,64.65865347619868,0.1019485103422506,0.025106027176833776,0.08950540444479334
1,1.0,0.5155088324242806,0.5053022989793935,0.5154314579026107,0.5053519092671481,0.5531400313080926,0.5128276799894761,52.55258263854165,52.80198621254318,52.55167123705613,52.80107318155642,0.506499886059993,-1780.5877989262337,78.93989271730335,54.40566285025534,0.515458816937959,0.5053210072897314,0.5023415079419253
2,2.23606797749979,0.9680166442657978,0.8781996004859637,0.8992090291928008,0.7968079956471131,0.9540031023317226,0.8254297549073554,31.394994240562248,31.7064003339558,31.4021090939221,31.705763941657565,0.8880613039611098,-2315.044536034076,37.47215433244969,33.156220313080254,0.8992347682277059,0.7968625570539118,0.8536445094272829
0,0.31622776601683794,0.0915696829606574,0.09071508837234274,0.09151257878042501,0.09076883545307692,0.09104975830991563,0.09100026363372035,63.66513594759637,63.746629304180736,63.66421756653698,63.745710023398644,0.09132328975922373,-1467.1560886679474,100.25248031027304,65.42183535497186,0.09160823302063889,0.09074752252930467,0.09043593242865473
1,1.0,0.48548659873102873,0.4736987228250314,0.48531582563897263,0.47376407211707966,0.47817571557683,0.49423521768381445,53.72546550013436,53.98115116801701,53.7245551631963,53.98023800950353,0.48277120003399854,-1752.0332899091172,83.21652545411105,55.583035403881034,0.48536408081465565,0.47383745888602424,0.4725794873114066
2,2.23606797749979,0.9046848018841324,0.7940693357955658,0.9044432229064419,0.7941397622176608,0.9621342064148214,0.8262539762900645,31.939649273448964,31.760301750681055,31.9376976097243,31.759967435940627,0.8966355547951205,-2302.100468567064,37.615415516841345,33.23023111313129,0.9046549235150882,0.7940752546570216,0.8671297318435297
0,0.31622776601683794,0.08857526183709077,0.0664021740263404,0.08859207490538988,0.06643628703023319,0.08852769210006008,0.06653377063905191,64.29517923713321,63.80090263515582,64.29425741444435,63.79998313528819,0.0885879898825877,-1453.6636392074306,97.48974962116671,65.48291631292639,0.0947101533536432,0.07229594266420668,0.08820195713823245
1,1.0,0.49255482922842897,0.5121524421392685,0.49259571332707,0.5121811891445507,0.4951466699372067,0.5150694486551365,52.11245589982401,51.964920178296104,52.1115420268641,51.964009701170184,0.493277510475181,-1784.838576422655,76.39875506952407,53.559414363729914,0.49247664733838087,0.5122996418629352,0.48602832650394684
2,2.23606797749979,0.8494743885244216,0.81266627251393,0.8243190262177906,0.7870702666680216,0.8892110287761273,0.8325706815066847,32.39281886820341,32.47800861324596,32.392095352741954,32.47717108379217,0.8262740743442395,-2304.2992225003,44.581843821916024,33.936423695571854,0.8489026242077522,0.812845147082212,0.8033978087945077
