,n,experiment,MSE_misspec,MSE_NPMLEinit,MSE_NPMLE,SURE_misspec,SURE_NPMLEinit,SURE_NPMLE,data,NPMLE_lower_SURE,seed
0,100,c,0.07112269948966685,0.06980405118114906,0.1033867830406257,0.10109328194316028,0.10096256499949284,0.6940837025320805,train,False,400
1,100,d,0.016204431498390688,0.016203530594479036,0.008351343199450474,0.03520329591503936,0.035204446538597674,0.2720444616305753,train,False,400
2,100,e,0.2527243379097035,0.2527563359194241,0.30745745708643135,0.1401776466359895,0.14017024907147768,0.2653354333590934,train,False,400
3,400,c,0.04793831121603726,0.04793748834645079,0.07374046042724361,0.05007992421159884,0.05007781044259467,0.49910191862088,train,False,400
4,400,d,0.00638919675739934,0.006389239659640199,0.008231456746380556,0.0007194468550013333,0.0007190918464697127,0.06835256177353687,train,False,400
5,400,e,0.16181111849897672,0.16181649686381938,0.2811570824959699,0.15120598523981954,0.15120180516563253,0.5388063920205691,train,False,400
0,100,c,0.06866755736459185,0.06867158406426506,0.10104254027605833,-0.03487030192097485,-0.034874599417867316,0.5403088013608646,train,False,401
1,100,d,0.017840543264115473,0.01784360492131552,0.0024908792718507005,0.00688335091025742,0.0068823190764888765,0.08410866420680647,train,False,401
2,100,e,0.25930740002274694,0.2593078323957027,0.34894926059227027,0.12875556429716475,0.12874622849175318,0.29288779353281946,train,False,401
3,400,c,0.06005805355246449,0.060030758363797905,0.08053104524878235,0.07973485707433803,0.0797295514065717,0.6308521709156832,train,False,401
4,400,d,0.0054695680060689415,0.005566365244406009,0.007366020009968458,0.005554731010902092,0.005616034047752816,0.07500981347085943,train,False,401
5,400,e,0.1969243293347252,0.19745504972727226,0.2439479668387325,0.15031021259139624,0.15248770663384828,0.32740272398905673,train,False,401
0,100,c,0.10929674318471218,0.1092871841019742,0.10540929837274779,0.05041112903338302,0.05040334265016874,0.6766138534102754,train,False,402
1,100,d,0.014876258030056273,0.020237850161103004,0.010597814035807718,0.01270519203390645,0.01002792939374432,0.1448823702960585,train,False,402
2,100,e,0.21597165235628998,0.21579108454063248,0.3155845277771611,0.16136952095867338,0.16136675657778646,0.3659648792593749,train,False,402
3,400,c,0.049111096988510926,0.049109480407921416,0.07156295147420541,0.05413466565196551,0.05413173235855766,0.37684955530361863,train,False,402
4,400,d,0.010062375536123871,0.010058893938950248,0.0056877125903102566,0.017034181066971642,0.017034955622796437,0.07418914183914542,train,False,402
5,400,e,0.19675249284844912,0.1967526632298258,0.3293944270551365,0.15770159932553418,0.1577026711146778,0.3506769692675749,train,False,402
0,100,c,0.11980485601750271,0.11988588768113743,0.126482512440173,0.0514143023069704,0.05138816092564234,0.6863520188980504,train,False,403
1,100,d,0.021161965824284285,0.021166476193459804,0.013890034032736785,0.05663729898165439,0.0566366082158385,0.0637819654754546,train,False,403
2,100,e,0.2755936581395246,0.2756355435274093,0.28067183434327,0.14687771821357629,0.14686685367612115,0.3182591294938419,train,False,403
3,400,c,0.06458326276759453,0.06398440827901983,0.08570199099524092,0.05924931279369645,0.05910900138270229,0.7796512603530094,train,False,403
4,400,d,0.005594976017118861,0.005594552465815674,0.006284372208212996,-0.01469387289401313,-0.014693908473009235,0.03978140645703451,train,False,403
5,400,e,0.17725220638311046,0.17725410920943704,0.26404562150330274,0.14273796961351248,0.14273334544496455,0.2971508166052214,train,False,403
0,100,c,0.08477795903558397,0.08632567518665799,0.07455921368796443,0.09806068581268938,0.09892103967459129,0.4681258613990596,train,False,404
1,100,d,0.005183866435306311,0.00518393253028522,0.004857804845128182,-0.019914793616657534,-0.01991523405134897,0.00976790338037219,train,False,404
2,100,e,0.2037566884028752,0.2037868635098768,0.27616789976461514,0.15604616577478644,0.1560414381548206,0.30817981190987825,train,False,404
3,400,c,0.08448808571631443,0.0845278548915951,0.104928968782733,0.02517631616096793,0.025168795487021427,0.9085904325399143,train,False,404
4,400,d,0.004549015711860177,0.004547137472946973,0.004932747274833805,0.0021479180639253316,0.002149994451422259,0.0352123236562128,train,False,404
5,400,e,0.17938107509563703,0.17981284177225487,0.2902001114941088,0.16588096767583843,0.16585254550002687,0.303511972259195,train,False,404
0,100,c,0.15850397124367777,0.15857009701869418,0.1088333614583699,-0.09922549807571648,-0.09923879009820247,0.12867275174793322,train,False,405
1,100,d,0.006235010015184199,0.006251434003873847,0.004091722005484135,-0.004309423645496971,-0.0043123430026086144,0.008495264466865625,train,False,405
2,100,e,0.2572948371423721,0.25728604804896926,0.2936722317994712,0.10448277914394058,0.10448119496343214,0.386783414646458,train,False,405
3,400,c,0.058624850680515095,0.06296336067394429,0.08122746128516117,0.062139942722351196,0.061176242327287585,0.6018805193697976,train,False,405
4,400,d,0.008014024622859689,0.008013848893236858,0.006034144464725357,0.008836747674671077,0.008836790417176773,0.18241071306771375,train,False,405
5,400,e,0.19367963487573267,0.19376906904315935,0.3208994330115222,0.159863772241089,0.15985684806757625,0.31700528093031205,train,False,405
0,100,c,0.13292556401269198,0.13292405440882854,0.11725768449230163,-0.04184616105005446,-0.04185168715652651,0.777600581054037,train,False,406
1,100,d,0.001957047104931838,0.0019569342442351543,0.002679809467348715,-0.013746085005618714,-0.01374582665432687,0.10447282857845738,train,False,406
2,100,e,0.1342078103188859,0.1351924828528957,0.20500142718681502,0.09240932578514027,0.09303379153201512,0.31418616521689313,train,False,406
3,400,c,0.05563837838982484,0.0556519647813611,0.08294721069640106,0.06705017162799734,0.06704100288680458,0.7123640325144504,train,False,406
4,400,d,0.012219197855033193,0.012227451060471217,0.007246968971188158,0.02701659002257399,0.027014310618637367,0.12709167880078032,train,False,406
5,400,e,0.2120700142072601,0.2120906728168802,0.31218828004793736,0.1607349834416992,0.1607260932023084,0.32262862379026375,train,False,406
0,100,c,0.05351591598468544,0.05351380630145366,0.0847005737881463,-0.04716707024892699,-0.047186723891705924,0.5646291410113423,train,False,407
1,100,d,0.006447308407746263,0.0064478701739432084,0.007839032697450706,-0.0083709578334466,-0.008371316729280735,0.021358405939373278,train,False,407
2,100,e,0.23192712088891562,0.24238170159705047,0.37550676215037404,0.1291152292199473,0.1294114667534678,0.46828838516115723,train,False,407
3,400,c,0.05217735105802353,0.05217768060450064,0.0777205537204278,0.049072385090693164,0.04906820906810055,0.5708382291999392,train,False,407
4,400,d,0.005710200620739835,0.014592048123231288,0.013175557108670428,0.01608317468256299,0.0052969611142754044,0.21542379177986487,train,False,407
5,400,e,0.1703355000276044,0.17022969760193593,0.2666713571686082,0.14312438607618028,0.14311117388657793,0.34124236287785065,train,False,407
0,100,c,0.051191222214196724,0.0511863494493564,0.09309374649889283,-0.005545452950764869,-0.005556140735031363,0.6109165947043111,train,False,408
1,100,d,0.033324833914508634,0.0333379659948895,0.013547157905395766,0.001129223125892551,0.0011270093730563425,0.04062966773402188,train,False,408
2,100,e,0.16990935145377634,0.1698958420072514,0.2908275524120183,0.14532038245509338,0.1453172488195484,0.2974258540854812,train,False,408
3,400,c,0.06259365392346623,0.06251362755709182,0.0744404615787396,0.03379942280330695,0.033720672686446705,0.3887192052741251,train,False,408
4,400,d,0.006300610709387536,0.006300616820578686,0.00667323622816553,0.0068810277581791545,0.006880800379492839,0.0644784604773645,train,False,408
5,400,e,0.19200304796527867,0.19421830453782912,0.23999328400989695,0.14996977929047015,0.15005637666911376,0.31832291356885417,train,False,408
0,100,c,0.15609853355779887,0.12974965554684234,0.07838850366896534,0.0656984969827127,0.07154304826224589,0.8125470229771148,train,False,409
1,100,d,0.01212374033948923,0.012122179134962378,0.00619350747250043,0.03283799464698426,0.03283753781773093,0.23127006110815893,train,False,409
2,100,e,0.22322354485102303,0.2231316375416351,0.3245921783158076,0.1389407414598743,0.13892332603550422,0.3418243819880475,train,False,409
3,400,c,0.058165237730300336,0.05840831346391639,0.07550854062081302,0.04851179809908345,0.04828123284317158,0.3649276296197941,train,False,409
4,400,d,0.006454498924622262,0.006455232478827649,0.005923018244765945,0.018195598150905143,0.018195356931486693,0.1204683130058471,train,False,409
5,400,e,0.1890238333621195,0.18901454182577293,0.2854512136971355,0.16284379808334287,0.1628362261806592,0.3561522612885075,train,False,409
0,100,c,0.07339635926665478,0.0734034053245231,0.11258012132706013,0.01395795659046314,0.013951155734612542,0.7119082516187273,train,False,410
1,100,d,0.0029473378950614837,0.002947197316552156,0.00406361489251354,0.019871964444545042,0.019871869139023026,0.08266606528392409,train,False,410
2,100,e,0.2317656972509628,0.22851707875084984,0.21474158861444057,0.04499136407814621,0.0654553993264334,0.28533647078070534,train,False,410
3,400,c,0.0640527369787609,0.06404450677765718,0.07873764107969396,-0.03534278273716112,-0.035353325932380816,0.5310731735234505,train,False,410
4,400,d,0.0038355197862846345,0.0038180730852563176,0.004370920312402656,-0.0029746395105761537,-0.002978306034550933,0.01888883404595923,train,False,410
5,400,e,0.17945973875571075,0.18123697147392057,0.2595985598352719,0.16228044182313725,0.16247854904269163,0.3237385577733174,train,False,410
0,100,c,0.06946446762010963,0.06941153481977227,0.08117281614326073,-0.022651334232391348,-0.022655103176191176,0.5845058507963401,train,False,411
1,100,d,0.006573745386386003,0.006578555825423229,0.006573821401230588,0.006515281423118822,0.006513872540893342,0.00858400889505182,train,False,411
2,100,e,0.23764787733207754,0.2376331626582734,0.30662027072671827,0.08221173542410576,0.08219885843826027,0.35728472177756077,train,False,411
3,400,c,0.06976469964999912,0.06977067104974796,0.09991770263959875,0.019324800262553267,0.019320859733929864,0.9681388503219377,train,False,411
