,n,experiment,MSE_misspec,MSE_NPMLEinit,MSE_NPMLE,SURE_misspec,SURE_NPMLEinit,SURE_NPMLE,data,NPMLE_lower_SURE,seed
0,100,c,0.1363851523841923,0.13666321322009514,0.07903407233207443,0.12618210556145912,0.1261619248059705,0.41901024623043837,train,False,1600
1,100,d,0.014631790325433335,0.014633452784433914,0.00855143067266039,0.004597540260963662,0.004596926161841992,0.09814252001646695,train,False,1600
2,100,e,0.19413204001617004,0.19414318610682585,0.2733592306512481,0.21260969938764349,0.21260296692927255,0.33553382891244143,train,False,1600
3,400,c,0.07935359677606954,0.07929239034334153,0.09301357807037385,0.08111901136281795,0.08111331756261649,0.9516641692099885,train,False,1600
4,400,d,0.006362682571724499,0.006358344795788892,0.007276081036383888,0.005340368741033394,0.005342448805180275,0.08146229015288778,train,False,1600
5,400,e,0.16652178659126513,0.16648572180564225,0.2784651918696841,0.18132798888842128,0.1813186124291163,0.27911275961688,train,False,1600
0,100,c,0.10910814477188557,0.10904585852046839,0.13707575886080847,0.0924028604330217,0.09240348063346794,0.7265716320950267,train,False,1601
1,100,d,0.014871120932005875,0.014870821110671263,0.014392538064886084,-0.025597180171950153,-0.025597708351298216,-0.025457672830865904,train,False,1601
2,100,e,0.1732805109924924,0.1732647563814761,0.16170491595680805,0.13188453793565985,0.13187947219043622,0.2894524037457537,train,False,1601
3,400,c,0.06950571395766404,0.06950654045661267,0.07874165198326238,0.09568593750504178,0.09564634911221916,0.6150576472836113,train,False,1601
4,400,d,0.011218469255218659,0.011194945167518034,0.009935605087305361,0.01014166317730048,0.010132138840617292,0.06579874029140212,train,False,1601
5,400,e,0.2078049200338183,0.20781325804821227,0.27147219483296486,0.19049368053221924,0.19048311570940551,0.39239481857752057,train,False,1601
0,100,c,0.21457147934285203,0.21457864057499493,0.11906159388519517,0.1369220052108554,0.13690661646963206,0.4198984948735406,train,False,1602
1,100,d,0.006877850343714824,0.006887049712866542,0.007299147840305662,-0.003209835191285357,-0.003216825615384504,0.11501687190325718,train,False,1602
2,100,e,0.21322174735572458,0.21153821562829267,0.2179204636710153,0.09831446131588123,0.09768851430493314,0.3818452130701415,train,False,1602
3,400,c,0.052941707464025704,0.05294555120349367,0.07489148503426382,0.050545257492773533,0.05054722348654714,0.46219710928963464,train,False,1602
4,400,d,0.00742255370778657,0.007423358499017222,0.00873350901772342,-0.0016458440756092329,-0.0016463290062950265,0.07454177191962204,train,False,1602
