,sigma_theta,SURE_2step_MSE,SURE_2step_LOSS,SURE_both_MSE,SURE_both_LOSS,SURE_theta_MSE,SURE_theta_LOSS,SURE_pi_MSE,SURE_pi_LOSS,SURE_sparse_MSE,SURE_sparse_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
0,0.31622776601683794,0.10343057315018461,0.06356266123772275,0.10334678781758751,0.06363930904347172,0.09773693117410531,0.06869648941169976,63.96254055169576,64.35860814432714,63.96162428583835,64.35768871908436,0.10284466278686738,-1454.4433049001216,97.53897913760852,66.03543659466432,0.10341223168069087,0.06358345619034093,0.09683933046429179
1,1.0,0.48794455762217487,0.4700674491848554,0.4840401876587744,0.4643102013919172,0.4933569129538311,0.47335615114115265,55.75656182305569,55.570944606034665,55.755645674340855,55.570030396566565,0.48323894472971285,-1735.694998846091,80.15938843519659,57.18486405679015,0.48408647457450826,0.46435208153777924,0.4799630182774094
2,2.23606797749979,0.847945535889958,0.7993279224010968,0.847480061216175,0.7994091743524228,0.8754480701646338,0.8326079924325311,32.94099770501978,32.76245739371901,32.93981973175449,32.761594091969286,0.8293717286317877,-2294.985124032487,46.75258675796242,34.228767750181476,0.8476549787630814,0.7994821204947248,0.8050507767213454
0,0.31622776601683794,0.09569659671285116,0.11868354847398632,0.09545220361040155,0.11823323665159638,0.09305481989217768,0.11890955382834409,61.79372510765127,62.02254084923143,61.7928077155739,62.021622209239,0.09465927649754115,-1481.1991141238323,84.29665395218488,63.68487471264509,0.09568918436533759,0.11869820385739104,0.09252761463352459
1,1.0,0.494601087775363,0.5433628193515715,0.4632437804368444,0.48749575502864834,0.4618965129165879,0.49056456733633697,54.454003305540375,54.288453304112934,54.4530871428552,54.287538807596974,0.4613397460275195,-1770.5385345427658,79.04580660748424,55.89618590274149,0.4632898666839045,0.4875562649549386,0.4623328764456508
2,2.23606797749979,0.8387309064569699,0.8143097649008091,0.7899796071042052,0.7927991931883847,0.7922273886067704,0.8492130299421565,34.66447328510674,34.464224211248315,34.66372130979838,34.46337042689153,0.7873529010317971,-2267.4251346195992,41.59356268765384,35.95345614276252,0.7900222888396748,0.7927753124081739,0.7742473933563765
0,0.31622776601683794,0.08703174897062828,0.10479644868368519,0.08702007790602852,0.1048045783048858,0.08685455174537478,0.10545821263572111,62.41667011378464,62.42099308213042,62.4157512569654,62.42007412000402,0.08914389700769441,-1474.3205359784172,67.18174074472947,64.09020571119312,0.08703269948097396,0.1047976922602279,0.08653331866482515
1,1.0,0.5041508755334058,0.47296321128435037,0.5039593862508466,0.4730308422833573,0.5070353014949233,0.49746542008319466,52.32933665980502,52.971865413199644,52.32843282892352,52.970952913227656,0.5032343062600858,-1755.2170900561837,76.67195150395128,54.57184607278469,0.5041239603140768,0.47298244956990815,0.4946102504427143
2,2.23606797749979,0.8669970764838717,0.8496934571440943,0.8432868499002537,0.8115363461779546,0.8994323475511214,0.8554251634833497,30.261133602605764,30.388632146798503,30.268352587315025,30.391760488135567,0.8396747914565621,-2314.128349909529,35.941946934812066,31.831172399019636,0.8416880597404067,0.8118021101983561,0.8209925830294724
0,0.31622776601683794,0.08751104294945697,0.09050940101175751,0.08750307803786471,0.0905218995158557,0.08751252759213955,0.09053411851469946,63.085688749983355,63.251843870348104,63.08477078701747,63.25092471827376,0.08747585376551503,-1466.4632167233422,98.26902191452776,64.92317060025375,0.08765954863265245,0.09058474984700957,0.08698491556432271
1,1.0,0.5185964995106966,0.48329928122157073,0.5183682141918295,0.48335657630762807,0.526997505328626,0.4866476063868879,54.008348152542105,53.80765235253705,54.007433696449226,53.80673785881095,0.5170613875458268,-1752.5649153973654,73.7404264439201,55.41511845897538,0.518364674529821,0.483375770261207,0.5139297355264777
2,2.23606797749979,0.886437598031927,0.8002957483445037,0.8861423167358123,0.800355032850415,0.9435888336055543,0.8287683281054274,31.10208051308223,31.54344009578365,31.10343003289588,31.544622542203832,0.8823984697893783,-2307.714009603267,46.32567940371519,32.99686797223755,0.8857670007022286,0.8003664594778116,0.8551517876980813
0,0.31622776601683794,0.09935427816999648,0.09048582355633562,0.09944285157395134,0.09049032562896628,0.09901009873956869,0.09083120888447092,63.119741877884096,62.38109216015296,63.11881767841555,62.380173086853475,0.09951218645266612,-1466.5241900108879,96.79759381056598,64.05342985142136,0.09942451002578445,0.09052118842946562,0.09721033653384561
1,1.0,0.5825303758759788,0.5288852413389702,0.5258202320798141,0.4968975521483012,0.5347014272078374,0.510371678718001,52.887153367593605,53.063492394573,52.88624119267019,53.06257924029962,0.5277793056301222,-1769.9775585739185,66.84858561553274,54.666642744287,0.5329474620067413,0.4928670361256227,0.513971756077639
2,2.23606797749979,0.9314064367180955,0.809136986332185,0.9207254225264785,0.8051317539288894,0.9779068129937658,0.8460308446108797,33.55197779569871,33.48689957238296,33.55946129967656,33.48787858100694,0.9190412575204309,-2283.2647916542596,49.125007371202535,34.961266082461194,0.9204241395785592,0.8051542873483661,0.9144342156176545
