,nocovariates,covariates,NPMLE,Z,Z_grid,n
1528,-1.8162594837638695,-1.8324853031701005,-1.9409860521684204,11.850381325731533,13.51655716695468,1000
1529,-1.8235240902011853,-1.8399244273415152,-1.9485516232407392,10.90099069307503,13.525017423373505,1000
1530,-1.830799356835259,-1.8473763783607342,-1.9561288724768335,10.06593676151483,13.53347767979233,1000
1531,-1.838085057760325,-1.854840980977563,-1.9637176602553756,10.389088199381616,13.541937936211156,1000
1532,-1.8453809675953663,-1.8623180614693522,-1.9713178482761442,8.410248171495953,13.55039819262998,1000
1533,-1.852686861460323,-1.86980744763411,-1.9789292995572962,9.483870699078,13.558858449048806,1000
1534,-1.860002514951471,-1.8773089687831197,-1.9865518784323328,11.77333105905969,13.567318705467631,1000
1535,-1.8673277041159768,-1.8848224557330953,-1.994185450546751,10.217408503978593,13.575778961886456,1000
1536,-1.8746622054256366,-1.8923477407978773,-2.001829882854398,10.747145750052441,13.584239218305282,1000
1537,-1.8820057957498209,-1.8998846577796877,-2.00948504361354,10.841149515531162,13.592699474724107,1000
1538,-1.889358252327619,-1.907433041959959,-2.0171508023826554,8.10441785157696,13.601159731142932,1000
1539,-1.896719352739205,-1.9149927300897487,-2.0248270300159614,8.798834878114135,13.609619987561757,1000
1540,-1.9040888748764306,-1.9225635603797526,-2.0325135986586815,12.464191787597885,13.618080243980582,1000
1541,-1.9114665969126519,-1.9301453724899333,-2.0402103817420745,10.186812587716192,13.626540500399408,1000
1542,-1.9188522972717972,-1.9377380075187736,-2.0479172539782247,9.128842238806056,13.635000756818233,1000
1543,-1.9262457545966922,-1.945341307992161,-2.055634091354598,10.046780149416255,13.643461013237058,1000
1544,-1.9336467477166384,-1.9529551178519307,-2.0633607711283957,9.730008787448295,13.651921269655883,1000
1545,-1.9410550556142618,-1.960579282444065,-2.0710971718206848,10.120284054343786,13.660381526074708,1000
1546,-1.9484704573916358,-1.968213648506559,-2.0788431732103394,9.861479015509207,13.668841782493534,1000
1547,-1.955892732235676,-1.9758580641569792,-2.0865986563277814,12.143236652611273,13.677302038912359,1000
1548,-1.9633216593828364,-1.9835123788797062,-2.0943635034485557,10.537444168146104,13.685762295331184,1000
1549,-1.9707570180830865,-1.9911764435128858,-2.1021375980867063,11.975874428782195,13.69422255175001,1000
1550,-1.978198587563189,-1.9988501102350906,-2.1099208249880115,9.94741828341841,13.702682808168834,1000
1551,-1.9856461469892879,-2.0065332325517047,-2.1177130701230413,10.577467880768175,13.71114306458766,1000
1552,-1.9930994754287965,-2.0142256652810384,-2.1255142206800746,10.955052696864797,13.719603321006485,1000
1553,-2.00055835181161,-2.0219272645401847,-2.1333241650578683,12.44776523666188,13.72806357742531,1000
1554,-2.0080225548906245,-2.0296378877306274,-2.141142792858296,11.772039175109404,13.736523833844135,1000
1555,-2.0154918632015937,-2.037357393523598,-2.148969994878844,13.179661497734148,13.74498409026296,1000
1556,-2.0229660550223043,-2.045085641845207,-2.1568056631050028,10.993760046566107,13.753444346681786,1000
1557,-2.0304449083310834,-2.052822493861341,-2.1646496907025314,9.12303677545012,13.76190460310061,1000
1558,-2.0379282007646453,-2.0605678119623447,-2.1725019720096137,13.078289238267265,13.770364859519436,1000
1559,-2.045415709575274,-2.0683214597474873,-2.180362402528911,7.958554578173997,13.778825115938261,1000
1560,-2.0529072115873532,-2.0760833020092186,-2.1882308789195237,7.64510922068299,13.787285372357086,1000
1561,-2.0604024831532346,-2.083853204717235,-2.1961072989888586,7.905484995168853,13.795745628775911,1000
1562,-2.067901300108462,-2.0916310350023433,-2.2039915616844103,8.85816603757199,13.804205885194737,1000
1563,-2.0754034377263446,-2.099416661140142,-2.2118835670854606,9.847009331580514,13.812666141613562,1000
1564,-2.0829086706718822,-2.107209952534515,-2.2197832163947107,10.09170477243403,13.821126398032387,1000
1565,-2.090416772955053,-2.1150107797009556,-2.2276904119298426,10.678264593563767,13.829586654451212,1000
1566,-2.0979275178834573,-2.1228190142497145,-2.235605057115012,10.191667572113396,13.838046910870037,1000
1567,-2.1054406780143253,-2.13063452886878,-2.2435270564722885,11.127055757684152,13.846507167288863,1000
1568,-2.112956025105888,-2.1384571973067015,-2.2514563156130394,10.1024018000049,13.854967423707688,1000
1569,-2.120473330068117,-2.1462868943552507,-2.25939274122927,10.142620438137499,13.863427680126513,1000
1570,-2.127992362912831,-2.1541234958319304,-2.26733624108491,7.292440340094598,13.871887936545338,1000
1571,-2.1355128927031752,-2.1619668785623363,-2.275286724007066,9.877427140077332,13.880348192964163,1000
1572,-2.1430346875024773,-2.1698169203623667,-2.2832440998772454,11.387968386128357,13.888808449382989,1000
1573,-2.1505575143224713,-2.177673500020298,-2.2912082796225293,9.414650934923028,13.897268705801814,1000
1574,-2.1580811390709087,-2.1855364972787146,-2.2991791752067425,8.079213829575599,13.905728962220639,1000
1575,-2.165605326498544,-2.1934057928163058,-2.3071566996215807,10.806765726077824,13.914189218639464,1000
1576,-2.173129840145504,-2.2012812682295255,-2.315140766877723,10.740511937608103,13.92264947505829,1000
1577,-2.180654442287046,-2.209162806014127,-2.3231312919959435,7.961130542599458,13.931109731477115,1000
1578,-2.1881788938786975,-2.2170502895465636,-2.331128190998185,9.780603599418415,13.93956998789594,1000
1579,-2.1957029545007902,-2.2249436030652636,-2.339131380898641,11.214384231415345,13.948030244314765,1000
1580,-2.2032263823023865,-2.232842631651787,-2.3471407796948296,9.424553741835972,13.95649050073359,1000
1581,-2.2107489339446027,-2.240747261211846,-2.35515630635866,11.446996569552407,13.964950757152415,1000
1582,-2.2182703645433297,-2.2486573784562225,-2.3631778808275063,9.76969116645741,13.97341101357124,1000
1583,-2.225790427611354,-2.256572870881547,-2.371205423995279,9.346649645139914,13.981871269990066,1000
1584,-2.233308874999892,-2.264493626750973,-2.3792388577035006,10.234089697516914,13.990331526408891,1000
1585,-2.2408254568395276,-2.272419535074726,-2.3872781047324043,8.612351325867497,13.998791782827716,1000
1586,-2.2483399214805657,-2.2803504855905374,-2.395323088792031,9.724138314430286,14.007252039246541,1000
1587,-2.255852015432805,-2.2882863687439623,-2.4033737345133384,9.607769484472094,14.015712295665367,1000
1588,-2.2633614833047324,-2.2962270756685803,-2.411429967439346,10.434010166453739,14.024172552084192,1000
1589,-2.2708680677421484,-2.304172498166084,-2.4194917140162766,10.153617542668172,14.032632808503017,1000
