,n,hidden_sizes,experiment,MSE_wellspec,SURE_wellspec,data
0,100,None,c,0.040428263549149086,-0.01345769842465539,train
1,100,"(2,)",c,0.09482383015659938,-0.05750259635836592,train
2,100,"(2, 2)",c,0.029666830322245197,-0.03078835281252411,train
3,100,"(4,)",c,0.11679818656218612,-0.09610983775472928,train
4,100,"(4, 4)",c,0.12217763960819628,-0.08717051344888187,train
5,100,"(6,)",c,0.0965444425141049,-0.08700258849444784,train
6,100,"(6, 6)",c,0.06148347977709757,-0.017789762905498222,train
7,100,"(8,)",c,0.04203196980493327,-0.056412626627311405,train
8,100,"(8, 8)",c,0.08330415011896507,-0.08814064301068751,train
9,100,"(10,)",c,0.12525988536783708,-0.0895172219725787,train
10,100,None,i,2.656253513754358,-1.718987354951297,train
11,100,"(2,)",i,2.724964079035715,-0.8440410033593512,train
12,100,"(2, 2)",i,2.368510219666296,1.265677371913072,train
13,100,"(4,)",i,3.2332013454215587,-0.7654318184808532,train
14,100,"(4, 4)",i,2.84470219310588,-0.5253521808669624,train
15,100,"(6,)",i,2.8684779723517244,0.1830780523442277,train
16,100,"(6, 6)",i,3.2033606546997593,-0.547975118751246,train
17,100,"(8,)",i,2.963991902819826,-1.0903112736805933,train
18,100,"(8, 8)",i,2.594367813008119,-1.96193855142885,train
19,100,"(10,)",i,2.9185543184255027,-1.6312283506110106,train
20,200,None,c,0.005667089003322109,-0.058479261055412735,train
21,200,"(2,)",c,0.00674884600768118,-0.05932434719996721,train
22,200,"(2, 2)",c,0.008099213074751251,-0.060183077691550776,train
23,200,"(4,)",c,0.005327329453081666,-0.0584691881702898,train
24,200,"(4, 4)",c,0.008130787260115808,-0.06014582112851983,train
25,200,"(6,)",c,0.006210095366998205,-0.05979556140716184,train
26,200,"(6, 6)",c,0.007374898754156285,-0.0601208255450045,train
27,200,"(8,)",c,0.0390616676360376,-0.04791587475159183,train
28,200,"(8, 8)",c,0.00801590362561729,-0.06017385647587296,train
29,200,"(10,)",c,0.008020236974420319,-0.06007043821459338,train
30,200,None,i,3.03048653246388,-0.8886089920483107,train
31,200,"(2,)",i,2.5213641876140316,1.2190156124640066,train
32,200,"(2, 2)",i,2.439040754503965,0.7622671705501906,train
33,200,"(4,)",i,2.630069618168976,-0.17765759197430922,train
34,200,"(4, 4)",i,2.5128455844574615,0.09214538226167751,train
35,200,"(6,)",i,2.6588340658150464,0.20223490005531042,train
36,200,"(6, 6)",i,2.462915367755565,-0.2565894282932642,train
37,200,"(8,)",i,2.612266888856642,-0.27701506718709384,train
38,200,"(8, 8)",i,3.049082072485853,-0.036702423201853594,train
39,200,"(10,)",i,2.788178240333362,-0.12138080159074939,train
40,400,None,c,0.03387302043653647,-0.061203600343108365,train
41,400,"(2,)",c,0.05159891269980731,-0.08125741601212949,train
42,400,"(2, 2)",c,0.03995218258917,-0.07280588085176457,train
43,400,"(4,)",c,0.017033363393125254,-0.0514208760000166,train
44,400,"(4, 4)",c,0.03301390502878575,-0.06563520789442613,train
45,400,"(6,)",c,0.05407654528471723,-0.07967337036290303,train
46,400,"(6, 6)",c,0.04017004431219773,-0.07184605816651278,train
47,400,"(8,)",c,0.03655205681796811,-0.06851154779285994,train
48,400,"(8, 8)",c,0.04178506356601553,-0.07324767214442118,train
49,400,"(10,)",c,0.03877207151056941,-0.07053357747155208,train
50,400,None,i,2.4703170815554323,-0.5079747827629799,train
51,400,"(2,)",i,1.691887666154504,1.6576446296195417,train
52,400,"(2, 2)",i,1.6920542814952113,1.6577176859364355,train
53,400,"(4,)",i,2.1694521507967433,0.826256373292048,train
54,400,"(4, 4)",i,1.95857028463622,0.8458880130045145,train
55,400,"(6,)",i,1.9813757713392,0.8918899596667059,train
56,400,"(6, 6)",i,2.1402066677959173,0.8630894738875367,train
57,400,"(8,)",i,2.2905766117309607,0.15286041017000365,train
58,400,"(8, 8)",i,2.182400299483602,0.3639768218439579,train
59,400,"(10,)",i,2.2151784829049,0.1983540425385143,train
60,800,None,c,0.013444297674758115,0.01304440915928537,train
61,800,"(2,)",c,0.014486159547574628,0.008852394264414934,train
62,800,"(2, 2)",c,0.03214436191984235,0.0010915867105818356,train
63,800,"(4,)",c,0.017464789637743974,0.01162157497351802,train
64,800,"(4, 4)",c,0.032291175060353644,0.004913444328577714,train
65,800,"(6,)",c,0.034525445419483686,0.002310406428611195,train
66,800,"(6, 6)",c,0.03551051472349412,-0.0004620687391084433,train
67,800,"(8,)",c,0.032942332447163686,0.0026993852848232413,train
68,800,"(8, 8)",c,0.0379399133508287,-0.0017600169977731838,train
69,800,"(10,)",c,0.029556061631253964,0.003977099793825194,train
70,800,None,i,2.1902451883761573,0.15178952262300371,train
71,800,"(2,)",i,1.922356133062236,1.0482401120589497,train
72,800,"(2, 2)",i,1.6686907765711891,1.3182312510466094,train
73,800,"(4,)",i,1.6652151243621753,1.5638703059288048,train
74,800,"(4, 4)",i,1.664128942846136,1.5637355617022695,train
75,800,"(6,)",i,2.1052059178210065,0.6468311535031728,train
76,800,"(6, 6)",i,1.892938300395472,0.8776353173673793,train
77,800,"(8,)",i,2.148810939040152,0.30000186638058995,train
78,800,"(8, 8)",i,1.9831324632081064,0.6432725491182294,train
79,800,"(10,)",i,1.8041166662301,1.1342971756390312,train
80,100,None,c,0.04393489557815638,0.016313563859872166,test
81,100,"(2,)",c,0.06696920865304147,0.07683332849448765,test
82,100,"(2, 2)",c,0.035861720671074744,0.025308829081368094,test
83,100,"(4,)",c,0.1136513294245498,0.12807243700819332,test
84,100,"(4, 4)",c,0.11842860897873302,0.1277961873311197,test
85,100,"(6,)",c,0.09084741785239092,0.10753264801388446,test
86,100,"(6, 6)",c,0.06598543859154621,0.03835819303237711,test
87,100,"(8,)",c,0.0430730405131491,0.041591715829738876,test
88,100,"(8, 8)",c,0.10979226725174099,0.08062640437362104,test
89,100,"(10,)",c,0.12164422827925954,0.13518354861553217,test
90,100,None,i,8.359109116234205,8.632219154159467,test
91,100,"(2,)",i,3.0286763379309725,4.4120695929897105,test
92,100,"(2, 2)",i,2.4342477974552805,1.697379729002725,test
93,100,"(4,)",i,3.7550948744568187,4.5618525169808235,test
94,100,"(4, 4)",i,3.163946612431258,4.5013354390366604,test
95,100,"(6,)",i,3.3640622796970674,3.979902466133947,test
96,100,"(6, 6)",i,3.7658339430904677,3.6732590318913663,test
97,100,"(8,)",i,4.355057593518801,4.893799887183372,test
98,100,"(8, 8)",i,8.400336306587445,8.521984204707318,test
99,100,"(10,)",i,6.3981104417864,7.0848484032142895,test
100,200,None,c,0.005739016924785298,0.05078131584830066,test
101,200,"(2,)",c,0.006829436964550553,0.0511113076307141,test
102,200,"(2, 2)",c,0.00816929102219565,0.05109449612659333,test
103,200,"(4,)",c,0.005440056410603061,0.05071676139447595,test
104,200,"(4, 4)",c,0.008257554041650426,0.05241973892151961,test
105,200,"(6,)",c,0.006334039718028196,0.05011056918045147,test
106,200,"(6, 6)",c,0.007524561279730071,0.052065231548800155,test
107,200,"(8,)",c,0.03938057846760873,0.09337488656493852,test
108,200,"(8, 8)",c,0.00817259138725296,0.0526890978897054,test
109,200,"(10,)",c,0.008173676089926502,0.05311460470465708,test
110,200,None,i,4.578036630396898,5.816348180398834,test
111,200,"(2,)",i,2.008910170692743,2.2456719755234023,test
112,200,"(2, 2)",i,2.144627300679233,2.428372389012375,test
113,200,"(4,)",i,3.418223713818415,3.6732338805710847,test
114,200,"(4, 4)",i,2.968902860339595,2.8869738820521444,test
115,200,"(6,)",i,2.4118648022443376,2.6649400336796565,test
116,200,"(6, 6)",i,3.2146638365217566,3.1021164358159625,test
117,200,"(8,)",i,4.207904398805759,3.6840621563392917,test
118,200,"(8, 8)",i,3.06689728207164,3.150675104619304,test
119,200,"(10,)",i,3.2293243404076413,2.881763231278072,test
120,400,None,c,0.02358764362113119,-0.0036306890351371426,test
121,400,"(2,)",c,0.042203436997426964,-0.0130112196280836,test
122,400,"(2, 2)",c,0.028391817096473853,-0.012754674346041845,test
123,400,"(4,)",c,0.01230156218383267,-0.022739292021248976,test
124,400,"(4, 4)",c,0.0237585922146593,-0.010540127255376671,test
125,400,"(6,)",c,0.04116854555263593,-0.004050547009180394,test
126,400,"(6, 6)",c,0.02873210854804957,-0.011937677711271197,test
127,400,"(8,)",c,0.029812237560413485,-0.012270965713608044,test
